ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
171,democrat,y,n,y,n,n,n,unknown,y,y,unknown,n,n,n,n,y,unknown
46,democrat,y,y,y,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
429,democrat,unknown,unknown,unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
266,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
176,democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
255,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
118,republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
75,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
334,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
425,democrat,n,y,y,n,n,unknown,y,y,y,y,y,n,unknown,y,y,y
80,republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
112,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
250,democrat,y,n,y,n,n,n,y,y,unknown,n,y,n,n,n,y,y
159,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
28,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
151,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
312,democrat,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
383,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,unknown
254,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
245,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
272,democrat,n,y,y,n,n,y,y,y,y,n,unknown,n,n,n,n,y
88,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
49,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
343,democrat,n,y,y,n,y,unknown,y,n,n,y,y,n,y,n,y,y
403,republican,unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
169,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
406,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
238,democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
256,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
175,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
380,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
325,republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
19,republican,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
155,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
43,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
384,democrat,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
86,democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
306,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
225,republican,n,y,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
139,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
390,democrat,y,n,y,n,n,n,y,y,y,unknown,y,n,n,n,y,unknown
303,republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
116,democrat,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
217,democrat,y,y,y,n,y,y,n,n,unknown,y,n,n,n,y,y,unknown
141,republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
30,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
197,democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
269,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
265,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
262,democrat,y,n,y,n,n,unknown,y,y,y,n,unknown,unknown,n,unknown,unknown,unknown
426,democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
298,democrat,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
271,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
252,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
275,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
369,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
385,democrat,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
57,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
31,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
148,democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
52,republican,n,y,n,y,y,y,n,unknown,n,n,n,y,y,y,n,y
128,democrat,n,unknown,y,n,n,n,y,y,y,y,y,n,n,y,y,y
