ID,"class"
126,republican
130,republican
393,republican
288,republican
348,republican
240,republican
123,republican
149,republican
370,republican
59,republican
258,republican
398,republican
412,republican
214,republican
163,republican
71,republican
208,republican
319,republican
239,republican
300,republican
419,republican
198,republican
35,republican
205,republican
435,republican
109,republican
263,republican
119,republican
4,republican
150,republican
178,republican
226,republican
317,republican
153,republican
394,republican
431,republican
23,republican
60,republican
308,republican
129,republican
114,republican
291,republican
42,republican
264,republican
231,republican
322,republican
162,republican
402,republican
287,republican
94,republican
131,republican
391,republican
294,republican
98,republican
81,republican
251,republican
356,republican
409,republican
315,republican
7,republican
24,republican
92,republican
99,republican
434,republican
104,republican
234,republican
246,republican
195,republican
219,republican
25,republican
386,republican
404,republican
309,republican
365,republican
202,republican
351,republican
424,republican
354,republican
8,republican
299,republican
45,republican
279,republican
140,republican
224,republican
270,republican
290,republican
341,republican
355,republican
58,republican
124,republican
13,republican
72,republican
110,republican
47,republican
103,republican
143,republican
74,republican
283,republican
401,republican
127,republican
324,republican
321,republican
342,republican
134,republican
9,republican
102,republican
329,republican
259,republican
241,republican
410,republican
323,republican
371,republican
188,republican
85,republican
366,republican
388,republican
350,republican
368,republican
33,republican
39,republican
17,republican
101,republican
181,republican
6,republican
340,republican
179,republican
278,republican
327,republican
192,republican
420,republican
232,republican
62,republican
174,republican
108,republican
89,republican
223,republican
286,republican
180,republican
363,republican
183,republican
268,republican
90,republican
408,republican
381,republican
414,republican
276,republican
302,republican
344,republican
95,republican
78,republican
64,republican
194,republican
215,republican
158,republican
147,republican
362,republican
304,republican
316,republican
27,republican
55,republican
170,republican
50,republican
221,republican
417,republican
364,republican
295,republican
38,republican
133,republican
120,republican
249,republican
63,republican
144,republican
125,republican
253,republican
11,republican
274,republican
337,republican
229,republican
280,republican
416,republican
335,republican
400,republican
34,republican
26,republican
16,republican
53,republican
375,republican
396,republican
173,republican
117,republican
353,republican
84,republican
413,republican
373,republican
190,republican
82,republican
387,republican
76,republican
281,republican
260,republican
213,republican
37,republican
296,republican
142,republican
423,republican
212,republican
372,republican
5,republican
91,republican
349,republican
113,republican
186,republican
237,republican
338,republican
184,republican
136,republican
305,republican
