ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
126,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
130,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
288,y,y,y,unknown,n,y,y,y,y,n,y,n,y,n,unknown,y
348,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
240,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
149,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
370,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
258,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
398,y,y,n,n,y,unknown,n,n,n,n,y,n,y,y,n,y
412,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
214,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
163,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
71,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,unknown
208,y,unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
319,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
239,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
419,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
198,n,unknown,y,y,y,y,n,n,n,y,n,n,n,y,n,y
35,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
205,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
435,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
109,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
263,y,n,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
4,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
150,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
178,n,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,y
226,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,y
317,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
153,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
394,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
431,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
23,y,unknown,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
60,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
