alpha,hidden_layer_sizes,solver,activation,score,f1_score,recall,precision
0.01,"(10, 10, 10)",adam,tanh,0.19,0.17143058510117332,0.21980952380952382,
0.01,"(10, 10, 10)",adam,relu,0.19,0.19618763526348665,0.20562698412698413,
0.01,"(10, 10, 10)",lbfgs,tanh,0.15666666666666668,0.16275951825951826,0.1855079365079365,0.20806360306360308
0.01,"(10, 10, 10)",lbfgs,relu,0.17333333333333334,0.18080428337609658,0.19143650793650793,
0.01,"(20, 20, 20)",adam,tanh,0.31,0.2996020709596561,0.3335873015873016,0.3467748917748918
0.01,"(20, 20, 20)",adam,relu,0.26,0.2695893144037578,0.29659523809523813,
0.01,"(20, 20, 20)",lbfgs,tanh,0.23666666666666666,0.24860809639351836,0.26844444444444443,0.2851704406704407
0.01,"(20, 20, 20)",lbfgs,relu,0.2866666666666667,0.27856427301628545,0.3048174603174603,
0.01,"(50, 50, 50)",adam,tanh,0.4633333333333333,0.4683337808390439,0.4998174603174603,0.5176053603259486
0.01,"(50, 50, 50)",adam,relu,0.43,0.4362726870652567,0.4692619047619047,0.478813936063936
0.01,"(50, 50, 50)",lbfgs,tanh,0.4166666666666667,0.4144871245026044,0.44679365079365074,0.4576701076701077
0.01,"(50, 50, 50)",lbfgs,relu,0.37,0.38830628006324597,0.39640476190476187,0.45292035742035736
0.01,"(100, 100, 100)",adam,tanh,0.52,0.5205872694556906,0.5484920634920635,0.5561891441891442
0.01,"(100, 100, 100)",adam,relu,0.45666666666666667,0.4599723087370146,0.4763571428571428,0.5172562437562438
0.01,"(100, 100, 100)",lbfgs,tanh,0.51,0.5092265489928028,0.5340873015873016,
0.01,"(100, 100, 100)",lbfgs,relu,0.4533333333333333,0.47044864560963634,0.48591269841269835,0.5300670995670995
0.01,"(200, 200, 200)",adam,tanh,0.5733333333333334,0.5600466677397623,0.591452380952381,
0.01,"(200, 200, 200)",adam,relu,0.46,0.45156102226993333,0.4858730158730158,0.5136778776778776
0.01,"(200, 200, 200)",lbfgs,tanh,0.5666666666666667,0.5686867968632675,0.5856666666666667,0.6211536796536797
0.01,"(200, 200, 200)",lbfgs,relu,0.4766666666666667,0.4578480290607226,0.49311904761904757,
0.01,"(400, 400, 400)",adam,tanh,0.57,0.5646450855645901,0.5891269841269842,0.6083756243756243
0.01,"(400, 400, 400)",adam,relu,0.5233333333333333,0.5163863140643327,0.5393333333333332,0.5599164169164169
0.01,"(400, 400, 400)",lbfgs,tanh,0.5666666666666667,0.5613955922373772,0.5852063492063492,
0.01,"(400, 400, 400)",lbfgs,relu,0.5266666666666666,0.5359737893535848,0.5513571428571429,0.5988282828282828
0.01,"(500, 500, 500)",adam,tanh,0.6166666666666667,0.607708002523792,0.6278968253968253,0.6652027417027417
0.01,"(500, 500, 500)",adam,relu,0.5166666666666667,0.5107271253372343,0.5376349206349206,
0.01,"(500, 500, 500)",lbfgs,tanh,0.6266666666666667,0.6162650113903984,0.6436111111111111,
0.01,"(500, 500, 500)",lbfgs,relu,0.54,0.5504965772550239,0.5574523809523809,
0.01,"(700, 700, 700)",adam,tanh,0.64,0.6325645253551433,0.6542857142857144,0.6787121212121212
0.01,"(700, 700, 700)",adam,relu,0.5933333333333334,0.5749444492555947,0.6061746031746031,
0.01,"(700, 700, 700)",lbfgs,tanh,0.62,0.6155233859334007,0.6348095238095237,0.6690204795204794
0.01,"(700, 700, 700)",lbfgs,relu,0.5266666666666666,0.518849752242941,0.5377380952380952,
0.01,"(900, 900, 900)",adam,tanh,0.6433333333333333,0.6267792199574405,0.6505,0.6724386724386724
0.01,"(900, 900, 900)",adam,relu,0.5966666666666667,0.5863451423017987,0.6131349206349206,
0.01,"(900, 900, 900)",lbfgs,tanh,0.6433333333333333,0.6366552676769396,0.6624920634920635,0.6941105006105005
0.01,"(900, 900, 900)",lbfgs,relu,0.5366666666666666,0.538140901582078,0.5523412698412699,0.5819932289932289
