Model,Feature_Selector,k,Scaler,Score,Trainingstime,Fittime
Knn,kBest,10,standard,0.12,0.0050258636474609375,0.004699230194091797
Knn,kBest,10,minmax,0.11666666666666667,0.004965066909790039,0.004802703857421875
Knn,kBest,10,quantil,0.11666666666666667,0.004920244216918945,0.004734992980957031
Knn,kBest,30,standard,0.21666666666666667,0.0055544376373291016,0.0055844783782958984
Knn,kBest,30,minmax,0.25333333333333335,0.005461931228637695,0.005419254302978516
Knn,kBest,30,quantil,0.22,0.005337953567504883,0.005358219146728516
Knn,kBest,60,standard,0.31666666666666665,0.006777286529541016,0.006277799606323242
Knn,kBest,60,minmax,0.34,0.0071184635162353516,0.006811618804931641
Knn,kBest,60,quantil,0.35333333333333333,0.006613969802856445,0.006096363067626953
Knn,kBest,90,standard,0.4066666666666667,0.00824737548828125,0.007422924041748047
Knn,kBest,90,minmax,0.42,0.008614063262939453,0.0074350833892822266
Knn,kBest,90,quantil,0.43,0.007970094680786133,0.007618904113769531
Knn,kBest,100,standard,0.43333333333333335,0.010543584823608398,0.008055925369262695
Knn,kBest,100,minmax,0.37,0.008466005325317383,0.008833646774291992
Knn,kBest,100,quantil,0.4266666666666667,0.009426593780517578,0.0074465274810791016
Knn,kBest,120,standard,0.43,0.009423017501831055,0.010234355926513672
Knn,kBest,120,minmax,0.3933333333333333,0.012116670608520508,0.011612415313720703
Knn,kBest,120,quantil,0.4166666666666667,0.009968280792236328,0.00895833969116211
Knn,kBest,140,standard,0.43333333333333335,0.009953975677490234,0.009582996368408203
Knn,kBest,140,minmax,0.38333333333333336,0.008912801742553711,0.010890722274780273
Knn,kBest,140,quantil,0.36333333333333334,0.010309696197509766,0.009235143661499023
Knn,kBest,200,standard,0.41333333333333333,0.01570606231689453,0.013489484786987305
Knn,kBest,200,minmax,0.4033333333333333,0.011312007904052734,0.012995481491088867
Knn,kBest,200,quantil,0.38666666666666666,0.011868000030517578,0.0108795166015625
Knn,kBest,300,standard,0.41333333333333333,0.016886472702026367,0.014407634735107422
Knn,kBest,300,minmax,0.4166666666666667,0.01444244384765625,0.014787673950195312
Knn,kBest,300,quantil,0.4066666666666667,0.02229619026184082,0.02254652976989746
Knn,kBest,400,standard,0.44333333333333336,0.017589092254638672,0.018859148025512695
Knn,kBest,400,minmax,0.38666666666666666,0.01796102523803711,0.02144145965576172
