Model,Feature_Selector,k,Scaler,Score,Trainingstime,Fittime
Knn,kBest,10,standard,0.12,0.0036971569061279297,0.003551483154296875
Knn,kBest,10,minmax,0.12666666666666668,0.0036394596099853516,0.0045223236083984375
Knn,kBest,10,quantil,0.10666666666666667,0.003638744354248047,0.0040967464447021484
Knn,kBest,30,standard,0.24666666666666667,0.005394935607910156,0.004386186599731445
Knn,kBest,30,minmax,0.24,0.004189968109130859,0.0039327144622802734
Knn,kBest,30,quantil,0.28,0.004282474517822266,0.004499673843383789
Knn,kBest,60,standard,0.30666666666666664,0.0049169063568115234,0.004739284515380859
Knn,kBest,60,minmax,0.29,0.005054473876953125,0.004708766937255859
Knn,kBest,60,quantil,0.38666666666666666,0.0047757625579833984,0.006268739700317383
Knn,kBest,90,standard,0.4033333333333333,0.005578756332397461,0.005489349365234375
Knn,kBest,90,minmax,0.3933333333333333,0.00641632080078125,0.005327939987182617
Knn,kBest,90,quantil,0.45,0.00588679313659668,0.005438566207885742
Knn,kBest,100,standard,0.37333333333333335,0.005782127380371094,0.005680084228515625
Knn,kBest,100,minmax,0.39,0.005823850631713867,0.005884408950805664
Knn,kBest,100,quantil,0.38,0.00585627555847168,0.0060939788818359375
Knn,kBest,120,standard,0.38666666666666666,0.0062408447265625,0.006926059722900391
Knn,kBest,120,minmax,0.41,0.007112979888916016,0.006384372711181641
Knn,kBest,120,quantil,0.4,0.006166934967041016,0.006116390228271484
Knn,kBest,140,standard,0.4033333333333333,0.008681058883666992,0.01295781135559082
Knn,kBest,140,minmax,0.4033333333333333,0.011629581451416016,0.00809025764465332
Knn,kBest,140,quantil,0.37666666666666665,0.01141357421875,0.011740922927856445
Knn,kBest,200,standard,0.37333333333333335,0.012716293334960938,0.009932756423950195
Knn,kBest,200,minmax,0.3466666666666667,0.008265256881713867,0.008134603500366211
Knn,kBest,200,quantil,0.37333333333333335,0.007999181747436523,0.008878231048583984
Knn,kBest,300,standard,0.39666666666666667,0.010692119598388672,0.01062631607055664
Knn,kBest,300,minmax,0.4,0.011600494384765625,0.010741472244262695
Knn,kBest,300,quantil,0.38666666666666666,0.011265277862548828,0.01044321060180664
Knn,kBest,400,standard,0.38,0.015250205993652344,0.013741731643676758
Knn,kBest,400,minmax,0.43,0.014779806137084961,0.015141487121582031
Knn,kBest,400,quantil,0.44,0.015306711196899414,0.013735532760620117
Knn,kBest,500,standard,0.4533333333333333,0.018439769744873047,0.018166780471801758
Knn,kBest,500,minmax,0.39666666666666667,0.020869970321655273,0.02347421646118164
Knn,kBest,500,quantil,0.46,0.016828060150146484,0.01574397087097168
Knn,kBest,600,standard,0.4,0.019672870635986328,0.018157482147216797
Knn,kBest,600,minmax,0.41333333333333333,0.01958775520324707,0.01926445960998535
Knn,kBest,600,quantil,0.39,0.017866134643554688,0.018733501434326172
Knn,kBest,750,standard,0.4166666666666667,0.0246279239654541,0.023636817932128906
Knn,kBest,750,minmax,0.4066666666666667,0.021997451782226562,0.023304224014282227
Knn,kBest,750,quantil,0.43,0.023510456085205078,0.023212432861328125
Knn,PCA,10,standard,0.11,0.0036482810974121094,0.0034151077270507812
Knn,PCA,10,minmax,0.13,0.0035827159881591797,0.004553556442260742
Knn,PCA,10,quantil,0.13,0.004072666168212891,0.0034313201904296875
Knn,PCA,30,standard,0.19333333333333333,0.004056692123413086,0.003920793533325195
Knn,PCA,30,minmax,0.19666666666666666,0.004408359527587891,0.004161834716796875
Knn,PCA,30,quantil,0.17,0.004404544830322266,0.004036903381347656
Knn,PCA,60,standard,0.20333333333333334,0.004857063293457031,0.005416154861450195
Knn,PCA,60,minmax,0.17333333333333334,0.004918098449707031,0.004948616027832031
Knn,PCA,60,quantil,0.12666666666666668,0.004695892333984375,0.005291461944580078
Knn,PCA,90,standard,0.14,0.005533933639526367,0.005248546600341797
Knn,PCA,90,minmax,0.17666666666666667,0.005589962005615234,0.005268096923828125
Knn,PCA,90,quantil,0.11,0.005524396896362305,0.005669832229614258
Knn,PCA,100,standard,0.11333333333333333,0.00566554069519043,0.006287336349487305
Knn,PCA,100,minmax,0.16333333333333333,0.006338596343994141,0.006255149841308594
Knn,PCA,100,quantil,0.16666666666666666,0.00571131706237793,0.005419015884399414
Knn,PCA,120,standard,0.12,0.00616765022277832,0.0059359073638916016
Knn,PCA,120,minmax,0.14,0.0060727596282958984,0.0063173770904541016
Knn,PCA,120,quantil,0.09666666666666666,0.006127119064331055,0.00630950927734375
Knn,PCA,140,standard,0.11666666666666667,0.007485389709472656,0.0067234039306640625
Knn,PCA,140,minmax,0.13,0.0071942806243896484,0.0068988800048828125
Knn,PCA,140,quantil,0.07666666666666666,0.006734371185302734,0.0074005126953125
Knn,PCA,200,standard,0.1,0.008198022842407227,0.007671833038330078
Knn,PCA,200,minmax,0.08333333333333333,0.008888006210327148,0.008476972579956055
Knn,PCA,200,quantil,0.05,0.008484125137329102,0.007908821105957031
Knn,PCA,300,standard,0.08666666666666667,0.010632514953613281,0.010057449340820312
Knn,PCA,300,minmax,0.08666666666666667,0.011963844299316406,0.010617971420288086
Knn,PCA,300,quantil,0.05,0.014021635055541992,0.01199197769165039
Knn,PCA,400,standard,0.06,0.0152740478515625,0.013035058975219727
Knn,PCA,400,minmax,0.06,0.013323068618774414,0.013062715530395508
Knn,PCA,400,quantil,0.04,0.01447606086730957,0.012781858444213867
Knn,PCA,500,standard,0.07666666666666666,0.015238285064697266,0.01593613624572754
Knn,PCA,500,minmax,0.04666666666666667,0.016277790069580078,0.015239238739013672
Knn,PCA,500,quantil,0.04,0.01612567901611328,0.015001058578491211
Knn,PCA,600,standard,0.043333333333333335,0.01801896095275879,0.017351865768432617
