alpha,hidden_layer_sizes,solver,activation,train_time,inference_time,score,accuracy,f1,recall,precision
0.001,"(20, 20)",adam,tanh,25.839276552200317,0.03328871726989746,0.44,0.44,0.4341751439583584,0.4694047619047619,0.46437734487734483
0.001,"(20, 20)",adam,relu,24.409295558929443,0.017737150192260742,0.4033333333333333,0.4033333333333333,0.41874147489936975,0.4332539682539682,0.48888006438006437
0.001,"(20, 20)",lbfgs,tanh,7.542212724685669,0.02805805206298828,0.25666666666666665,0.25666666666666665,0.2607752574223163,0.2807698412698413,0.2751197691197691
0.001,"(20, 20)",lbfgs,relu,8.469677686691284,0.02477717399597168,0.27666666666666667,0.27666666666666667,0.2892820265389925,0.30252380952380953,0.32444295900178255
0.001,"(50, 50)",adam,tanh,37.195579528808594,0.04979228973388672,0.5466666666666666,0.5466666666666666,0.5369429945699296,0.5694920634920636,0.5667503052503053
0.001,"(50, 50)",adam,relu,34.08199954032898,0.02628326416015625,0.4666666666666667,0.4666666666666667,0.46013588021885227,0.488515873015873,0.520979020979021
0.001,"(50, 50)",lbfgs,tanh,4.8841071128845215,0.08580446243286133,0.37333333333333335,0.37333333333333335,0.3837571508822013,0.3981904761904762,0.436559163059163
0.001,"(50, 50)",lbfgs,relu,10.049131393432617,0.04642963409423828,0.43666666666666665,0.43666666666666665,0.44419662604337523,0.4598968253968254,0.46728233694410165
0.001,"(100, 100)",adam,tanh,55.96914458274841,0.08914351463317871,0.5966666666666667,0.5966666666666667,0.5933884691160233,0.6089920634920635,0.6483278943278944
0.001,"(100, 100)",adam,relu,52.73599863052368,0.03782081604003906,0.5633333333333334,0.5633333333333334,0.5592055134408076,0.5760396825396825,0.6103518703518703
0.001,"(100, 100)",lbfgs,tanh,8.289181232452393,0.057292938232421875,0.4166666666666667,0.4166666666666667,0.4236588621217104,0.4469365079365079,0.4575184815184815
0.001,"(100, 100)",lbfgs,relu,17.583810091018677,0.03807973861694336,0.45,0.45,0.4561811209534995,0.4723253968253968,0.5083217893217893
0.01,"(20, 20)",adam,tanh,25.78029227256775,0.02256298065185547,0.44333333333333336,0.44333333333333336,0.4377159507159507,0.4746825396825397,0.46515512265512265
0.01,"(20, 20)",adam,relu,25.109652519226074,0.01928567886352539,0.3933333333333333,0.3933333333333333,0.4085973508775366,0.4221666666666667,0.4728012543012543
0.01,"(20, 20)",lbfgs,tanh,16.445087909698486,0.028083086013793945,0.3233333333333333,0.3233333333333333,0.3187136562783622,0.35349206349206347,0.36310947549182837
0.01,"(20, 20)",lbfgs,relu,14.846465826034546,0.02162313461303711,0.2866666666666667,0.2866666666666667,0.29192679920698494,0.3063015873015873,0.3335725385725386
0.01,"(50, 50)",adam,tanh,35.800761461257935,0.04144167900085449,0.5433333333333333,0.5433333333333333,0.5449996166544153,0.5599603174603175,0.5965331890331891
0.01,"(50, 50)",adam,relu,34.72838377952576,0.030112743377685547,0.51,0.51,0.5067116108865335,0.5299920634920635,0.5501302586302586
0.01,"(50, 50)",lbfgs,tanh,10.101061582565308,0.057884931564331055,0.5366666666666666,0.5366666666666666,0.5431695128057357,0.5654285714285714,0.5869595959595959
0.01,"(50, 50)",lbfgs,relu,15.536840915679932,0.015933752059936523,0.5533333333333333,0.5533333333333333,0.5458067278438796,0.5694206349206349,0.5952287157287157
0.01,"(100, 100)",adam,tanh,56.822503328323364,0.07758212089538574,0.6033333333333334,0.6033333333333334,0.5908419423713541,0.6171428571428571,0.6175809190809192
0.01,"(100, 100)",adam,relu,51.373157024383545,0.04654407501220703,0.5766666666666667,0.5766666666666667,0.5687956958761913,0.5937619047619048,0.6096904761904761
0.01,"(100, 100)",lbfgs,tanh,14.529319763183594,0.07567715644836426,0.5966666666666667,0.5966666666666667,0.5771548526494819,0.6093253968253969,0.6349681926260873
0.01,"(100, 100)",lbfgs,relu,50.07528233528137,0.02182912826538086,0.4866666666666667,0.4866666666666667,0.4808270621707154,0.5094444444444445,0.5320932400932401
0.1,"(20, 20)",adam,tanh,26.59783387184143,0.021584272384643555,0.5033333333333333,0.5033333333333333,0.48675946928888103,0.5163650793650794,0.5339297924297923
0.1,"(20, 20)",adam,relu,27.901378393173218,0.020926952362060547,0.4266666666666667,0.4266666666666667,0.41533131797682876,0.43689682539682534,0.4813842268842269
0.1,"(20, 20)",lbfgs,tanh,16.893850326538086,0.052149057388305664,0.49666666666666665,0.49666666666666665,0.4929648325530679,0.5211111111111111,0.5214148629148629
0.1,"(20, 20)",lbfgs,relu,14.504230499267578,0.02384805679321289,0.4033333333333333,0.4033333333333333,0.39742357848549803,0.4296111111111111,0.4112481962481963
0.1,"(50, 50)",adam,tanh,37.651665687561035,0.04141879081726074,0.5433333333333333,0.5433333333333333,0.5458391635883896,0.5656904761904762,0.5917201687201686
0.1,"(50, 50)",adam,relu,34.91256237030029,0.03200364112854004,0.5133333333333333,0.5133333333333333,0.5054669276372062,0.5292380952380953,0.5487691197691198
0.1,"(50, 50)",lbfgs,tanh,24.741387367248535,0.055974483489990234,0.5666666666666667,0.5666666666666667,0.5508381599480671,0.5761428571428572,0.6030598845598846
0.1,"(50, 50)",lbfgs,relu,26.556697845458984,0.01677870750427246,0.54,0.54,0.5286105894449548,0.5548253968253969,0.5829018759018759
0.1,"(100, 100)",adam,tanh,56.897013425827026,0.07581567764282227,0.62,0.62,0.6037226466344113,0.6301428571428571,0.64755772005772
0.1,"(100, 100)",adam,relu,51.363364934921265,0.054862022399902344,0.5533333333333333,0.5533333333333333,0.5458548556706452,0.5697380952380953,0.6082982572982574
0.1,"(100, 100)",lbfgs,tanh,36.487022161483765,0.048760175704956055,0.6,0.6,0.5937204843659952,0.6134206349206349,0.6661706626706625
0.1,"(100, 100)",lbfgs,relu,50.342315673828125,0.03933429718017578,0.5466666666666666,0.5466666666666666,0.5423324140599682,0.5585238095238095,0.5681075036075036
1.0,"(20, 20)",adam,tanh,26.92059874534607,0.023659229278564453,0.3933333333333333,0.3933333333333333,0.3682990832696715,0.42719841269841274,0.40783826699616177
1.0,"(20, 20)",adam,relu,25.31018376350403,0.021177053451538086,0.41,0.41,0.40870477235183117,0.4268333333333333,0.45778932178932175
1.0,"(20, 20)",lbfgs,tanh,16.71809458732605,0.027538537979125977,0.48,0.48,0.4822603555715011,0.5062698412698413,0.5033013098013097
