n_estimators,max_features,criterion,train_time,inference_time,score,accuracy,f1,recall,precision
1,sqrt,gini,0.016289234161376953,0.0023152828216552734,0.15666666666666668,0.15666666666666668,0.17359661975451446,0.17791269841269838,0.1832409812409812
1,sqrt,entropy,0.027589082717895508,0.0019648075103759766,0.09666666666666666,0.09666666666666666,0.08418492727714696,0.09338095238095238,0.09230934708566288
1,log2,gini,0.041433095932006836,0.0022287368774414062,0.15,0.15,0.14476875084951543,0.1603015873015873,0.15661904761904763
1,log2,entropy,0.009280920028686523,0.01369166374206543,0.11,0.11,0.10443692564745197,0.11682539682539682,0.11523809523809524
8,sqrt,gini,0.14515042304992676,0.004975795745849609,0.29333333333333333,0.29333333333333333,0.2973210880966299,0.33230952380952383,0.3007164502164502
8,sqrt,entropy,0.12753057479858398,0.004465579986572266,0.18,0.18,0.1695956500425137,0.18590476190476188,0.2010050505050505
8,log2,gini,0.06462907791137695,0.005512714385986328,0.26666666666666666,0.26666666666666666,0.2622575405674477,0.30078571428571427,0.2893220080573022
8,log2,entropy,0.0823054313659668,0.004419803619384766,0.17,0.17,0.16345269635764992,0.18163492063492065,0.19600898711425024
10,sqrt,gini,0.43733859062194824,0.010193586349487305,0.33,0.33,0.3363268822680587,0.3671746031746032,0.35225685425685427
10,sqrt,entropy,0.1997060775756836,0.008459329605102539,0.23,0.23,0.21746053653948394,0.23354761904761903,0.2683793706293706
10,log2,gini,0.1986525058746338,0.005177021026611328,0.27666666666666667,0.27666666666666667,0.27368044528570845,0.3052142857142857,0.29632664557664556
10,log2,entropy,0.18346595764160156,0.013503551483154297,0.21,0.21,0.19476594715913598,0.2230952380952381,0.2308911976911977
12,sqrt,gini,0.3057246208190918,0.023021221160888672,0.35333333333333333,0.35333333333333333,0.35470328587820843,0.38797619047619053,0.35896364746364745
12,sqrt,entropy,0.3489511013031006,0.028835773468017578,0.25333333333333335,0.25333333333333335,0.23332204036074003,0.2548809523809524,0.26507699490052433
12,log2,gini,0.3081357479095459,0.006662607192993164,0.30666666666666664,0.30666666666666664,0.3042029764181467,0.335563492063492,0.33944005994005993
12,log2,entropy,0.24315786361694336,0.021991968154907227,0.24,0.24,0.21087551337551336,0.2480952380952381,0.2312946742799684
15,sqrt,gini,0.37691378593444824,0.04257631301879883,0.39,0.39,0.39238857546934,0.4252222222222223,0.4187582548170783
15,sqrt,entropy,0.3954427242279053,0.036467552185058594,0.28,0.28,0.2487913765315165,0.2916269841269841,0.2660974156562392
15,log2,gini,0.1195220947265625,0.026166439056396484,0.32,0.32,0.3249330013400548,0.35162698412698407,0.35608818958818955
15,log2,entropy,0.2492058277130127,0.007124662399291992,0.26,0.26,0.23848816869405107,0.26986507936507936,0.2900366104483752
20,sqrt,gini,0.5257384777069092,0.04375863075256348,0.4166666666666667,0.4166666666666667,0.40685070949002833,0.44292857142857145,0.4263636918636918
20,sqrt,entropy,0.4238102436065674,0.01668262481689453,0.2833333333333333,0.2833333333333333,0.2541251631409526,0.2931031746031746,0.2562371484724426
20,log2,gini,0.23909568786621094,0.009792327880859375,0.37,0.37,0.3577027568683242,0.4056111111111111,0.3753347763347763
20,log2,entropy,0.14372634887695312,0.009841680526733398,0.23333333333333334,0.23333333333333334,0.21596876294911024,0.25242063492063493,0.23949940255822608
50,sqrt,gini,0.8700964450836182,0.033388614654541016,0.5133333333333333,0.5133333333333333,0.5064887050626047,0.5347936507936507,0.5718613608613609
50,sqrt,entropy,0.7974531650543213,0.04572105407714844,0.38333333333333336,0.38333333333333336,0.3423774556906876,0.4034444444444445,0.3550966810966811
50,log2,gini,0.6381640434265137,0.04527854919433594,0.41,0.41,0.3941020077961255,0.43707936507936507,0.42552091699150524
50,log2,entropy,0.6134510040283203,0.052687883377075195,0.3433333333333333,0.3433333333333333,0.31145949698736075,0.3562539682539682,0.36162054612054606
100,sqrt,gini,1.2564451694488525,0.04213762283325195,0.5466666666666666,0.5466666666666666,0.5259341214341214,0.5611031746031746,0.5774502164502163
100,sqrt,entropy,1.032994270324707,0.03188681602478027,0.44,0.44,0.41772612533665165,0.45466666666666666,0.46132350329409144
100,log2,gini,1.1553478240966797,0.1006004810333252,0.47333333333333333,0.47333333333333333,0.4552532915850994,0.49857142857142855,0.4989350094350094
100,log2,entropy,0.7263092994689941,0.04010891914367676,0.35333333333333333,0.35333333333333333,0.31374949886714587,0.37223809523809526,0.35435491632550453
1000,sqrt,gini,6.558619737625122,0.27762770652770996,0.5933333333333334,0.5933333333333334,0.5720231309797873,0.6124761904761905,0.6278759018759018
1000,sqrt,entropy,6.554232120513916,0.2596266269683838,0.48,0.48,0.43783726901118214,0.5013492063492063,0.48308513708513706
1000,log2,gini,4.955066919326782,0.28636717796325684,0.5433333333333333,0.5433333333333333,0.5258727733223089,0.5634523809523809,0.586150336591513
1000,log2,entropy,4.516334772109985,0.2754230499267578,0.4266666666666667,0.4266666666666667,0.3855742499674388,0.4391269841269842,0.4649342879342879
