n_neighbors,weights,algorithm,score
10,uniform,auto,1.785109983079526
10,uniform,ball_tree,1.785109983079526
10,uniform,kd_tree,1.785109983079526
10,uniform,brute,1.785109983079526
10,distance,auto,1.6221094190637337
10,distance,ball_tree,1.6221094190637337
10,distance,kd_tree,1.6221094190637337
10,distance,brute,1.6221094190637337
11,uniform,auto,1.7388606880992667
11,uniform,ball_tree,1.7388606880992667
11,uniform,kd_tree,1.7388606880992667
11,uniform,brute,1.7388606880992667
11,distance,auto,1.6582064297800339
11,distance,ball_tree,1.6582064297800339
11,distance,kd_tree,1.6582064297800339
11,distance,brute,1.6582064297800339
12,uniform,auto,1.7856739988719683
12,uniform,ball_tree,1.7856739988719683
12,uniform,kd_tree,1.7856739988719683
12,uniform,brute,1.7856739988719683
12,distance,auto,1.6700507614213198
12,distance,ball_tree,1.6700507614213198
12,distance,kd_tree,1.6700507614213198
12,distance,brute,1.6700507614213198
13,uniform,auto,1.7174280879864636
13,uniform,ball_tree,1.7174280879864636
13,uniform,kd_tree,1.7174280879864636
13,uniform,brute,1.7174280879864636
13,distance,auto,1.6587704455724759
13,distance,ball_tree,1.6587704455724759
13,distance,kd_tree,1.6587704455724759
13,distance,brute,1.6587704455724759
14,uniform,auto,1.772701635645798
14,uniform,ball_tree,1.772701635645798
14,uniform,kd_tree,1.772701635645798
14,uniform,brute,1.772701635645798
14,distance,auto,1.6931754089114497
14,distance,ball_tree,1.6931754089114497
14,distance,kd_tree,1.6931754089114497
14,distance,brute,1.6931754089114497
15,uniform,auto,1.7264523406655385
15,uniform,ball_tree,1.7264523406655385
15,uniform,kd_tree,1.7264523406655385
15,uniform,brute,1.7264523406655385
15,distance,auto,1.6689227298364355
15,distance,ball_tree,1.6689227298364355
15,distance,kd_tree,1.6689227298364355
15,distance,brute,1.6689227298364355
16,uniform,auto,1.796954314720812
16,uniform,ball_tree,1.796954314720812
16,uniform,kd_tree,1.796954314720812
16,uniform,brute,1.796954314720812
16,distance,auto,1.6926113931190074
16,distance,ball_tree,1.6926113931190074
16,distance,kd_tree,1.6926113931190074
16,distance,brute,1.6926113931190074
17,uniform,auto,1.7625493513818387
17,uniform,ball_tree,1.7625493513818387
17,uniform,kd_tree,1.7625493513818387
17,uniform,brute,1.7625493513818387
17,distance,auto,1.6813310772701635
17,distance,ball_tree,1.6813310772701635
17,distance,kd_tree,1.6813310772701635
17,distance,brute,1.6813310772701635
18,uniform,auto,1.796954314720812
18,uniform,ball_tree,1.796954314720812
18,uniform,kd_tree,1.796954314720812
18,uniform,brute,1.796954314720812
18,distance,auto,1.7050197405527356
18,distance,ball_tree,1.7050197405527356
18,distance,kd_tree,1.7050197405527356
18,distance,brute,1.7050197405527356
19,uniform,auto,1.7625493513818387
19,uniform,ball_tree,1.7625493513818387
19,uniform,kd_tree,1.7625493513818387
19,uniform,brute,1.7625493513818387
19,distance,auto,1.6813310772701635
19,distance,ball_tree,1.6813310772701635
19,distance,kd_tree,1.6813310772701635
19,distance,brute,1.6813310772701635
20,uniform,auto,1.785109983079526
20,uniform,ball_tree,1.785109983079526
20,uniform,kd_tree,1.785109983079526
20,uniform,brute,1.785109983079526
20,distance,auto,1.6920473773265652
20,distance,ball_tree,1.6920473773265652
20,distance,kd_tree,1.6920473773265652
20,distance,brute,1.6920473773265652
21,uniform,auto,1.7743936830231246
21,uniform,ball_tree,1.7743936830231246
21,uniform,kd_tree,1.7743936830231246
21,uniform,brute,1.7743936830231246
21,distance,auto,1.6920473773265652
21,distance,ball_tree,1.6920473773265652
21,distance,kd_tree,1.6920473773265652
21,distance,brute,1.6920473773265652
22,uniform,auto,1.784545967287084
22,uniform,ball_tree,1.784545967287084
22,uniform,kd_tree,1.784545967287084
22,uniform,brute,1.784545967287084
22,distance,auto,1.7033276931754089
22,distance,ball_tree,1.7033276931754089
22,distance,kd_tree,1.7033276931754089
22,distance,brute,1.7033276931754089
23,uniform,auto,1.77326565143824
23,uniform,ball_tree,1.77326565143824
23,uniform,kd_tree,1.77326565143824
23,uniform,brute,1.77326565143824
23,distance,auto,1.7038917089678511
23,distance,ball_tree,1.7038917089678511
23,distance,kd_tree,1.7038917089678511
23,distance,brute,1.7038917089678511
24,uniform,auto,1.795826283135928
24,uniform,ball_tree,1.795826283135928
24,uniform,kd_tree,1.795826283135928
24,uniform,brute,1.795826283135928
24,distance,auto,1.7033276931754089
24,distance,ball_tree,1.7033276931754089
24,distance,kd_tree,1.7033276931754089
24,distance,brute,1.7033276931754089
25,uniform,auto,1.772701635645798
25,uniform,ball_tree,1.772701635645798
25,uniform,kd_tree,1.772701635645798
25,uniform,brute,1.772701635645798
25,distance,auto,1.7033276931754089
25,distance,ball_tree,1.7033276931754089
25,distance,kd_tree,1.7033276931754089
25,distance,brute,1.7033276931754089
26,uniform,auto,1.807670614777214
26,uniform,ball_tree,1.807670614777214
26,uniform,kd_tree,1.807670614777214
26,uniform,brute,1.807670614777214
26,distance,auto,1.7146080090242526
26,distance,ball_tree,1.7146080090242526
26,distance,kd_tree,1.7146080090242526
