n_neighbors,weights,p,score
3,uniform,1,-0.652542372881356
3,uniform,2,-0.7076271186440678
3,distance,1,-1.1404358353510895
3,distance,2,-1.3177966101694916
4,uniform,1,0.4424939467312349
4,uniform,2,0.19975786924939468
4,distance,1,-0.9564164648910412
4,distance,2,-1.1961259079903148
5,uniform,1,-0.043583535108958835
5,uniform,2,-0.5308716707021792
5,distance,1,-0.5920096852300242
5,distance,2,-1.1404358353510895
6,uniform,1,0.44188861985472155
6,uniform,2,0.38256658595641646
6,distance,1,-0.5290556900726392
6,distance,2,-0.711864406779661
7,uniform,1,0.016343825665859565
7,uniform,2,0.016343825665859565
7,distance,1,-0.4715496368038741
7,distance,2,-0.5320823244552058
8,uniform,1,0.5641646489104116
8,uniform,2,0.4430992736077482
8,distance,1,-0.2857142857142857
8,distance,2,-0.46912832929782083
9,uniform,1,0.38256658595641646
9,uniform,2,0.19915254237288135
9,distance,1,-0.16646489104116222
9,distance,2,-0.288135593220339
10,uniform,1,0.6852300242130751
10,uniform,2,0.5641646489104116
10,distance,1,-0.10472154963680387
10,distance,2,-0.22639225181598063
11,uniform,1,0.5635593220338984
11,uniform,2,0.38196125907990314
11,distance,1,0.015738498789346248
11,distance,2,-0.16707021791767554
12,uniform,1,0.6852300242130751
12,uniform,2,0.5641646489104116
12,distance,1,0.13801452784503632
12,distance,2,-0.10411622276029056
13,uniform,1,0.5635593220338984
13,uniform,2,0.5653753026634383
13,distance,1,0.07687651331719128
13,distance,2,0.016343825665859565
14,uniform,1,0.8056900726392252
14,uniform,2,0.7463680387409201
14,distance,1,0.07566585956416465
14,distance,2,0.0774818401937046
15,uniform,1,0.6858353510895884
15,uniform,2,0.6265133171912833
15,distance,1,0.19915254237288135
15,distance,2,0.07627118644067797
16,uniform,1,0.7457627118644068
16,uniform,2,0.7475786924939467
16,distance,1,0.13619854721549637
16,distance,2,0.015738498789346248
17,uniform,1,0.6858353510895884
17,uniform,2,0.44188861985472155
17,distance,1,0.13619854721549637
17,distance,2,0.013922518159806295
18,uniform,1,0.7445520581113801
18,uniform,2,0.7469733656174334
18,distance,1,0.13619854721549637
18,distance,2,0.137409200968523
19,uniform,1,0.5623486682808717
19,uniform,2,0.6864406779661016
19,distance,1,0.13619854721549637
19,distance,2,0.137409200968523
20,uniform,1,0.6234866828087167
20,uniform,2,0.8075060532687651
