n_estimators,criterion,max_features,train_time,inference_time,score,accuracy,f1,recall,precision
2,gini,sqrt,0.12497806549072266,0.0030417442321777344,-0.15314769975786924,0.9407783417935702,0.6809670127791421,0.6350479258799752,0.8016470745988469
2,gini,log2,0.07797741889953613,0.002992391586303711,-0.46065375302663436,0.9362662154540327,0.660382251981184,0.6211379144738158,0.7608590265658328
2,entropy,sqrt,0.133012056350708,0.001995563507080078,-0.03389830508474576,0.9390862944162437,0.6587224638197762,0.6149920957316951,0.795601851851852
2,entropy,log2,0.11401867866516113,0.0019948482513427734,-0.16283292978208233,0.9317540891144952,0.5967978078196038,0.5689322234006363,0.7203511801957398
3,gini,sqrt,0.16701698303222656,0.003515005111694336,-1.612590799031477,0.9345741680767061,0.7064234326824255,0.6815030116262781,0.74207344738317
3,gini,log2,0.13901019096374512,0.0039882659912109375,-0.8202179176755447,0.9396503102086858,0.7068420670376386,0.66890871070378,0.7756834215167548
3,entropy,sqrt,0.21101641654968262,0.004991054534912109,-1.7354721549636805,0.9328821206993796,0.7001683992127159,0.6767654533448062,0.7332739156268568
3,entropy,log2,0.16115450859069824,0.003991365432739258,-2.2282082324455206,0.924985899605189,0.667841432030527,0.6495507574090009,0.6932985024441973
4,gini,sqrt,0.26195406913757324,0.002991199493408203,0.27602905569007263,0.9458544839255499,0.7000761228114691,0.6454310327576891,0.8583553166835137
4,gini,log2,0.17097783088684082,0.007505655288696289,-0.28026634382566584,0.9351381838691484,0.6386717538583678,0.6013847477637925,0.7551043528612069
4,entropy,sqrt,0.24700331687927246,0.003988504409790039,0.027239709443099273,0.9396503102086858,0.6599338549649109,0.6152947591699518,0.8029404805720595
4,entropy,log2,0.19397783279418945,0.0039899349212646484,-0.036924939467312345,0.9362662154540327,0.6323770379001257,0.5943309387069018,0.7720138488170802
5,gini,sqrt,0.31497836112976074,0.008014202117919922,-0.5720338983050848,0.9452904681331077,0.7368087597272917,0.6949127528865587,0.8098921464136297
