n_estimators,max_features,criterion,train_time,inference_time,score,accuracy,f1,recall,precision,id
1,sqrt,gini,0.004097938537597656,0.0008301734924316406,0.5866666666666667,0.5866666666666667,[0.79518072 0.37037037 0.42857143 0.33333333 0.        ],[0.78571429 0.38461538 0.375      0.33333333 0.        ],[0.80487805 0.35714286 0.5        0.33333333 0.        ],0
1,sqrt,entropy,0.0033822059631347656,0.0007748603820800781,0.5466666666666666,0.5466666666666666,[0.76595745 0.19047619 0.         0.4        0.        ],[0.85714286 0.15384615 0.         0.33333333 0.        ],[0.69230769 0.25       0.         0.5        0.        ],1
1,log2,gini,0.003862142562866211,0.0007519721984863281,0.41333333333333333,0.41333333333333333,[0.66666667 0.16216216 0.30769231 0.         0.        ],[0.61904762 0.23076923 0.25       0.         0.        ],[0.72222222 0.125      0.4        0.         0.        ],2
1,log2,entropy,0.005198001861572266,0.0007119178771972656,0.52,0.52,[0.7816092 0.0952381 0.25      0.25      0.       ],[0.80952381 0.07692308 0.25       0.22222222 0.        ],[0.75555556 0.125      0.25       0.28571429 0.        ],3
8,sqrt,gini,0.025948047637939453,0.005583763122558594,0.6533333333333333,0.6533333333333333,[0.87234043 0.27272727 0.42105263 0.16666667 0.        ],[0.97619048 0.23076923 0.5        0.11111111 0.        ],[0.78846154 0.33333333 0.36363636 0.33333333 0.        ],4
8,sqrt,entropy,0.027734994888305664,0.001878976821899414,0.6133333333333333,0.6133333333333333,[0.86315789 0.18181818 0.25       0.16666667 0.        ],[0.97619048 0.15384615 0.25       0.11111111 0.        ],[0.77358491 0.22222222 0.25       0.33333333 0.        ],5
8,log2,gini,0.022607803344726562,0.001928091049194336,0.5733333333333334,0.5733333333333334,[0.78787879 0.18181818 0.16666667 0.16666667 0.        ],[0.92857143 0.15384615 0.125      0.11111111 0.        ],[0.68421053 0.22222222 0.25       0.33333333 0.        ],6
8,log2,entropy,0.02192211151123047,0.001993894577026367,0.6266666666666667,0.6266666666666667,[0.84782609 0.34782609 0.26666667 0.25       0.        ],[0.92857143 0.30769231 0.25       0.22222222 0.        ],[0.78       0.4        0.28571429 0.28571429 0.        ],7
10,sqrt,gini,0.0332949161529541,0.002341032028198242,0.5866666666666667,0.5866666666666667,[0.84848485 0.09090909 0.16666667 0.         0.        ],[1.         0.07692308 0.125      0.         0.        ],[0.73684211 0.11111111 0.25       0.         0.        ],8
10,sqrt,entropy,0.029035091400146484,0.0021817684173583984,0.5733333333333334,0.5733333333333334,[0.82828283 0.09090909 0.13333333 0.         0.        ],[0.97619048 0.07692308 0.125      0.         0.        ],[0.71929825 0.11111111 0.14285714 0.         0.        ],9
10,log2,gini,0.02786111831665039,0.002276897430419922,0.6133333333333333,0.6133333333333333,[0.84210526 0.18181818 0.35294118 0.15384615 0.        ],[0.95238095 0.15384615 0.375      0.11111111 0.        ],[0.75471698 0.22222222 0.33333333 0.25       0.        ],10
10,log2,entropy,0.04034113883972168,0.0026159286499023438,0.6,0.6,[0.76767677 0.27272727 0.30769231 0.30769231 0.        ],[0.9047619  0.23076923 0.25       0.22222222 0.        ],[0.66666667 0.33333333 0.4        0.5        0.        ],11
12,sqrt,gini,0.03650212287902832,0.0027480125427246094,0.6,0.6,[0.80851064 0.18181818 0.4        0.26666667 0.        ],[0.9047619  0.15384615 0.375      0.22222222 0.        ],[0.73076923 0.22222222 0.42857143 0.33333333 0.        ],12
12,sqrt,entropy,0.046430349349975586,0.003074169158935547,0.5466666666666666,0.5466666666666666,[0.82105263 0.         0.26666667 0.         0.        ],[0.92857143 0.         0.25       0.         0.        ],[0.73584906 0.         0.28571429 0.         0.        ],13
12,log2,gini,0.03914809226989746,0.004133939743041992,0.6266666666666667,0.6266666666666667,[0.83333333 0.28571429 0.23529412 0.30769231 0.        ],[0.95238095 0.23076923 0.25       0.22222222 0.        ],[0.74074074 0.375      0.22222222 0.5        0.        ],14
12,log2,entropy,0.0341649055480957,0.003204822540283203,0.5733333333333334,0.5733333333333334,[0.8172043  0.16       0.26666667 0.15384615 0.        ],[0.9047619  0.15384615 0.25       0.11111111 0.        ],[0.74509804 0.16666667 0.28571429 0.25       0.        ],15
15,sqrt,gini,0.04013323783874512,0.0037708282470703125,0.5866666666666667,0.5866666666666667,[0.81553398 0.10526316 0.         0.16666667 0.        ],[1.         0.07692308 0.         0.11111111 0.        ],[0.68852459 0.16666667 0.         0.33333333 0.        ],16
15,sqrt,entropy,0.04133796691894531,0.00413060188293457,0.5733333333333334,0.5733333333333334,[0.80392157 0.         0.15384615 0.15384615 0.        ],[0.97619048 0.         0.125      0.11111111 0.        ],[0.68333333 0.         0.2        0.25       0.        ],17
15,log2,gini,0.0451052188873291,0.0030770301818847656,0.52,0.52,[0.82758621 0.06666667 0.13333333 0.15384615 0.        ],[0.85714286 0.07692308 0.125      0.11111111 0.        ],[0.8        0.05882353 0.14285714 0.25       0.        ],18
15,log2,entropy,0.06779980659484863,0.00652313232421875,0.5733333333333334,0.5733333333333334,[0.85416667 0.09090909 0.         0.16666667 0.        ],[0.97619048 0.07692308 0.         0.11111111 0.        ],[0.75925926 0.11111111 0.         0.33333333 0.        ],19
20,sqrt,gini,0.08382606506347656,0.0054798126220703125,0.56,0.56,[0.84210526 0.         0.11111111 0.14285714 0.        ],[0.95238095 0.         0.125      0.11111111 0.        ],[0.75471698 0.         0.1        0.2        0.        ],20
20,sqrt,entropy,0.0829319953918457,0.004024028778076172,0.5733333333333334,0.5733333333333334,[0.84210526 0.09090909 0.11764706 0.16666667 0.        ],[0.95238095 0.07692308 0.125      0.11111111 0.        ],[0.75471698 0.11111111 0.11111111 0.33333333 0.        ],21
20,log2,gini,0.05956578254699707,0.0044710636138916016,0.56,0.56,[0.85106383 0.         0.125      0.14285714 0.        ],[0.95238095 0.         0.125      0.11111111 0.        ],[0.76923077 0.         0.125      0.2        0.        ],22
20,log2,entropy,0.07358789443969727,0.004683017730712891,0.6133333333333333,0.6133333333333333,[0.82828283 0.28571429 0.14285714 0.15384615 0.        ],[0.97619048 0.23076923 0.125      0.11111111 0.        ],[0.71929825 0.375      0.16666667 0.25       0.        ],23
50,sqrt,gini,0.17492914199829102,0.00911402702331543,0.5733333333333334,0.5733333333333334,[0.82474227 0.         0.4        0.         0.        ],[0.95238095 0.         0.375      0.         0.        ],[0.72727273 0.         0.42857143 0.         0.        ],24
50,sqrt,entropy,0.12991833686828613,0.01335597038269043,0.56,0.56,[0.84444444 0.07692308 0.35294118 0.         0.        ],[0.9047619  0.07692308 0.375      0.         0.        ],[0.79166667 0.07692308 0.33333333 0.         0.        ],25
50,log2,gini,0.16515374183654785,0.00794219970703125,0.5866666666666667,0.5866666666666667,[0.84536082 0.0952381  0.14285714 0.14285714 0.        ],[0.97619048 0.07692308 0.125      0.11111111 0.        ],[0.74545455 0.125      0.16666667 0.2        0.        ],26
50,log2,entropy,0.13315367698669434,0.019402027130126953,0.5733333333333334,0.5733333333333334,[0.83333333 0.09090909 0.125      0.16666667 0.        ],[0.95238095 0.07692308 0.125      0.11111111 0.        ],[0.74074074 0.11111111 0.125      0.33333333 0.        ],27
100,sqrt,gini,0.287930965423584,0.01684713363647461,0.6,0.6,[0.83333333 0.24       0.26666667 0.         0.        ],[0.95238095 0.23076923 0.25       0.         0.        ],[0.74074074 0.25       0.28571429 0.         0.        ],28
100,sqrt,entropy,0.20742583274841309,0.011828899383544922,0.5866666666666667,0.5866666666666667,[0.85416667 0.18181818 0.125      0.         0.        ],[0.97619048 0.15384615 0.125      0.         0.        ],[0.75925926 0.22222222 0.125      0.         0.        ],29
100,log2,gini,0.28095197677612305,0.020508766174316406,0.5866666666666667,0.5866666666666667,[0.83673469 0.1        0.25       0.         0.        ],[0.97619048 0.07692308 0.25       0.         0.        ],[0.73214286 0.14285714 0.25       0.         0.        ],30
100,log2,entropy,0.199387788772583,0.012331962585449219,0.6,0.6,[0.86597938 0.1        0.23529412 0.         0.        ],[1.         0.07692308 0.25       0.         0.        ],[0.76363636 0.14285714 0.22222222 0.         0.        ],31
1000,sqrt,gini,1.6107850074768066,0.09211397171020508,0.5866666666666667,0.5866666666666667,[0.84536082 0.09090909 0.23529412 0.         0.        ],[0.97619048 0.07692308 0.25       0.         0.        ],[0.74545455 0.11111111 0.22222222 0.         0.        ],32
