n_estimators,max_features,criterion,train_time,inference_time,score,accuracy,f1,recall,precision,id
1,sqrt,gini,0.0038967132568359375,0.0008172988891601562,0.7631578947368421,0.7631578947368421,[0.75  0.775],[0.77142857 0.75609756],[0.72972973 0.79487179],0
1,sqrt,entropy,0.003690004348754883,0.0008008480072021484,0.6710526315789473,0.6710526315789473,[0.65753425 0.6835443 ],[0.68571429 0.65853659],[0.63157895 0.71052632],1
1,log2,gini,0.004734992980957031,0.0009009838104248047,0.6973684210526315,0.6973684210526315,[0.64615385 0.73563218],[0.6       0.7804878],[0.7        0.69565217],2
1,log2,entropy,0.0048520565032958984,0.0010640621185302734,0.8157894736842105,0.8157894736842105,[0.8        0.82926829],[0.8        0.82926829],[0.8        0.82926829],3
8,sqrt,gini,0.02322697639465332,0.0018711090087890625,0.7894736842105263,0.7894736842105263,[0.77777778 0.8       ],[0.8       0.7804878],[0.75675676 0.82051282],4
8,sqrt,entropy,0.019428730010986328,0.0013620853424072266,0.8552631578947368,0.8552631578947368,[0.84057971 0.86746988],[0.82857143 0.87804878],[0.85294118 0.85714286],5
8,log2,gini,0.024629831314086914,0.0026438236236572266,0.868421052631579,0.868421052631579,[0.85714286 0.87804878],[0.85714286 0.87804878],[0.85714286 0.87804878],6
8,log2,entropy,0.021975040435791016,0.002232789993286133,0.8552631578947368,0.8552631578947368,[0.84057971 0.86746988],[0.82857143 0.87804878],[0.85294118 0.85714286],7
10,sqrt,gini,0.027170896530151367,0.00279998779296875,0.7631578947368421,0.7631578947368421,[0.76315789 0.76315789],[0.82857143 0.70731707],[0.70731707 0.82857143],8
10,sqrt,entropy,0.029271841049194336,0.002202272415161133,0.7763157894736842,0.7763157894736842,[0.77922078 0.77333333],[0.85714286 0.70731707],[0.71428571 0.85294118],9
10,log2,gini,0.027280092239379883,0.0015330314636230469,0.8289473684210527,0.8289473684210527,[0.83116883 0.82666667],[0.91428571 0.75609756],[0.76190476 0.91176471],10
10,log2,entropy,0.02785801887512207,0.0018818378448486328,0.8289473684210527,0.8289473684210527,[0.81690141 0.83950617],[0.82857143 0.82926829],[0.80555556 0.85      ],11
12,sqrt,gini,0.03323078155517578,0.0019872188568115234,0.8552631578947368,0.8552631578947368,[0.84057971 0.86746988],[0.82857143 0.87804878],[0.85294118 0.85714286],12
12,sqrt,entropy,0.0337519645690918,0.0041179656982421875,0.8157894736842105,0.8157894736842105,[0.80555556 0.825     ],[0.82857143 0.80487805],[0.78378378 0.84615385],13
12,log2,gini,0.02564096450805664,0.0017888545989990234,0.7894736842105263,0.7894736842105263,[0.77777778 0.8       ],[0.8       0.7804878],[0.75675676 0.82051282],14
12,log2,entropy,0.029827117919921875,0.0026051998138427734,0.8421052631578947,0.8421052631578947,[0.83333333 0.85      ],[0.85714286 0.82926829],[0.81081081 0.87179487],15
15,sqrt,gini,0.03982424736022949,0.0033197402954101562,0.8421052631578947,0.8421052631578947,[0.82857143 0.85365854],[0.82857143 0.85365854],[0.82857143 0.85365854],16
15,sqrt,entropy,0.03194117546081543,0.0020287036895751953,0.8552631578947368,0.8552631578947368,[0.84057971 0.86746988],[0.82857143 0.87804878],[0.85294118 0.85714286],17
15,log2,gini,0.03147602081298828,0.0031957626342773438,0.868421052631579,0.868421052631579,[0.84848485 0.88372093],[0.8        0.92682927],[0.90322581 0.84444444],18
15,log2,entropy,0.03019118309020996,0.004086971282958984,0.8421052631578947,0.8421052631578947,[0.81818182 0.86046512],[0.77142857 0.90243902],[0.87096774 0.82222222],19
20,sqrt,gini,0.04713773727416992,0.003451108932495117,0.8289473684210527,0.8289473684210527,[0.8115942  0.84337349],[0.8        0.85365854],[0.82352941 0.83333333],20
20,sqrt,entropy,0.040973663330078125,0.0028831958770751953,0.8026315789473685,0.8026315789473685,[0.78873239 0.81481481],[0.8        0.80487805],[0.77777778 0.825     ],21
20,log2,gini,0.0496518611907959,0.004151105880737305,0.8157894736842105,0.8157894736842105,[0.8        0.82926829],[0.8        0.82926829],[0.8        0.82926829],22
20,log2,entropy,0.04373288154602051,0.00613093376159668,0.8289473684210527,0.8289473684210527,[0.82191781 0.83544304],[0.85714286 0.80487805],[0.78947368 0.86842105],23
50,sqrt,gini,0.11011290550231934,0.00724029541015625,0.8421052631578947,0.8421052631578947,[0.81818182 0.86046512],[0.77142857 0.90243902],[0.87096774 0.82222222],24
50,sqrt,entropy,0.1326150894165039,0.011925935745239258,0.8552631578947368,0.8552631578947368,[0.8358209  0.87058824],[0.8        0.90243902],[0.875      0.84090909],25
50,log2,gini,0.09839725494384766,0.007057905197143555,0.8552631578947368,0.8552631578947368,[0.84057971 0.86746988],[0.82857143 0.87804878],[0.85294118 0.85714286],26
50,log2,entropy,0.11963009834289551,0.00983285903930664,0.8026315789473685,0.8026315789473685,[0.78873239 0.81481481],[0.8        0.80487805],[0.77777778 0.825     ],27
100,sqrt,gini,0.2239086627960205,0.017521142959594727,0.8552631578947368,0.8552631578947368,[0.8358209  0.87058824],[0.8        0.90243902],[0.875      0.84090909],28
100,sqrt,entropy,0.20965099334716797,0.013746023178100586,0.8289473684210527,0.8289473684210527,[0.8115942  0.84337349],[0.8        0.85365854],[0.82352941 0.83333333],29
100,log2,gini,0.2360398769378662,0.013959169387817383,0.8289473684210527,0.8289473684210527,[0.8115942  0.84337349],[0.8        0.85365854],[0.82352941 0.83333333],30
100,log2,entropy,0.19514083862304688,0.019368410110473633,0.8421052631578947,0.8421052631578947,[0.82352941 0.85714286],[0.8        0.87804878],[0.84848485 0.8372093 ],31
1000,sqrt,gini,1.6236610412597656,0.09873795509338379,0.8421052631578947,0.8421052631578947,[0.82352941 0.85714286],[0.8        0.87804878],[0.84848485 0.8372093 ],32
1000,sqrt,entropy,1.7887721061706543,0.09346795082092285,0.8552631578947368,0.8552631578947368,[0.8358209  0.87058824],[0.8        0.90243902],[0.875      0.84090909],33
1000,log2,gini,1.4303319454193115,0.09807896614074707,0.8552631578947368,0.8552631578947368,[0.8358209  0.87058824],[0.8        0.90243902],[0.875      0.84090909],34
1000,log2,entropy,1.3574202060699463,0.09349393844604492,0.8421052631578947,0.8421052631578947,[0.82352941 0.85714286],[0.8        0.87804878],[0.84848485 0.8372093 ],35
