n_estimators,max_features,criterion,train_time,inference_time,score,accuracy,f1,recall,precision,id
1,sqrt,gini,0.012943267822265625,0.001405954360961914,0.8295454545454546,0.8295454545454546,0.8229376257545272,0.8333333333333334,0.8184210526315789,0
1,sqrt,entropy,0.019298553466796875,0.0010616779327392578,0.8977272727272727,0.8977272727272727,0.8902286902286902,0.8878787878787879,0.8928571428571428,1
1,log2,gini,0.06445431709289551,0.0012688636779785156,0.8295454545454546,0.8295454545454546,0.8229376257545272,0.8333333333333334,0.8184210526315789,2
1,log2,entropy,0.037079811096191406,0.0010387897491455078,0.8977272727272727,0.8977272727272727,0.8902286902286902,0.8878787878787879,0.8928571428571428,3
8,sqrt,gini,0.0343325138092041,0.0030777454376220703,0.8863636363636364,0.8863636363636364,0.8787878787878789,0.8787878787878788,0.8787878787878788,4
8,sqrt,entropy,0.02564239501953125,0.0026960372924804688,0.9090909090909091,0.9090909090909091,0.9030303030303031,0.9030303030303031,0.9030303030303031,5
8,log2,gini,0.16922998428344727,0.019192934036254883,0.8863636363636364,0.8863636363636364,0.8787878787878789,0.8787878787878788,0.8787878787878788,6
8,log2,entropy,0.12175369262695312,0.0023772716522216797,0.9090909090909091,0.9090909090909091,0.9030303030303031,0.9030303030303031,0.9030303030303031,7
10,sqrt,gini,0.17899107933044434,0.0031769275665283203,0.8863636363636364,0.8863636363636364,0.8787878787878789,0.8787878787878788,0.8787878787878788,8
10,sqrt,entropy,0.14171934127807617,0.003994941711425781,0.9204545454545454,0.9204545454545454,0.9146223146223145,0.9121212121212121,0.9174107142857143,9
10,log2,gini,0.14008736610412598,0.036026716232299805,0.8863636363636364,0.8863636363636364,0.8787878787878789,0.8787878787878788,0.8787878787878788,10
10,log2,entropy,0.14320707321166992,0.0036177635192871094,0.9204545454545454,0.9204545454545454,0.9146223146223145,0.9121212121212121,0.9174107142857143,11
12,sqrt,gini,0.11562776565551758,0.01589202880859375,0.8863636363636364,0.8863636363636364,0.8801742919389979,0.8848484848484848,0.8765498652291106,12
12,sqrt,entropy,0.05698347091674805,0.02412557601928711,0.8977272727272727,0.8977272727272727,0.8902286902286902,0.8878787878787879,0.8928571428571428,13
12,log2,gini,0.08519625663757324,0.0037686824798583984,0.8863636363636364,0.8863636363636364,0.8801742919389979,0.8848484848484848,0.8765498652291106,14
12,log2,entropy,0.037395477294921875,0.0030050277709960938,0.8977272727272727,0.8977272727272727,0.8902286902286902,0.8878787878787879,0.8928571428571428,15
15,sqrt,gini,0.09979867935180664,0.03183698654174805,0.9204545454545454,0.9204545454545454,0.9165650819450089,0.9242424242424243,0.9113247863247864,16
15,sqrt,entropy,0.18030619621276855,0.01924753189086914,0.9090909090909091,0.9090909090909091,0.9030303030303031,0.9030303030303031,0.9030303030303031,17
15,log2,gini,0.23830771446228027,0.02612924575805664,0.9204545454545454,0.9204545454545454,0.9173708920187793,0.9303030303030303,0.9110526315789473,18
15,log2,entropy,0.1276865005493164,0.004391670227050781,0.9090909090909091,0.9090909090909091,0.9051212938005391,0.9151515151515152,0.899311075781664,19
20,sqrt,gini,0.22315740585327148,0.005024433135986328,0.8863636363636364,0.8863636363636364,0.8801742919389979,0.8848484848484848,0.8765498652291106,20
20,sqrt,entropy,0.1648268699645996,0.0049822330474853516,0.9204545454545454,0.9204545454545454,0.9156511022867315,0.9181818181818182,0.9133986928104575,21
20,log2,gini,0.2901294231414795,0.009922504425048828,0.9204545454545454,0.9204545454545454,0.9156511022867315,0.9181818181818182,0.9133986928104575,22
20,log2,entropy,0.16230535507202148,0.0048906803131103516,0.9431818181818182,0.9431818181818182,0.9390159390159389,0.9363636363636363,0.9419642857142857,23
50,sqrt,gini,0.3088083267211914,0.012548208236694336,0.9318181818181818,0.9318181818181818,0.9281045751633987,0.9333333333333333,0.923989218328841,24
50,sqrt,entropy,0.21931934356689453,0.020394086837768555,0.9545454545454546,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,25
50,log2,gini,0.3617701530456543,0.020082473754882812,0.9204545454545454,0.9204545454545454,0.9156511022867315,0.9181818181818182,0.9133986928104575,26
50,log2,entropy,0.3145327568054199,0.014921426773071289,0.9545454545454546,0.9545454545454546,0.9525606469002695,0.9636363636363636,0.9459459459459459,27
100,sqrt,gini,0.5744543075561523,0.023315906524658203,0.9431818181818182,0.9431818181818182,0.9404036299607206,0.9484848484848485,0.9348290598290598,28
100,sqrt,entropy,0.3202028274536133,0.022683382034301758,0.8977272727272727,0.8977272727272727,0.8915514172257976,0.8939393939393939,0.8894335511982571,29
100,log2,gini,0.5661733150482178,0.055325984954833984,0.9431818181818182,0.9431818181818182,0.9404036299607206,0.9484848484848485,0.9348290598290598,30
100,log2,entropy,0.3364284038543701,0.016164779663085938,0.8977272727272727,0.8977272727272727,0.8915514172257976,0.8939393939393939,0.8894335511982571,31
1000,sqrt,gini,2.421964168548584,0.13753604888916016,0.9318181818181818,0.9318181818181818,0.9281045751633987,0.9333333333333333,0.923989218328841,32
1000,sqrt,entropy,1.8511435985565186,0.14322495460510254,0.9318181818181818,0.9318181818181818,0.9281045751633987,0.9333333333333333,0.923989218328841,33
1000,log2,gini,2.3622262477874756,0.1327970027923584,0.9318181818181818,0.9318181818181818,0.9281045751633987,0.9333333333333333,0.923989218328841,34
1000,log2,entropy,1.8776798248291016,0.13233327865600586,0.9318181818181818,0.9318181818181818,0.9281045751633987,0.9333333333333333,0.923989218328841,35
