alpha,hidden_layer_sizes,solver,activation,score,f1_score,recall,precision,id
0.01,"(10, 10, 10)",adam,tanh,0.9545454545454546,0.9520697167755992,0.9575757575757575,0.9477088948787062,0
0.01,"(10, 10, 10)",adam,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,1
0.01,"(10, 10, 10)",lbfgs,tanh,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,2
0.01,"(10, 10, 10)",lbfgs,relu,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,3
0.01,"(30, 30, 30)",adam,tanh,0.9545454545454546,0.950892857142857,0.9454545454545454,0.9575551782682512,4
0.01,"(30, 30, 30)",adam,relu,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,5
0.01,"(30, 30, 30)",lbfgs,tanh,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,6
0.01,"(30, 30, 30)",lbfgs,relu,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,7
0.01,"(50, 50, 50)",adam,tanh,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,8
0.01,"(50, 50, 50)",adam,relu,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,9
0.01,"(50, 50, 50)",lbfgs,tanh,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,10
0.01,"(50, 50, 50)",lbfgs,relu,0.9545454545454546,0.950892857142857,0.9454545454545454,0.9575551782682512,11
0.01,"(100, 100, 100)",adam,tanh,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,12
0.01,"(100, 100, 100)",adam,relu,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,13
0.01,"(100, 100, 100)",lbfgs,tanh,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,14
0.01,"(100, 100, 100)",lbfgs,relu,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,15
0.01,"(200, 200, 200)",adam,tanh,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,16
0.01,"(200, 200, 200)",adam,relu,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,17
0.01,"(200, 200, 200)",lbfgs,tanh,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,18
0.01,"(200, 200, 200)",lbfgs,relu,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,19
0.1,"(10, 10, 10)",adam,tanh,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,20
0.1,"(10, 10, 10)",adam,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,21
0.1,"(10, 10, 10)",lbfgs,tanh,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,22
0.1,"(10, 10, 10)",lbfgs,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,23
0.1,"(30, 30, 30)",adam,tanh,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,24
0.1,"(30, 30, 30)",adam,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,25
0.1,"(30, 30, 30)",lbfgs,tanh,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,26
0.1,"(30, 30, 30)",lbfgs,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,27
0.1,"(50, 50, 50)",adam,tanh,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,28
0.1,"(50, 50, 50)",adam,relu,0.9886363636363636,0.9879501574695331,0.990909090909091,0.9852941176470589,29
0.1,"(50, 50, 50)",lbfgs,tanh,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,30
0.1,"(50, 50, 50)",lbfgs,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,31
0.1,"(100, 100, 100)",adam,tanh,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,32
0.1,"(100, 100, 100)",adam,relu,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,33
0.1,"(100, 100, 100)",lbfgs,tanh,0.9545454545454546,0.950892857142857,0.9454545454545454,0.9575551782682512,34
0.1,"(100, 100, 100)",lbfgs,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,35
0.1,"(200, 200, 200)",adam,tanh,0.9772727272727273,0.9757575757575758,0.9757575757575758,0.9757575757575758,36
0.1,"(200, 200, 200)",adam,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,37
0.1,"(200, 200, 200)",lbfgs,tanh,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,38
0.1,"(200, 200, 200)",lbfgs,relu,0.9659090909090909,0.9634095634095634,0.9606060606060607,0.9665178571428572,39
