ID,Class
126,republican
130,democrat
393,republican
288,democrat
348,republican
240,republican
123,republican
149,republican
370,republican
59,republican
258,republican
398,democrat
412,democrat
214,democrat
163,democrat
71,democrat
208,republican
319,democrat
239,democrat
300,democrat
419,democrat
198,republican
35,democrat
205,republican
435,republican
109,democrat
263,democrat
119,democrat
4,democrat
150,democrat
178,democrat
226,republican
317,democrat
153,democrat
394,democrat
431,republican
23,democrat
60,republican
308,democrat
129,democrat
114,republican
291,democrat
42,democrat
264,democrat
231,republican
322,democrat
162,democrat
402,republican
287,democrat
94,democrat
131,democrat
391,democrat
294,democrat
98,democrat
81,democrat
251,republican
356,republican
409,democrat
315,republican
7,republican
24,democrat
92,democrat
99,democrat
434,republican
104,democrat
234,republican
246,democrat
195,democrat
219,democrat
25,democrat
386,democrat
404,republican
309,republican
365,democrat
202,democrat
351,democrat
424,democrat
354,republican
8,republican
299,democrat
45,democrat
279,republican
140,democrat
224,republican
270,democrat
290,democrat
341,republican
355,democrat
58,republican
124,republican
13,democrat
72,democrat
110,democrat
47,democrat
103,democrat
143,republican
74,republican
283,republican
401,republican
127,republican
324,democrat
321,democrat
342,democrat
134,republican
9,republican
102,democrat
329,democrat
259,democrat
241,republican
410,republican
323,democrat
371,democrat
188,democrat
85,republican
366,democrat
388,democrat
350,republican
368,democrat
33,democrat
39,republican
17,democrat
101,democrat
181,democrat
6,democrat
340,republican
179,democrat
278,republican
327,democrat
192,republican
420,democrat
232,republican
62,republican
174,democrat
108,democrat
89,democrat
223,democrat
286,democrat
180,democrat
363,democrat
183,democrat
268,democrat
90,republican
408,republican
381,democrat
414,democrat
276,democrat
302,democrat
344,republican
95,democrat
78,democrat
64,democrat
194,democrat
215,republican
158,democrat
147,republican
362,democrat
304,republican
316,republican
27,democrat
55,democrat
170,democrat
50,republican
221,democrat
417,republican
364,democrat
295,democrat
38,republican
133,republican
120,republican
249,democrat
63,democrat
144,democrat
125,democrat
253,democrat
11,republican
274,republican
337,democrat
229,republican
280,republican
416,democrat
335,democrat
400,republican
34,republican
26,democrat
16,republican
53,democrat
375,republican
396,democrat
173,democrat
117,democrat
353,democrat
84,republican
413,republican
373,democrat
190,democrat
82,democrat
387,democrat
76,republican
281,democrat
260,democrat
213,democrat
37,republican
296,republican
142,republican
423,democrat
212,republican
372,democrat
5,democrat
91,democrat
349,democrat
113,democrat
186,democrat
237,democrat
338,democrat
184,democrat
136,republican
305,republican
