ID,Class
0,democrat
1,republican
2,democrat
3,republican
4,democrat
5,democrat
6,democrat
7,democrat
8,democrat
9,republican
10,democrat
11,democrat
12,republican
13,democrat
14,democrat
15,democrat
16,democrat
17,democrat
18,democrat
19,democrat
20,democrat
21,democrat
22,democrat
23,republican
24,democrat
25,republican
26,democrat
27,republican
28,republican
29,democrat
30,democrat
31,democrat
32,republican
33,democrat
34,democrat
35,democrat
36,democrat
37,republican
38,democrat
39,democrat
40,republican
41,republican
42,democrat
43,republican
44,republican
45,republican
46,democrat
47,democrat
48,democrat
49,democrat
50,democrat
51,republican
52,republican
53,republican
54,democrat
55,democrat
56,democrat
57,republican
58,democrat
59,democrat
60,democrat
61,democrat
62,republican
63,republican
64,democrat
65,republican
66,democrat
67,republican
68,republican
69,democrat
70,democrat
71,democrat
72,republican
73,democrat
74,democrat
75,democrat
76,democrat
77,democrat
78,republican
79,republican
80,democrat
81,democrat
82,republican
83,democrat
84,republican
85,democrat
86,democrat
87,democrat
88,democrat
89,republican
90,republican
91,democrat
92,republican
93,democrat
94,republican
95,republican
96,democrat
97,republican
98,democrat
99,democrat
100,democrat
101,republican
102,democrat
103,democrat
104,democrat
105,republican
106,republican
107,republican
108,democrat
109,republican
110,democrat
111,democrat
112,republican
113,republican
114,democrat
115,republican
116,democrat
117,democrat
118,republican
119,democrat
120,democrat
121,democrat
122,democrat
123,republican
124,democrat
125,republican
126,democrat
127,democrat
128,democrat
129,republican
130,democrat
131,democrat
132,democrat
133,democrat
134,democrat
135,republican
136,democrat
137,democrat
138,democrat
139,republican
140,democrat
141,republican
142,republican
143,republican
144,republican
145,republican
146,republican
147,republican
148,republican
149,republican
150,democrat
151,republican
152,republican
153,republican
154,republican
155,democrat
156,republican
157,republican
158,republican
159,democrat
160,democrat
161,republican
162,democrat
163,republican
164,democrat
165,democrat
166,republican
167,democrat
168,republican
169,democrat
170,republican
171,democrat
172,democrat
173,republican
174,democrat
175,democrat
176,democrat
177,republican
178,democrat
179,republican
180,democrat
181,democrat
182,republican
183,democrat
184,democrat
185,republican
186,democrat
187,democrat
188,republican
189,democrat
190,republican
191,democrat
192,republican
193,democrat
194,republican
195,democrat
196,republican
197,republican
198,republican
199,democrat
200,democrat
201,democrat
202,republican
203,republican
204,democrat
205,republican
206,democrat
207,republican
208,republican
209,republican
210,republican
211,republican
212,republican
213,democrat
214,democrat
215,republican
216,democrat
