criterion,max_features,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
mse,auto,0.2547299861907959,0.005778312683105469,1,0.6843797416494094,1255732.2268640199,10,48193,14458,33735
mse,sqrt,0.0925900936126709,0.005828380584716797,1,0.6864729305926789,1247404.2290773275,10,48193,14458,33735
mse,log2,0.09371614456176758,0.006333112716674805,1,0.699879005140127,1194066.588670632,10,48193,14458,33735
mse,auto,0.2538168430328369,0.006405353546142578,2,0.7007917465858311,1186066.906349426,10,48193,14458,33735
mse,sqrt,0.0981912612915039,0.005991697311401367,2,0.7143736885473675,1132227.843754323,10,48193,14458,33735
mse,log2,0.0901031494140625,0.005593776702880859,2,0.7321264917442296,1061855.4120901923,10,48193,14458,33735
mse,auto,0.24782252311706543,0.005821704864501953,3,0.6888279656386547,1237562.110527044,10,48193,14458,33735
mse,sqrt,0.10063385963439941,0.005892753601074219,3,0.6732791635353701,1299401.2420113431,10,48193,14458,33735
mse,log2,0.08635377883911133,0.005787849426269531,3,0.67475422775929,1293534.7649744086,10,48193,14458,33735
mse,auto,0.24807953834533691,0.0062029361724853516,4,0.7125890882202643,1138308.6704246784,10,48193,14458,33735
mse,sqrt,0.08854532241821289,0.005578041076660156,4,0.7020692340292549,1179973.2027943006,10,48193,14458,33735
mse,log2,0.08869719505310059,0.0062444210052490234,4,0.6930014553217951,1215886.7005118274,10,48193,14458,33735
mse,auto,0.25565171241760254,0.007029294967651367,5,0.6999830541978055,1191898.816087979,10,48193,14458,33735
mse,sqrt,0.09788179397583008,0.007338047027587891,5,0.6810814987713117,1266990.3795822382,10,48193,14458,33735
mse,log2,0.09457540512084961,0.006654977798461914,5,0.6905833697244426,1229241.6160603126,10,48193,14458,33735
mse,auto,0.2630584239959717,0.0070078372955322266,6,0.6994615791344314,1185459.3208604234,10,48193,14458,33735
mse,sqrt,0.10140872001647949,0.006791591644287109,6,0.6843231924011437,1245171.9579471573,10,48193,14458,33735
mse,log2,0.09853076934814453,0.005941629409790039,6,0.6535554732971939,1366533.7435329922,10,48193,14458,33735
mse,auto,0.2778773307800293,0.006821870803833008,7,0.7122554552148626,1127521.851500899,10,48193,14458,33735
mse,sqrt,0.09090328216552734,0.006032466888427734,7,0.7054963119002958,1154007.4336699406,10,48193,14458,33735
mse,log2,0.10063910484313965,0.007266998291015625,7,0.6996769536382308,1176810.4849218426,10,48193,14458,33735
mse,auto,0.2698209285736084,0.0073566436767578125,8,0.6944737173442551,1209345.9189376123,10,48193,14458,33735
mse,sqrt,0.10050415992736816,0.00724339485168457,8,0.6856416111473813,1244305.5024208052,10,48193,14458,33735
mse,log2,0.10269856452941895,0.0060350894927978516,8,0.7264370390709141,1082827.4657628995,10,48193,14458,33735
mse,auto,0.26201653480529785,0.0067937374114990234,9,0.673469306803022,1299156.1249827086,10,48193,14458,33735
mse,sqrt,0.10222649574279785,0.0071561336517333984,9,0.6848135047995293,1254021.365472403,10,48193,14458,33735
mse,log2,0.10225558280944824,0.0061070919036865234,9,0.6789280982032806,1277437.4246265043,10,48193,14458,33735
mse,auto,0.25499916076660156,0.006798744201660156,10,0.7002863256407389,1180469.849633421,10,48193,14458,33735
mse,sqrt,0.09616923332214355,0.0056934356689453125,10,0.6842558525236446,1243608.4108970813,10,48193,14458,33735
mse,log2,0.09306979179382324,0.006047725677490234,10,0.7155262651063299,1120444.9305574768,10,48193,14458,33735
