criterion,max_features,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
mse,auto,0.2948317527770996,0.007401943206787109,1,0.753237697634607,0.2557256525106082,10,48193,14458,33735
mse,sqrt,0.09562993049621582,0.007584095001220703,1,0.7518531253158764,0.25716051778890014,10,48193,14458,33735
mse,log2,0.09372138977050781,0.005921602249145508,1,0.7555432250674818,0.25333637950779764,10,48193,14458,33735
mse,auto,0.2781836986541748,0.006112337112426758,2,0.7455270261182037,0.261266277691484,10,48193,14458,33735
mse,sqrt,0.09484267234802246,0.006827831268310547,2,0.7462820148243261,0.2604911341234314,10,48193,14458,33735
mse,log2,0.0945734977722168,0.006753206253051758,2,0.7374092749371892,0.26960073695423653,10,48193,14458,33735
mse,auto,0.28962016105651855,0.006711483001708984,3,0.7322401998995547,0.27840475077705373,10,48193,14458,33735
mse,sqrt,0.10024738311767578,0.006377458572387695,3,0.7612300160193073,0.24826242721367828,10,48193,14458,33735
mse,log2,0.10340380668640137,0.00553584098815918,3,0.7577359069252643,0.25189544670035985,10,48193,14458,33735
mse,auto,0.26884913444519043,0.005602598190307617,4,0.7607019766113265,0.24614067499126863,10,48193,14458,33735
mse,sqrt,0.09083914756774902,0.00670933723449707,4,0.7474996353274206,0.25972053306559784,10,48193,14458,33735
mse,log2,0.09812593460083008,0.006314277648925781,4,0.7387199005364182,0.2687513216074306,10,48193,14458,33735
mse,auto,0.2704341411590576,0.007113933563232422,5,0.7486406364448241,0.26337001154348877,10,48193,14458,33735
mse,sqrt,0.1001584529876709,0.0066297054290771484,5,0.7652703574472178,0.24594567631913566,10,48193,14458,33735
mse,log2,0.09779739379882812,0.006334543228149414,5,0.7618913544602619,0.24948613744655537,10,48193,14458,33735
mse,auto,0.2780458927154541,0.0059468746185302734,6,0.7676917034007685,0.24016412858088412,10,48193,14458,33735
mse,sqrt,0.09707331657409668,0.005861520767211914,6,0.7498335469261996,0.2586261837487841,10,48193,14458,33735
mse,log2,0.10308980941772461,0.005879402160644531,6,0.7424842774426831,0.266223979122661,10,48193,14458,33735
mse,auto,0.2720823287963867,0.006009340286254883,7,0.747840946419265,0.25774065566869103,10,48193,14458,33735
mse,sqrt,0.09951901435852051,0.005825042724609375,7,0.7328431122831844,0.27307047051750055,10,48193,14458,33735
mse,log2,0.09492897987365723,0.005723237991333008,7,0.7339761620429266,0.2719123404252661,10,48193,14458,33735
mse,auto,0.27433347702026367,0.007260799407958984,8,0.7495978858645502,0.2587720075044081,10,48193,14458,33735
mse,sqrt,0.1070258617401123,0.006045103073120117,8,0.7577556871567251,0.25034152510018903,10,48193,14458,33735
mse,log2,0.0988302230834961,0.005686521530151367,8,0.7562452651073527,0.2519024342292693,10,48193,14458,33735
mse,auto,0.2933943271636963,0.007875680923461914,9,0.7546478648348085,0.25607351194636435,10,48193,14458,33735
mse,sqrt,0.11106395721435547,0.005594968795776367,9,0.758345305244514,0.2522145010994107,10,48193,14458,33735
mse,log2,0.09545636177062988,0.005603313446044922,9,0.7180342047486419,0.2942871126438376,10,48193,14458,33735
mse,auto,0.2748746871948242,0.007523536682128906,10,0.7502666657330417,0.2588137452569829,10,48193,14458,33735
mse,sqrt,0.10349893569946289,0.006634712219238281,10,0.7199478557501975,0.2902349601557778,10,48193,14458,33735
mse,log2,0.10602426528930664,0.006810665130615234,10,0.751157953400108,0.25789004998862025,10,48193,14458,33735
