weights,n_neighbors,p,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,2,1.1682510375976562e-05,3.182378053665161,1,0.6281431779096032,0.3858478323528286,10,11996,3599,8397
uniform,5,3,6.67572021484375e-06,11.76337718963623,1,0.6272388307916438,0.3867862052814133,10,11996,3599,8397
uniform,10,2,6.4373016357421875e-06,3.022275924682617,1,0.6273900338991456,0.3866293131987385,10,11996,3599,8397
uniform,10,3,6.198883056640625e-06,11.721004247665405,1,0.6246512647387201,0.38947112779265786,10,11996,3599,8397
uniform,5,2,1.0967254638671875e-05,2.9742586612701416,2,0.6407517938479786,0.35889174997758766,10,11996,3599,8397
uniform,5,3,6.198883056640625e-06,12.019169330596924,2,0.6396946520555089,0.3599478428442375,10,11996,3599,8397
uniform,10,2,6.198883056640625e-06,2.9783060550689697,2,0.6404137349957992,0.3592294733982656,10,11996,3599,8397
uniform,10,3,6.4373016357421875e-06,11.714495658874512,2,0.638085387770029,0.3615555103724309,10,11996,3599,8397
uniform,5,2,8.106231689453125e-06,2.9492764472961426,3,0.6294294540329242,0.3748405913016348,10,11996,3599,8397
uniform,5,3,6.198883056640625e-06,11.726356029510498,3,0.6349361851479647,0.3692704067044911,10,11996,3599,8397
uniform,10,2,6.9141387939453125e-06,2.9494762420654297,3,0.6303570465831292,0.37390231020026327,10,11996,3599,8397
uniform,10,3,6.67572021484375e-06,11.689816236495972,3,0.6232109209565209,0.38113077987910166,10,11996,3599,8397
uniform,5,2,8.58306884765625e-06,3.028047561645508,4,0.6176959164240896,0.38863463584941277,10,11996,3599,8397
uniform,5,3,5.9604644775390625e-06,11.74668025970459,4,0.6277078151621345,0.37845695063133505,10,11996,3599,8397
uniform,10,2,6.4373016357421875e-06,3.0273077487945557,4,0.6216997672695638,0.3845644854582066,10,11996,3599,8397
uniform,10,3,8.344650268554688e-06,11.732292175292969,4,0.6193898884990325,0.3869126133841366,10,11996,3599,8397
uniform,5,2,7.152557373046875e-06,2.982267141342163,5,0.6312156797724875,0.3865779748217122,10,11996,3599,8397
uniform,5,3,6.9141387939453125e-06,11.905746936798096,5,0.63727473271897,0.38022657567344126,10,11996,3599,8397
uniform,10,2,6.67572021484375e-06,2.958704710006714,5,0.6394505150639715,0.37794581294452523,10,11996,3599,8397
uniform,10,3,6.4373016357421875e-06,11.619335651397705,5,0.633885712629769,0.38377911424640754,10,11996,3599,8397
uniform,5,2,8.821487426757812e-06,3.0891001224517822,6,0.6286061499029577,0.3765422120010714,10,11996,3599,8397
uniform,5,3,6.9141387939453125e-06,12.443326711654663,6,0.6312209532054665,0.3738911615886397,10,11996,3599,8397
uniform,10,2,6.198883056640625e-06,3.1156370639801025,6,0.6312086712990631,0.37390361375014836,10,11996,3599,8397
uniform,10,3,6.4373016357421875e-06,11.932322025299072,6,0.624330433852932,0.3808771991823199,10,11996,3599,8397
uniform,5,2,6.67572021484375e-06,3.104341983795166,7,0.6560828829605756,0.35554869873986544,10,11996,3599,8397
uniform,5,3,9.298324584960938e-06,11.993232488632202,7,0.6539391726405566,0.3577649112428058,10,11996,3599,8397
uniform,10,2,6.198883056640625e-06,3.2066454887390137,7,0.6540447065066177,0.3576558081278633,10,11996,3599,8397
uniform,10,3,6.4373016357421875e-06,11.960368633270264,7,0.6476531814101403,0.36426350026769727,10,11996,3599,8397
uniform,5,2,8.344650268554688e-06,3.1282999515533447,8,0.630617368502024,0.3748074337439493,10,11996,3599,8397
uniform,5,3,9.298324584960938e-06,12.061467409133911,8,0.6353820587491861,0.36997276862479794,10,11996,3599,8397
uniform,10,2,5.9604644775390625e-06,3.1844260692596436,8,0.6349605967779242,0.3704004202423868,10,11996,3599,8397
uniform,10,3,6.198883056640625e-06,12.139584302902222,8,0.626944988764943,0.3785337465362067,10,11996,3599,8397
uniform,5,2,7.62939453125e-06,2.9356181621551514,9,0.6596353208830746,0.3489099884250067,10,11996,3599,8397
uniform,5,3,5.9604644775390625e-06,11.672967195510864,9,0.6632951202238835,0.3451583049396565,10,11996,3599,8397
uniform,10,2,7.152557373046875e-06,3.0118789672851562,9,0.6535573884947057,0.3551405154138112,10,11996,3599,8397
uniform,10,3,6.4373016357421875e-06,12.485350131988525,9,0.6492095786117478,0.3595974828637616,10,11996,3599,8397
uniform,5,2,1.0013580322265625e-05,3.3810155391693115,10,0.6228054334426592,0.3824570537206827,10,11996,3599,8397
uniform,5,3,5.9604644775390625e-06,12.496743202209473,10,0.6246323288526441,0.3806046701024991,10,11996,3599,8397
uniform,10,2,6.9141387939453125e-06,3.0612845420837402,10,0.6183806865980447,0.3869435330915193,10,11996,3599,8397
uniform,10,3,6.4373016357421875e-06,11.747690439224243,10,0.6152846365506714,0.3900827781503691,10,11996,3599,8397
