weights,n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,2,2,1.1205673217773438e-05,0.6325337886810303,1,0.5031031713949088,1933278.4253066666,10,4998,1500,3498
uniform,5,3,2,7.3909759521484375e-06,2.3005688190460205,1,0.49726149220256965,1956006.66928,10,4998,1500,3498
uniform,10,2,2,7.62939453125e-06,0.5082590579986572,1,0.5164189687594095,1881470.6006666666,10,4998,1500,3498
uniform,10,3,2,6.9141387939453125e-06,2.102785110473633,1,0.49797071203428245,1953247.3049199998,10,4998,1500,3498
uniform,5,2,2,5.7220458984375e-06,0.515087366104126,2,0.489194908768789,1969591.644213333,10,4998,1500,3498
uniform,5,3,2,5.9604644775390625e-06,2.0803208351135254,2,0.48789340671694914,1974610.0506666666,10,4998,1500,3498
uniform,10,2,2,6.4373016357421875e-06,0.5297632217407227,2,0.4937440298261693,1952050.8816466664,10,4998,1500,3498
uniform,10,3,2,6.198883056640625e-06,2.0742955207824707,2,0.46691185738886787,2055511.9150933335,10,4998,1500,3498
uniform,5,2,2,7.3909759521484375e-06,0.5183000564575195,3,0.46530564006743136,2063779.9528266664,10,4998,1500,3498
uniform,5,3,2,7.62939453125e-06,2.0720980167388916,3,0.4535819697428717,2109030.2445866666,10,4998,1500,3498
uniform,10,2,2,6.67572021484375e-06,0.521390438079834,3,0.47317947920220627,2033388.9994599996,10,4998,1500,3498
uniform,10,3,2,6.67572021484375e-06,2.0843186378479004,3,0.45766366294010674,2093275.9796733335,10,4998,1500,3498
uniform,5,2,2,6.198883056640625e-06,0.5152261257171631,4,0.47667144602135625,2064400.3693066668,10,4998,1500,3498
uniform,5,3,2,6.4373016357421875e-06,2.094667911529541,4,0.4756558475952647,2068406.6513066667,10,4998,1500,3498
uniform,10,2,2,6.198883056640625e-06,0.5096800327301025,4,0.4899294170768894,2012100.986566667,10,4998,1500,3498
uniform,10,3,2,6.9141387939453125e-06,2.0763888359069824,4,0.47305435911860816,2078668.8732533331,10,4998,1500,3498
uniform,5,2,2,6.198883056640625e-06,0.5916633605957031,5,0.48190061701437825,1990619.4906666668,10,4998,1500,3498
uniform,5,3,2,7.867813110351562e-06,2.3482234477996826,5,0.48960911376183147,1961002.2311733335,10,4998,1500,3498
uniform,10,2,2,9.5367431640625e-06,0.6081106662750244,5,0.48851677309674024,1965199.17618,10,4998,1500,3498
uniform,10,3,2,9.775161743164062e-06,2.3498170375823975,5,0.4687782675898965,2041037.62546,10,4998,1500,3498
uniform,5,2,2,7.152557373046875e-06,0.5718636512756348,6,0.4851868175261035,1933524.1329333333,10,4998,1500,3498
uniform,5,3,2,7.867813110351562e-06,2.3783981800079346,6,0.4815066214121011,1947346.1333066667,10,4998,1500,3498
uniform,10,2,2,6.4373016357421875e-06,0.5174307823181152,6,0.48494581976139683,1934429.2670866668,10,4998,1500,3498
uniform,10,3,2,9.5367431640625e-06,2.150869369506836,6,0.4725846089484321,1980855.2333066666,10,4998,1500,3498
uniform,5,2,2,5.7220458984375e-06,0.568397045135498,7,0.4526941226000101,2037906.0778666667,10,4998,1500,3498
uniform,5,3,2,6.67572021484375e-06,2.178356885910034,7,0.46783640547273975,1981523.437786667,10,4998,1500,3498
uniform,10,2,2,1.1920928955078125e-05,0.5145463943481445,7,0.4741645294922664,1957960.5218133335,10,4998,1500,3498
uniform,10,3,2,6.9141387939453125e-06,2.140909433364868,7,0.4525096901235568,2038592.8164533335,10,4998,1500,3498
uniform,5,2,2,5.7220458984375e-06,0.5050652027130127,8,0.49595042144150503,1936110.827653333,10,4998,1500,3498
uniform,5,3,2,1.0251998901367188e-05,2.08154559135437,8,0.48600740935354436,1974303.0495733335,10,4998,1500,3498
uniform,10,2,2,6.198883056640625e-06,0.50362229347229,8,0.4972692066464597,1931045.2261266664,10,4998,1500,3498
uniform,10,3,2,6.67572021484375e-06,2.0581414699554443,8,0.49003382634332826,1958837.1314133336,10,4998,1500,3498
uniform,5,2,2,6.67572021484375e-06,0.4884366989135742,9,0.4876852913476607,2004752.77464,10,4998,1500,3498
uniform,5,3,2,6.9141387939453125e-06,2.0517776012420654,9,0.4801865856381051,2034096.1661599998,10,4998,1500,3498
uniform,10,2,2,6.9141387939453125e-06,0.49122190475463867,9,0.4921311043290083,1987355.7416066665,10,4998,1500,3498
uniform,10,3,2,7.3909759521484375e-06,2.0534496307373047,9,0.48624852672365104,2010375.0177999998,10,4998,1500,3498
uniform,5,2,2,5.9604644775390625e-06,0.5081660747528076,10,0.5300378376183887,1846646.3416266667,10,4998,1500,3498
uniform,5,3,2,6.4373016357421875e-06,2.1004743576049805,10,0.5280198239761071,1854575.82576,10,4998,1500,3498
uniform,10,2,2,6.198883056640625e-06,0.4896366596221924,10,0.5145951408118421,1907326.1193733334,10,4998,1500,3498
uniform,10,3,2,6.4373016357421875e-06,2.0184707641601562,10,0.5075264743193322,1935101.39186,10,4998,1500,3498
