weights,n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,2,2,1.049041748046875e-05,0.5736181735992432,1,0.5406735995212149,0.4720196756340831,10,4999,1500,3499
uniform,5,3,2,6.198883056640625e-06,2.264709949493408,1,0.5395879286954792,0.47313534847691335,10,4999,1500,3499
uniform,10,2,2,1.0013580322265625e-05,0.6108734607696533,1,0.5471798502620584,0.46533362762751146,10,4999,1500,3499
uniform,10,3,2,9.059906005859375e-06,2.0946130752563477,1,0.5315494209694418,0.48139599669019084,10,4999,1500,3499
uniform,5,2,2,6.67572021484375e-06,0.5197114944458008,2,0.5735447986598197,0.434716289733466,10,4999,1500,3499
uniform,5,3,2,6.198883056640625e-06,2.1686244010925293,2,0.581178788785025,0.42693441756339484,10,4999,1500,3499
uniform,10,2,2,6.198883056640625e-06,0.5970067977905273,2,0.5729935608284351,0.43527820588331495,10,4999,1500,3499
uniform,10,3,2,6.198883056640625e-06,2.3886868953704834,2,0.5648708636322207,0.44355825212655464,10,4999,1500,3499
uniform,5,2,2,1.239776611328125e-05,0.5321304798126221,3,0.5367278183812039,0.46721580719277384,10,4999,1500,3499
uniform,5,3,2,6.198883056640625e-06,2.318281888961792,3,0.5439596451094659,0.45992241920967336,10,4999,1500,3499
uniform,10,2,2,5.9604644775390625e-06,0.5008363723754883,3,0.5499023478536309,0.4539291289373764,10,4999,1500,3499
uniform,10,3,2,5.9604644775390625e-06,2.131554126739502,3,0.5374813204940198,0.4664558908588584,10,4999,1500,3499
uniform,5,2,2,8.106231689453125e-06,0.5355222225189209,4,0.546990181324695,0.47317915346194694,10,4999,1500,3499
uniform,5,3,2,6.198883056640625e-06,2.1693553924560547,4,0.5481905920259708,0.4719252969316464,10,4999,1500,3499
uniform,10,2,2,6.198883056640625e-06,0.5277507305145264,4,0.5393567410722651,0.4811524570146367,10,4999,1500,3499
uniform,10,3,2,5.9604644775390625e-06,2.156209707260132,4,0.5247321004803225,0.4964282297897531,10,4999,1500,3499
uniform,5,2,2,6.198883056640625e-06,0.5176029205322266,5,0.5413356840756383,0.484185697501428,10,4999,1500,3499
uniform,5,3,2,6.198883056640625e-06,2.1876938343048096,5,0.5354392651387323,0.49041020988794926,10,4999,1500,3499
uniform,10,2,2,6.67572021484375e-06,0.5317671298980713,5,0.5267547154796443,0.499577992486639,10,4999,1500,3499
uniform,10,3,2,8.344650268554688e-06,2.1688151359558105,5,0.5194877669847989,0.5072492945773468,10,4999,1500,3499
uniform,5,2,2,6.198883056640625e-06,0.582080602645874,6,0.5524499552422996,0.45242341638971334,10,4999,1500,3499
uniform,5,3,2,6.198883056640625e-06,2.1540439128875732,6,0.5495752427036703,0.45532943166800277,10,4999,1500,3499
uniform,10,2,2,6.67572021484375e-06,0.49453091621398926,6,0.5539110633284313,0.45094639830026095,10,4999,1500,3499
uniform,10,3,2,6.198883056640625e-06,2.0550971031188965,6,0.545090986509905,0.4598625169193927,10,4999,1500,3499
uniform,5,2,2,6.4373016357421875e-06,0.4949462413787842,7,0.5574288779412144,0.44311152782764635,10,4999,1500,3499
uniform,5,3,2,9.059906005859375e-06,2.0457727909088135,7,0.553245497261309,0.44730001666517893,10,4999,1500,3499
uniform,10,2,2,5.9604644775390625e-06,0.505225419998169,7,0.5478744123223687,0.45267766001957244,10,4999,1500,3499
uniform,10,3,2,6.67572021484375e-06,2.063383102416992,7,0.5349029054089468,0.4656650059175495,10,4999,1500,3499
uniform,5,2,2,6.198883056640625e-06,0.49311184883117676,8,0.5637275878126182,0.42781096487466364,10,4999,1500,3499
uniform,5,3,2,5.9604644775390625e-06,2.07456111907959,8,0.5572686792993444,0.4341446036881902,10,4999,1500,3499
uniform,10,2,2,6.198883056640625e-06,0.49533939361572266,8,0.5488805186634238,0.44237007702762193,10,4999,1500,3499
uniform,10,3,2,6.198883056640625e-06,2.0363404750823975,8,0.5355822476380309,0.45541042979715396,10,4999,1500,3499
uniform,5,2,2,6.4373016357421875e-06,0.49535441398620605,9,0.5530108199025137,0.4656675230638963,10,4999,1500,3499
uniform,5,3,2,6.4373016357421875e-06,2.0802316665649414,9,0.5505599987854384,0.4682207566764241,10,4999,1500,3499
uniform,10,2,2,5.7220458984375e-06,0.4872398376464844,9,0.5333017864199805,0.486200138197428,10,4999,1500,3499
uniform,10,3,2,6.198883056640625e-06,2.037510633468628,9,0.5252418811921262,0.4945968427949892,10,4999,1500,3499
uniform,5,2,2,9.298324584960938e-06,0.49166035652160645,10,0.5421801730550089,0.4520624650328984,10,4999,1500,3499
uniform,5,3,2,5.9604644775390625e-06,2.02569842338562,10,0.5483855584378947,0.4459351161336915,10,4999,1500,3499
uniform,10,2,2,6.67572021484375e-06,0.4941530227661133,10,0.5356224330532702,0.45853773747798426,10,4999,1500,3499
uniform,10,3,2,1.0251998901367188e-05,2.025623083114624,10,0.5196413255647041,0.47431787285011373,10,4999,1500,3499
