weights,n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,1,1,4.76837158203125e-06,0.3859260082244873,0,0.47668444789397424,2127241.2011200003,10,4999,1500,3499
uniform,5,1,4,5.9604644775390625e-06,0.4035308361053467,0,0.47668444789397424,2127241.2011200003,10,4999,1500,3499
uniform,5,2,1,6.198883056640625e-06,0.38593387603759766,0,0.47668444789397424,2127241.2011200003,10,4999,1500,3499
uniform,5,2,4,6.198883056640625e-06,0.39494776725769043,0,0.47668444789397424,2127241.2011200003,10,4999,1500,3499
uniform,5,3,1,7.867813110351562e-06,0.36633825302124023,0,0.47668444789397424,2127241.2011200003,10,4999,1500,3499
uniform,5,3,4,8.106231689453125e-06,0.3874049186706543,0,0.47668444789397424,2127241.2011200003,10,4999,1500,3499
uniform,10,1,1,8.106231689453125e-06,0.3745269775390625,0,0.4838018694397951,2098309.3792066667,10,4999,1500,3499
uniform,10,1,4,6.9141387939453125e-06,0.3894510269165039,0,0.4838018694397951,2098309.3792066667,10,4999,1500,3499
uniform,10,2,1,6.198883056640625e-06,0.3723330497741699,0,0.4838018694397951,2098309.3792066667,10,4999,1500,3499
uniform,10,2,4,5.0067901611328125e-06,0.4196350574493408,0,0.4838018694397951,2098309.3792066667,10,4999,1500,3499
uniform,10,3,1,5.7220458984375e-06,0.3800170421600342,0,0.4838018694397951,2098309.3792066667,10,4999,1500,3499
uniform,10,3,4,5.9604644775390625e-06,0.4033353328704834,0,0.4838018694397951,2098309.3792066667,10,4999,1500,3499
