weights,n_neighbors,p,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,1,0.011171102523803711,0.07241988182067871,1,0.4520940530889813,2227199.4400266665,10,4999,1500,3499
uniform,5,2,0.009460926055908203,0.05411982536315918,1,0.47584482895410063,2130654.19352,10,4999,1500,3499
uniform,5,3,0.009428977966308594,0.5438511371612549,1,0.4658181716018045,2171411.8559733336,10,4999,1500,3499
uniform,10,1,0.008973836898803711,0.07242107391357422,1,0.49440006237956935,2055228.4644733334,10,4999,1500,3499
uniform,10,2,0.009511947631835938,0.05848979949951172,1,0.4838018694397951,2098309.3792066667,10,4999,1500,3499
uniform,10,3,0.00890970230102539,0.5888769626617432,1,0.4759928532975579,2130052.4848933336,10,4999,1500,3499
uniform,5,1,0.010397195816040039,0.06789684295654297,2,0.5062779478508135,1994166.5706933334,10,4999,1500,3499
uniform,5,2,0.009611845016479492,0.05735588073730469,2,0.5134868876465852,1965049.32408,10,4999,1500,3499
uniform,5,3,0.009588003158569336,0.5937268733978271,2,0.5056117375746738,1996857.4253066666,10,4999,1500,3499
uniform,10,1,0.015368938446044922,0.09082317352294922,2,0.5328954290623285,1886657.313213333,10,4999,1500,3499
uniform,10,2,0.01029515266418457,0.06217503547668457,2,0.5121129995401426,1970598.5227066667,10,4999,1500,3499
uniform,10,3,0.009917259216308594,0.6594598293304443,2,0.5023507318525369,2010028.7806666666,10,4999,1500,3499
uniform,5,1,0.010259151458740234,0.07018876075744629,3,0.5101933596519965,2035163.3386133334,10,4999,1500,3499
uniform,5,2,0.009440898895263672,0.0558619499206543,3,0.5085847273063875,2041847.2610133337,10,4999,1500,3499
uniform,5,3,0.010195016860961914,0.5836350917816162,3,0.500362814266361,2076009.5908266664,10,4999,1500,3499
uniform,10,1,0.01018214225769043,0.07395100593566895,3,0.5256192459068838,1971068.2537666664,10,4999,1500,3499
uniform,10,2,0.010095834732055664,0.06089925765991211,3,0.5184932961462092,2000676.81868,10,4999,1500,3499
uniform,10,3,0.009654998779296875,0.6462469100952148,3,0.4960442374830094,2093953.4250266666,10,4999,1500,3499
uniform,5,1,0.009259939193725586,0.06216907501220703,4,0.46906783561898446,2166922.7938933335,10,4999,1500,3499
uniform,5,2,0.009205102920532227,0.048226118087768555,4,0.484015179361414,2105917.3735466665,10,4999,1500,3499
uniform,5,3,0.008932113647460938,0.4737710952758789,4,0.4815447700795076,2115999.9915199997,10,4999,1500,3499
uniform,10,1,0.008708000183105469,0.07063913345336914,4,0.49430573252902343,2063917.9700133337,10,4999,1500,3499
uniform,10,2,0.008599042892456055,0.05646800994873047,4,0.5004587449411748,2038805.3402999998,10,4999,1500,3499
uniform,10,3,0.00914621353149414,0.5444588661193848,4,0.4877221717365141,2090787.8206333332,10,4999,1500,3499
uniform,5,1,0.0077381134033203125,0.05687308311462402,5,0.48746877861151006,2000478.5808533335,10,4999,1500,3499
uniform,5,2,0.007585048675537109,0.04242110252380371,5,0.4940178451141253,1974916.68976,10,4999,1500,3499
uniform,5,3,0.007535219192504883,0.3932228088378906,5,0.4878040182464096,1999170.09528,10,4999,1500,3499
uniform,10,1,0.007584095001220703,0.06491279602050781,5,0.5072366136544115,1923322.0507866666,10,4999,1500,3499
uniform,10,2,0.007957935333251953,0.05032086372375488,5,0.4931196086698786,1978422.62792,10,4999,1500,3499
uniform,10,3,0.0074841976165771484,0.4557819366455078,5,0.4903384197471191,1989277.98392,10,4999,1500,3499
uniform,5,1,0.010109901428222656,0.06744718551635742,6,0.4882127087937759,2077845.5515466665,10,4999,1500,3499
uniform,5,2,0.010195016860961914,0.05622577667236328,6,0.4909320478614009,2066805.0925866668,10,4999,1500,3499
uniform,5,3,0.011584997177124023,0.6016268730163574,6,0.4887581034711035,2075631.26072,10,4999,1500,3499
uniform,10,1,0.009922981262207031,0.07404589653015137,6,0.5040772085821308,2013436.0187600001,10,4999,1500,3499
uniform,10,2,0.010377883911132812,0.06676411628723145,6,0.49228751027143725,2061301.94394,10,4999,1500,3499
uniform,10,3,0.010179996490478516,0.6589341163635254,6,0.47473934726884015,2132547.11368,10,4999,1500,3499
uniform,5,1,0.011836767196655273,0.07008886337280273,7,0.503418723527814,1980651.5434933335,10,4999,1500,3499
uniform,5,2,0.010190010070800781,0.05655217170715332,7,0.5009001941979336,1990696.886,10,4999,1500,3499
uniform,5,3,0.010716915130615234,0.5938577651977539,7,0.49566911593115415,2011561.43272,10,4999,1500,3499
uniform,10,1,0.010005712509155273,0.07428598403930664,7,0.5170052059697288,1926460.8426066665,10,4999,1500,3499
uniform,10,2,0.00997304916381836,0.06130027770996094,7,0.5008317990952444,1990969.68498,10,4999,1500,3499
uniform,10,3,0.009593963623046875,0.6474108695983887,7,0.4930190738048169,2022131.3238466666,10,4999,1500,3499
uniform,5,1,0.010396242141723633,0.0680699348449707,8,0.491229860796498,2018957.353653333,10,4999,1500,3499
uniform,5,2,0.010125875473022461,0.05703401565551758,8,0.4905833039080688,2021523.0914666664,10,4999,1500,3499
uniform,5,3,0.010315895080566406,0.5889608860015869,8,0.47860187611961336,2069069.10464,10,4999,1500,3499
uniform,10,1,0.009918212890625,0.0745389461517334,8,0.5035350198046769,1970126.6748200003,10,4999,1500,3499
uniform,10,2,0.01024174690246582,0.06188511848449707,8,0.49249296837012024,2013944.951926667,10,4999,1500,3499
uniform,10,3,0.010054826736450195,0.6431798934936523,8,0.4803991191928856,2061937.0879599997,10,4999,1500,3499
uniform,5,1,0.00989389419555664,0.06902289390563965,9,0.509076152434792,1962374.1576,10,4999,1500,3499
uniform,5,2,0.010185003280639648,0.055281877517700195,9,0.520410041359008,1917069.1050133333,10,4999,1500,3499
