weights,n_neighbors,p,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,2,2.50850510597229,3.5529284477233887,1,0.7559311185708414,0.25293439622955616,10,48193,14458,33735
uniform,5,3,2.474576234817505,17.69003176689148,1,0.7569444194770583,0.25188428836077725,10,48193,14458,33735
uniform,10,2,2.4854300022125244,4.251154184341431,1,0.7461491617400187,0.26307167112695373,10,48193,14458,33735
uniform,10,3,2.455631971359253,21.870040893554688,1,0.7429934181624307,0.2663420433750612,10,48193,14458,33735
uniform,5,2,2.423511505126953,3.7000629901885986,2,0.7604485524668605,0.24594641253205127,10,48193,14458,33735
uniform,5,3,2.3906452655792236,17.817630290985107,2,0.7593426516491071,0.2470818360143289,10,48193,14458,33735
uniform,10,2,2.4086906909942627,4.5110602378845215,2,0.7474610537224593,0.25928062009724706,10,48193,14458,33735
uniform,10,3,2.406151533126831,21.009814977645874,2,0.7444099423167649,0.26241318269369024,10,48193,14458,33735
uniform,5,2,2.4055607318878174,3.430607557296753,3,0.7522732750369638,0.25757524877997956,10,48193,14458,33735
uniform,5,3,2.3949460983276367,16.994151830673218,3,0.7510287195238157,0.2588692823404179,10,48193,14458,33735
uniform,10,2,2.3995420932769775,4.1856091022491455,3,0.7384380236357683,0.2719605288587771,10,48193,14458,33735
uniform,10,3,2.4051694869995117,20.899627685546875,3,0.7353320469969788,0.27518998545277334,10,48193,14458,33735
uniform,5,2,2.402874231338501,3.7453160285949707,4,0.7619990143876574,0.2448065488282759,10,48193,14458,33735
uniform,5,3,2.494072437286377,18.075746059417725,4,0.7633945122184084,0.24337114717662084,10,48193,14458,33735
uniform,10,2,2.420196533203125,4.460490942001343,4,0.7494072147756105,0.2577584069839532,10,48193,14458,33735
uniform,10,3,2.4009900093078613,22.036214590072632,4,0.7470307450231517,0.26020283114042203,10,48193,14458,33735
uniform,5,2,2.4035539627075195,3.5729925632476807,5,0.7529148796230333,0.2588915331639176,10,48193,14458,33735
uniform,5,3,2.467231273651123,17.874887466430664,5,0.7544165890606476,0.25731806788167993,10,48193,14458,33735
uniform,10,2,2.495809555053711,4.361575365066528,5,0.74123558593996,0.27112889591271205,10,48193,14458,33735
uniform,10,3,2.49633526802063,21.75076651573181,5,0.7379538946456614,0.27456739552473025,10,48193,14458,33735
uniform,5,2,2.4987399578094482,3.8658080101013184,6,0.7644095119155621,0.24355731199025707,10,48193,14458,33735
uniform,5,3,2.4762027263641357,17.790766954421997,6,0.7646668095468191,0.24329131347749894,10,48193,14458,33735
uniform,10,2,2.5217409133911133,4.5631866455078125,6,0.7477285596421788,0.2608023541402052,10,48193,14458,33735
uniform,10,3,2.5013301372528076,21.847410440444946,6,0.7445870153250258,0.2640501341996014,10,48193,14458,33735
uniform,5,2,2.617032766342163,3.6112613677978516,7,0.7499750581287146,0.2555593048765901,10,48193,14458,33735
uniform,5,3,2.4737913608551025,17.6024968624115,7,0.7506337217868788,0.2548860615378732,10,48193,14458,33735
uniform,10,2,2.487531900405884,4.6064300537109375,7,0.7375209784500227,0.268289058643327,10,48193,14458,33735
uniform,10,3,2.622985363006592,24.847610473632812,7,0.7356921106022298,0.2701584089265228,10,48193,14458,33735
uniform,5,2,2.8145172595977783,4.506713151931763,8,0.7646479400940208,0.24321889302908994,10,48193,14458,33735
uniform,5,3,2.963911294937134,18.523017406463623,8,0.763742609283796,0.24415448525452438,10,48193,14458,33735
uniform,10,2,2.762784957885742,4.709117889404297,8,0.7496717062240816,0.2586957196396007,10,48193,14458,33735
uniform,10,3,2.7540359497070312,22.00360679626465,8,0.746806227776431,0.26165697902400853,10,48193,14458,33735
uniform,5,2,2.4179487228393555,3.4664742946624756,9,0.7445455831498032,0.2666172422791327,10,48193,14458,33735
uniform,5,3,2.426290988922119,17.35903239250183,9,0.7465599363694329,0.26451486602345536,10,48193,14458,33735
uniform,10,2,2.3907415866851807,4.156954288482666,9,0.7354602584651273,0.2760995767108733,10,48193,14458,33735
uniform,10,3,2.394526481628418,20.811246395111084,9,0.7327730268727086,0.2789042347213714,10,48193,14458,33735
uniform,5,2,2.4018983840942383,3.7512459754943848,10,0.7539857051096068,0.2549594800158914,10,48193,14458,33735
uniform,5,3,2.4002184867858887,18.063934326171875,10,0.7515977751144933,0.25743423616833255,10,48193,14458,33735
uniform,10,2,2.389896869659424,4.488452196121216,10,0.7403756100801238,0.26906444392959356,10,48193,14458,33735
uniform,10,3,2.4759607315063477,22.56149959564209,10,0.7397268661734483,0.26973677644256056,10,48193,14458,33735
