n_estimators,max_features,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
100,auto,6.68362832069397,0.1766040325164795,1,0.842076662705325,0.1636158599230605,10,19996,5999,13997
100,sqrt,2.5300354957580566,0.17752861976623535,1,0.853005921591658,0.15229264372435225,10,19996,5999,13997
100,log2,2.522195339202881,0.17452788352966309,1,0.8530432103689436,0.15225401083154755,10,19996,5999,13997
100,auto,6.563878059387207,0.1766517162322998,2,0.8373325557948005,0.167315050496849,10,19996,5999,13997
100,sqrt,2.515317916870117,0.17566347122192383,2,0.8477342834160206,0.15661613289411394,10,19996,5999,13997
100,log2,2.537734270095825,0.17946457862854004,2,0.8460811262458648,0.1583165227708672,10,19996,5999,13997
100,auto,6.556870698928833,0.17477631568908691,3,0.8319395400033154,0.176291895863495,10,19996,5999,13997
100,sqrt,2.5376315116882324,0.17655062675476074,3,0.8479834998700213,0.15946211863858903,10,19996,5999,13997
100,log2,2.554327964782715,0.17390727996826172,3,0.8480787759043926,0.1593621760778582,10,19996,5999,13997
100,auto,6.6435651779174805,0.1755666732788086,4,0.8406119473076328,0.16955869669589324,10,19996,5999,13997
100,sqrt,2.578636646270752,0.1750469207763672,4,0.8515542018208929,0.15791821058139038,10,19996,5999,13997
100,log2,2.541370153427124,0.17473220825195312,4,0.8490710899437437,0.16055977126631912,10,19996,5999,13997
100,auto,6.805266857147217,0.17824506759643555,5,0.827003140384211,0.1778967169678542,10,19996,5999,13997
100,sqrt,2.6085360050201416,0.17398571968078613,5,0.838759310161228,0.16580757262099832,10,19996,5999,13997
100,log2,2.6108431816101074,0.17597055435180664,5,0.83814452864824,0.16643976682993367,10,19996,5999,13997
100,auto,6.664892911911011,0.18112516403198242,6,0.8536543156859999,0.1544276843428417,10,19996,5999,13997
100,sqrt,2.5487265586853027,0.1760406494140625,6,0.8607868133077846,0.14690129163453503,10,19996,5999,13997
100,log2,2.5817906856536865,0.1797490119934082,6,0.8629719537062929,0.14459547596742175,10,19996,5999,13997
100,auto,6.810031890869141,0.21562814712524414,7,0.834184468187083,0.16931395763642013,10,19996,5999,13997
100,sqrt,2.620530366897583,0.17963266372680664,7,0.8471577388307605,0.15606697303760889,10,19996,5999,13997
100,log2,2.6235268115997314,0.18130803108215332,7,0.8474491004877178,0.15576946414502446,10,19996,5999,13997
100,auto,6.714777231216431,0.17678117752075195,8,0.8319019685520785,0.1784200888198031,10,19996,5999,13997
100,sqrt,2.595818042755127,0.17726802825927734,8,0.8453648840246011,0.16413048320282622,10,19996,5999,13997
100,log2,2.647136926651001,0.1758742332458496,8,0.8447742055090781,0.1647574323246915,10,19996,5999,13997
100,auto,6.782808303833008,0.17969751358032227,9,0.8367115365727831,0.1670625649314396,10,19996,5999,13997
100,sqrt,2.644629955291748,0.1753978729248047,9,0.8477649591658558,0.1557536635497265,10,19996,5999,13997
100,log2,2.6413214206695557,0.18290948867797852,9,0.85074749718407,0.15270218985176698,10,19996,5999,13997
100,auto,6.748680591583252,0.17586231231689453,10,0.8329866220861357,0.1743997619696072,10,19996,5999,13997
100,sqrt,2.613992691040039,0.1817765235900879,10,0.853662271435037,0.15280970511275396,10,19996,5999,13997
100,log2,2.709031820297241,0.17916536331176758,10,0.8544812146957793,0.15195454302020753,10,19996,5999,13997
