n_estimators,max_features,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
100,auto,17.0981502532959,0.4863424301147461,1,0.8652143501107878,0.1396815799519754,10,48193,14458,33735
100,sqrt,6.503727436065674,0.4767477512359619,1,0.8790757480083751,0.12531668309337488,10,48193,14458,33735
100,log2,6.552294015884399,0.47956156730651855,1,0.8788505864443774,0.1255500233861249,10,48193,14458,33735
200,auto,34.34578251838684,0.9629054069519043,1,0.8674985755228564,0.13731438274080013,10,48193,14458,33735
200,sqrt,13.035474300384521,0.9604978561401367,1,0.8798607411113615,0.12450317604001512,10,48193,14458,33735
200,log2,13.052242517471313,0.9588048458099365,1,0.8798386077441025,0.12452611337578441,10,48193,14458,33735
100,auto,16.84685778617859,0.4838271141052246,2,0.8647158931296797,0.13889559466241586,10,48193,14458,33735
100,sqrt,6.491701364517212,0.48513364791870117,2,0.8811265716162856,0.12204682358396392,10,48193,14458,33735
100,log2,6.419356822967529,0.5107612609863281,2,0.8806023691422165,0.12258501994748165,10,48193,14458,33735
200,auto,34.39698839187622,0.9661295413970947,2,0.8659925841513421,0.13758482163255836,10,48193,14458,33735
200,sqrt,12.858247756958008,0.9778652191162109,2,0.8813819113892175,0.12178466736751842,10,48193,14458,33735
200,log2,12.871849298477173,0.9795897006988525,2,0.8806660107348911,0.12251967940553389,10,48193,14458,33735
100,auto,17.04360866546631,0.4911990165710449,3,0.8592511893539392,0.14634436362509867,10,48193,14458,33735
100,sqrt,6.447420358657837,0.49117231369018555,3,0.8737466277718824,0.13127265040064257,10,48193,14458,33735
100,log2,6.457561731338501,0.48527050018310547,3,0.8738940496118504,0.13111936771743177,10,48193,14458,33735
200,auto,35.29829692840576,1.1457929611206055,3,0.860171318694553,0.14538765399333103,10,48193,14458,33735
200,sqrt,14.072049379348755,1.031975507736206,3,0.8733526110421143,0.1316823315006879,10,48193,14458,33735
200,log2,12.708911418914795,0.9726319313049316,3,0.8740022940883229,0.13100681991718685,10,48193,14458,33735
100,auto,17.017017602920532,0.4850778579711914,4,0.8716423213483415,0.13202802604146788,10,48193,14458,33735
100,sqrt,6.310884475708008,0.48218488693237305,4,0.8858631842207134,0.11740052207467347,10,48193,14458,33735
100,log2,6.376800060272217,0.4832322597503662,4,0.8857887443025,0.11747709057890042,10,48193,14458,33735
200,auto,34.22696614265442,0.9732766151428223,4,0.8721335051313134,0.1315227970129393,10,48193,14458,33735
200,sqrt,12.942369937896729,0.9716577529907227,4,0.8860291036064457,0.11722985827636888,10,48193,14458,33735
200,log2,13.123648643493652,0.9736549854278564,4,0.8861143131738066,0.11714221216826932,10,48193,14458,33735
100,auto,16.85438823699951,0.4875335693359375,5,0.8628169999432143,0.14373798452348172,10,48193,14458,33735
100,sqrt,6.3950889110565186,0.48790788650512695,5,0.8782306746703887,0.127587801640271,10,48193,14458,33735
100,log2,6.378514766693115,0.4839961528778076,5,0.8774212742778132,0.12843587742993276,10,48193,14458,33735
200,auto,34.325453996658325,0.9852490425109863,5,0.8649036959469829,0.14155158039344548,10,48193,14458,33735
200,sqrt,12.982101440429688,0.9709875583648682,5,0.8797540656550205,0.12599161880652662,10,48193,14458,33735
200,log2,12.88262391090393,0.9739127159118652,5,0.8795925677119456,0.12616083356952687,10,48193,14458,33735
100,auto,17.047322511672974,0.49149656295776367,6,0.8635183345341367,0.14109698505699095,10,48193,14458,33735
100,sqrt,6.490133285522461,0.4883615970611572,6,0.8767137170642045,0.127455382096541,10,48193,14458,33735
100,log2,6.391522169113159,0.48620033264160156,6,0.8769521662686901,0.12720886939663142,10,48193,14458,33735
200,auto,34.13044595718384,0.9891495704650879,6,0.8635740908374561,0.141039343275808,10,48193,14458,33735
200,sqrt,12.870580673217773,0.9669570922851562,6,0.8778185728672208,0.12631316403965998,10,48193,14458,33735
200,log2,12.887680292129517,0.9783685207366943,6,0.8776381538317427,0.12649968419873003,10,48193,14458,33735
100,auto,17.076879262924194,0.4895203113555908,7,0.8656682055933607,0.13730526140491595,10,48193,14458,33735
100,sqrt,6.4871227741241455,0.49446845054626465,7,0.8800724750901671,0.12258214989328929,10,48193,14458,33735
100,log2,6.446015119552612,0.49225330352783203,7,0.8793383809828219,0.12333249335255793,10,48193,14458,33735
200,auto,33.54815411567688,0.973881721496582,7,0.865925892448372,0.13704187058858514,10,48193,14458,33735
200,sqrt,12.674959182739258,0.967536449432373,7,0.8800268268498702,0.12262880856850705,10,48193,14458,33735
200,log2,12.590302467346191,0.964310884475708,7,0.8805206135502046,0.12212409177925278,10,48193,14458,33735
100,auto,17.16404628753662,0.4929938316345215,8,0.8645934302750398,0.1399326439315114,10,48193,14458,33735
100,sqrt,6.400645971298218,0.4903407096862793,8,0.8809873603450107,0.12299073347783814,10,48193,14458,33735
100,log2,6.560804843902588,0.48772406578063965,8,0.8793823319283107,0.12464941126865908,10,48193,14458,33735
200,auto,34.14938688278198,0.9762327671051025,8,0.8655670689289616,0.13892646061740813,10,48193,14458,33735
200,sqrt,12.974798440933228,0.9734163284301758,8,0.8806056566997164,0.12338519587647082,10,48193,14458,33735
200,log2,12.859853982925415,0.9827020168304443,8,0.8818324047628656,0.1221174427662412,10,48193,14458,33735
100,auto,17.29806923866272,0.48981213569641113,9,0.8604382062119402,0.14566035320940213,10,48193,14458,33735
100,sqrt,6.333375453948975,0.48497939109802246,9,0.8751232014814793,0.1303336542627849,10,48193,14458,33735
100,log2,6.366254568099976,0.48696279525756836,9,0.8746341619332652,0.13084406381967562,10,48193,14458,33735
200,auto,33.0533230304718,0.946404218673706,9,0.8615891055736071,0.14445916194509759,10,48193,14458,33735
200,sqrt,12.343034982681274,0.9436309337615967,9,0.8757293343565691,0.12970103464475763,10,48193,14458,33735
200,log2,12.338439702987671,0.9458622932434082,9,0.8754848235894219,0.12995623002265766,10,48193,14458,33735
100,auto,16.59550404548645,0.4759678840637207,10,0.8634731506972649,0.14149102401525765,10,48193,14458,33735
100,sqrt,6.196261167526245,0.472705602645874,10,0.8776631874426093,0.1267850314565274,10,48193,14458,33735
100,log2,6.214798927307129,0.49142932891845703,10,0.8781213911488261,0.1263101672673125,10,48193,14458,33735
200,auto,33.76438665390015,0.9766838550567627,10,0.865300257635766,0.13959748268595729,10,48193,14458,33735
200,sqrt,12.664113998413086,0.9688172340393066,10,0.8786682261212263,0.1257434491411168,10,48193,14458,33735
200,log2,12.7089684009552,1.001223087310791,10,0.87816073158553,0.12626939639548138,10,48193,14458,33735
