alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,1000,0.9639766216278076,0.00038814544677734375,1,0.24209830452030112,0.7854315823672737,10,48193,14458,33735
0.0001,2000,2.544888496398926,0.0028743743896484375,1,0.24209830452030112,0.7854315823672737,10,48193,14458,33735
0.0001,3000,2.597221851348877,0.002951383590698242,1,0.24209830452030112,0.7854315823672737,10,48193,14458,33735
0.0001,5000,4.094661712646484,0.002942800521850586,1,0.24209830452030112,0.7854315823672737,10,48193,14458,33735
1e-05,1000,0.8144896030426025,0.00049591064453125,1,0.24209830452865722,0.7854315823586141,10,48193,14458,33735
1e-05,2000,1.6015408039093018,0.00038743019104003906,1,0.24209830452030112,0.7854315823672737,10,48193,14458,33735
1e-05,3000,3.083150863647461,0.0003986358642578125,1,0.24209830452030112,0.7854315823672737,10,48193,14458,33735
1e-05,5000,4.33951473236084,0.0003829002380371094,1,0.24209830452030112,0.7854315823672737,10,48193,14458,33735
0.0001,1000,0.9492111206054688,0.0003426074981689453,2,0.23572761293236955,0.7846750822517458,10,48193,14458,33735
0.0001,2000,2.1424384117126465,0.0003368854522705078,2,0.23572761293236955,0.7846750822517458,10,48193,14458,33735
0.0001,3000,2.725236654281616,0.0003428459167480469,2,0.23572761293236955,0.7846750822517458,10,48193,14458,33735
0.0001,5000,4.563465118408203,0.0005981922149658203,2,0.23572761293236955,0.7846750822517458,10,48193,14458,33735
1e-05,1000,0.9172732830047607,0.0003535747528076172,2,0.23572761292616584,0.7846750822581151,10,48193,14458,33735
1e-05,2000,1.8794782161712646,0.00041985511779785156,2,0.23572761293236955,0.7846750822517458,10,48193,14458,33735
1e-05,3000,2.945765972137451,0.0003383159637451172,2,0.23572761293236955,0.7846750822517458,10,48193,14458,33735
1e-05,5000,4.520492076873779,0.000652313232421875,2,0.23572761293236955,0.7846750822517458,10,48193,14458,33735
0.0001,1000,1.0729432106018066,0.0041370391845703125,3,0.23235458099921713,0.7981636208343751,10,48193,14458,33735
0.0001,2000,2.0361719131469727,0.0006701946258544922,3,0.23235458099921713,0.7981636208343751,10,48193,14458,33735
0.0001,3000,2.4592888355255127,0.0007066726684570312,3,0.23235458099921713,0.7981636208343751,10,48193,14458,33735
0.0001,5000,4.143759727478027,0.0003936290740966797,3,0.23235458099921713,0.7981636208343751,10,48193,14458,33735
1e-05,1000,0.8383152484893799,0.0004477500915527344,3,0.23235458099284612,0.7981636208409995,10,48193,14458,33735
1e-05,2000,1.8818140029907227,0.0004837512969970703,3,0.23235458099921713,0.7981636208343751,10,48193,14458,33735
1e-05,3000,2.4900240898132324,0.000453948974609375,3,0.23235458099921713,0.7981636208343751,10,48193,14458,33735
1e-05,5000,4.4532740116119385,0.0004475116729736328,3,0.23235458099921713,0.7981636208343751,10,48193,14458,33735
0.0001,1000,1.341203212738037,0.0003421306610107422,4,0.23982405646387916,0.7819129351946065,10,48193,14458,33735
0.0001,2000,1.8915050029754639,0.0003235340118408203,4,0.23982405646387916,0.7819129351946065,10,48193,14458,33735
0.0001,3000,3.1424081325531006,0.000370025634765625,4,0.23982405646387928,0.7819129351946064,10,48193,14458,33735
0.0001,5000,5.844815492630005,0.0031371116638183594,4,0.23982405646387928,0.7819129351946064,10,48193,14458,33735
1e-05,1000,1.1218631267547607,0.0003993511199951172,4,0.23982405647055116,0.7819129351877437,10,48193,14458,33735
1e-05,2000,2.108933210372925,0.00045228004455566406,4,0.23982405646387916,0.7819129351946065,10,48193,14458,33735
1e-05,3000,3.3308446407318115,0.00041222572326660156,4,0.23982405646387916,0.7819129351946065,10,48193,14458,33735
1e-05,5000,5.665036916732788,0.0003719329833984375,4,0.23982405646387916,0.7819129351946065,10,48193,14458,33735
0.0001,1000,1.076157808303833,0.00043845176696777344,5,0.24565351421971837,0.7903912544086803,10,48193,14458,33735
0.0001,2000,2.0085690021514893,0.00043463706970214844,5,0.24565351421971837,0.7903912544086803,10,48193,14458,33735
0.0001,3000,3.0232434272766113,0.0004248619079589844,5,0.24565351421971837,0.7903912544086803,10,48193,14458,33735
0.0001,5000,5.2338011264801025,0.00047397613525390625,5,0.24565351421971837,0.7903912544086803,10,48193,14458,33735
1e-05,1000,1.0795025825500488,0.0009176731109619141,5,0.24565351421924386,0.7903912544091773,10,48193,14458,33735
1e-05,2000,2.102905035018921,0.0004956722259521484,5,0.24565351421971837,0.7903912544086803,10,48193,14458,33735
1e-05,3000,3.2041096687316895,0.00048422813415527344,5,0.24565351421971837,0.7903912544086803,10,48193,14458,33735
1e-05,5000,5.509934186935425,0.00048160552978515625,5,0.24565351421971837,0.7903912544086803,10,48193,14458,33735
0.0001,1000,1.1977438926696777,0.00036597251892089844,6,0.24692093995153652,0.778545488287347,10,48193,14458,33735
0.0001,2000,2.106693983078003,0.0003600120544433594,6,0.24692093995153652,0.778545488287347,10,48193,14458,33735
0.0001,3000,3.3978450298309326,0.00037026405334472656,6,0.24692093995153652,0.778545488287347,10,48193,14458,33735
0.0001,5000,5.4186460971832275,0.00037860870361328125,6,0.24692093995153652,0.778545488287347,10,48193,14458,33735
1e-05,1000,1.0569770336151123,0.0003864765167236328,6,0.24692093994652775,0.7785454882925252,10,48193,14458,33735
1e-05,2000,2.1497247219085693,0.0003933906555175781,6,0.24692093995153652,0.778545488287347,10,48193,14458,33735
1e-05,3000,3.3300352096557617,0.00038361549377441406,6,0.24692093995153652,0.778545488287347,10,48193,14458,33735
1e-05,5000,5.857465028762817,0.0006632804870605469,6,0.24692093995153652,0.778545488287347,10,48193,14458,33735
0.0001,1000,1.2677314281463623,0.0004875659942626953,7,0.23187198859422442,0.7851307120877374,10,48193,14458,33735
0.0001,2000,2.2241122722625732,0.00047969818115234375,7,0.23187198859422442,0.7851307120877374,10,48193,14458,33735
0.0001,3000,3.2828879356384277,0.0005555152893066406,7,0.23187198859422442,0.7851307120877374,10,48193,14458,33735
0.0001,5000,5.29716420173645,0.0004875659942626953,7,0.23187198859422442,0.7851307120877374,10,48193,14458,33735
1e-05,1000,1.120328426361084,0.0004792213439941406,7,0.23187198859126446,0.785130712090763,10,48193,14458,33735
1e-05,2000,2.1344151496887207,0.0004923343658447266,7,0.23187198859422442,0.7851307120877374,10,48193,14458,33735
1e-05,3000,3.212465763092041,0.0004391670227050781,7,0.23187198859422442,0.7851307120877374,10,48193,14458,33735
1e-05,5000,5.411136150360107,0.0005064010620117188,7,0.23187198859422442,0.7851307120877374,10,48193,14458,33735
0.0001,1000,1.1897354125976562,0.0003719329833984375,8,0.23786814101510567,0.7876067333277641,10,48193,14458,33735
0.0001,2000,2.0800280570983887,0.00036454200744628906,8,0.23786814101510567,0.7876067333277641,10,48193,14458,33735
0.0001,3000,3.515742063522339,0.0003521442413330078,8,0.23786814101510567,0.7876067333277641,10,48193,14458,33735
0.0001,5000,6.065405607223511,0.005753278732299805,8,0.23786814101510567,0.7876067333277641,10,48193,14458,33735
1e-05,1000,0.7702503204345703,0.0003619194030761719,8,0.23786814101098164,0.7876067333320259,10,48193,14458,33735
1e-05,2000,1.4973742961883545,0.00036263465881347656,8,0.23786814101510567,0.7876067333277641,10,48193,14458,33735
1e-05,3000,2.243626594543457,0.0003662109375,8,0.23786814101510567,0.7876067333277641,10,48193,14458,33735
1e-05,5000,4.042318105697632,0.0005307197570800781,8,0.23786814101510567,0.7876067333277641,10,48193,14458,33735
0.0001,1000,0.9418599605560303,0.0005216598510742188,9,0.24136547398384745,0.7917852731541359,10,48193,14458,33735
0.0001,2000,1.5782217979431152,0.0004336833953857422,9,0.24136547398384745,0.7917852731541359,10,48193,14458,33735
0.0001,3000,2.2698612213134766,0.0004374980926513672,9,0.24136547398384745,0.7917852731541359,10,48193,14458,33735
0.0001,5000,3.804542064666748,0.00043702125549316406,9,0.24136547398384745,0.7917852731541359,10,48193,14458,33735
1e-05,1000,0.7633407115936279,0.00043392181396484375,9,0.24136547398411412,0.7917852731538577,10,48193,14458,33735
1e-05,2000,1.4972164630889893,0.0004363059997558594,9,0.24136547398384733,0.7917852731541362,10,48193,14458,33735
1e-05,3000,2.272991418838501,0.0004799365997314453,9,0.24136547398384733,0.7917852731541362,10,48193,14458,33735
1e-05,5000,6.445336580276489,0.000438690185546875,9,0.24136547398384733,0.7917852731541362,10,48193,14458,33735
0.0001,1000,1.1263065338134766,0.00036144256591796875,10,0.2481055693349855,0.7792336341862011,10,48193,14458,33735
0.0001,2000,2.1533632278442383,0.0003581047058105469,10,0.2481055693349855,0.7792336341862011,10,48193,14458,33735
0.0001,3000,3.2194743156433105,0.0015082359313964844,10,0.2481055693349855,0.7792336341862011,10,48193,14458,33735
0.0001,5000,4.836735010147095,0.0003619194030761719,10,0.2481055693349855,0.7792336341862011,10,48193,14458,33735
1e-05,1000,1.2115094661712646,0.0003685951232910156,10,0.24810556933746886,0.7792336341836273,10,48193,14458,33735
1e-05,2000,2.137727737426758,0.0021877288818359375,10,0.2481055693349855,0.7792336341862011,10,48193,14458,33735
1e-05,3000,3.339083433151245,0.00038123130798339844,10,0.2481055693349855,0.7792336341862011,10,48193,14458,33735
1e-05,5000,5.2324299812316895,0.0003814697265625,10,0.2481055693349855,0.7792336341862011,10,48193,14458,33735
