alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.1,1000,0.002401113510131836,0.000263214111328125,1,0.24473534477262648,0.8137813239838829,3,2999,900,2099
0.1,10000,0.003180980682373047,0.0002295970916748047,1,0.24571343239157184,0.8127274557378202,3,2999,900,2099
0.1,100000,0.0022025108337402344,0.00026726722717285156,1,0.24506789116314076,0.8134230124435695,3,2999,900,2099
0.01,1000,0.0020754337310791016,0.00023031234741210938,1,0.24910690036401417,0.8090710674236079,3,2999,900,2099
0.01,10000,0.0020873546600341797,0.00013637542724609375,1,0.2500583307021964,0.8080459218207711,3,2999,900,2099
0.01,100000,0.001577615737915039,0.00010752677917480469,1,0.24789187683797564,0.8103802289828675,3,2999,900,2099
0.001,1000,0.0023653507232666016,0.0001201629638671875,1,0.24859250447989645,0.8096253178585142,3,2999,900,2099
0.001,10000,0.0015935897827148438,0.00011420249938964844,1,0.2489687600266801,0.8092199106480766,3,2999,900,2099
0.001,100000,0.0018877983093261719,0.00023674964904785156,1,0.24680475306597305,0.8115515813245818,3,2999,900,2099
0.0001,1000,0.0022089481353759766,0.0002911090850830078,1,0.24902497621721398,0.809159338919153,3,2999,900,2099
0.0001,10000,0.0017752647399902344,0.00018596649169921875,1,0.248770194183907,0.8094338610472003,3,2999,900,2099
0.0001,100000,0.002048492431640625,0.00024366378784179688,1,0.24792695926797492,0.8103424284236386,3,2999,900,2099
0.1,1000,0.0018734931945800781,0.0001742839813232422,2,0.23228532024650506,0.8363311960402093,3,2999,900,2099
0.1,10000,0.002883434295654297,0.00018024444580078125,2,0.22897346924745687,0.8399390524225183,3,2999,900,2099
0.1,100000,0.0017464160919189453,0.0002467632293701172,2,0.23159534637882317,0.8370828381348742,3,2999,900,2099
0.01,1000,0.002669095993041992,0.00020384788513183594,2,0.2324399433595905,0.8361627530801976,3,2999,900,2099
0.01,10000,0.003512144088745117,0.00040411949157714844,2,0.23392092014086663,0.8345494101085741,3,2999,900,2099
0.01,100000,0.002313375473022461,0.00018668174743652344,2,0.2340868362343944,0.8343686648283263,3,2999,900,2099
0.001,1000,0.0028405189514160156,0.0003387928009033203,2,0.23360201006910442,0.8348968236057757,3,2999,900,2099
0.001,10000,0.0022804737091064453,0.00020074844360351562,2,0.2295385683759491,0.8393234460749037,3,2999,900,2099
0.001,100000,0.002251863479614258,0.00021600723266601562,2,0.23620772082419128,0.83205822060676,3,2999,900,2099
0.0001,1000,0.0031995773315429688,0.000171661376953125,2,0.23149086932853025,0.8371966530959979,3,2999,900,2099
0.0001,10000,0.0031821727752685547,0.00017952919006347656,2,0.2340901648376359,0.8343650387224258,3,2999,900,2099
0.0001,100000,0.002107858657836914,0.0001068115234375,2,0.23317404815415,0.8353630357411337,3,2999,900,2099
