alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,1000,0.18914222717285156,0.0005195140838623047,1,0.13801919611276026,3429491.757075409,10,48193,14458,33735
0.0001,2000,0.12436366081237793,0.0006155967712402344,1,0.13454630727346084,3443309.0527668046,10,48193,14458,33735
0.0001,3000,0.20980310440063477,0.0006234645843505859,1,0.13856268994818666,3427329.403087698,10,48193,14458,33735
0.0001,5000,0.18862605094909668,0.0006878376007080078,1,0.13924957326677034,3424596.557218588,10,48193,14458,33735
1e-05,1000,0.20914864540100098,0.0005230903625488281,1,0.1382713053359509,3428488.710953134,10,48193,14458,33735
1e-05,2000,0.13966798782348633,0.0004589557647705078,1,0.13922187770090133,3424706.747276681,10,48193,14458,33735
1e-05,3000,0.18150019645690918,0.0006878376007080078,1,0.1389278847980957,3425876.4325321573,10,48193,14458,33735
1e-05,5000,0.1881728172302246,0.0005075931549072266,1,0.13810997216342524,3429130.593907864,10,48193,14458,33735
0.0001,1000,0.14913129806518555,0.0019812583923339844,2,0.13486933438521898,3429393.5426085824,10,48193,14458,33735
0.0001,2000,0.1311960220336914,0.0009484291076660156,2,0.13457592674965202,3430556.6157612954,10,48193,14458,33735
0.0001,3000,0.132781982421875,0.0005486011505126953,2,0.13618342460269972,3424184.4653150025,10,48193,14458,33735
0.0001,5000,0.18832039833068848,0.0005080699920654297,2,0.13574550146365938,3425920.4005267275,10,48193,14458,33735
1e-05,1000,0.19357085227966309,0.001337289810180664,2,0.13786570312341873,3417515.882954992,10,48193,14458,33735
1e-05,2000,0.11698555946350098,0.0004715919494628906,2,0.1347385441971508,3429911.997270086,10,48193,14458,33735
1e-05,3000,0.12140130996704102,0.0005104541778564453,2,0.13484507452113248,3429489.709146829,10,48193,14458,33735
1e-05,5000,0.23448681831359863,0.0006291866302490234,2,0.1361945482061182,3424140.3711506757,10,48193,14458,33735
0.0001,1000,0.17814302444458008,0.0005283355712890625,3,0.1337452060807831,3445181.419394313,10,48193,14458,33735
0.0001,2000,0.21728134155273438,0.00045943260192871094,3,0.1329030380665025,3448530.805296907,10,48193,14458,33735
0.0001,3000,0.23805904388427734,0.001638174057006836,3,0.13402186899844515,3444081.1034710356,10,48193,14458,33735
0.0001,5000,0.15173792839050293,0.00047659873962402344,3,0.13497486394236624,3440290.9478532877,10,48193,14458,33735
1e-05,1000,0.156449556350708,0.0004570484161376953,3,0.13293078094626443,3448420.4691065075,10,48193,14458,33735
1e-05,2000,0.11520791053771973,0.0004742145538330078,3,0.13290760991126271,3448512.622615863,10,48193,14458,33735
