alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,1000,0.07085156440734863,0.003458738327026367,1,0.2386447422923651,0.7890105911776113,10,48193,14458,33735
0.0001,2000,0.078155517578125,0.007956743240356445,1,0.23990752775554613,0.7877019365190294,10,48193,14458,33735
0.0001,3000,0.0808868408203125,0.004538774490356445,1,0.24177238719875493,0.7857693382518557,10,48193,14458,33735
0.0001,5000,0.08166074752807617,0.0006680488586425781,1,0.24187451328631904,0.7856635025543834,10,48193,14458,33735
1e-05,1000,0.07880043983459473,0.0006673336029052734,1,0.24097114862964786,0.7865996808687687,10,48193,14458,33735
1e-05,2000,0.07919526100158691,0.0027022361755371094,1,0.23971337482242638,0.7879031418288882,10,48193,14458,33735
1e-05,3000,0.07186412811279297,0.004428386688232422,1,0.23904539294016802,0.7885953873666723,10,48193,14458,33735
1e-05,5000,0.0816199779510498,0.0034792423248291016,1,0.24098415810731866,0.7865861988371363,10,48193,14458,33735
0.0001,1000,0.10783958435058594,0.0009322166442871094,2,0.23126838528907434,0.7892533515664427,10,48193,14458,33735
0.0001,2000,0.07249712944030762,0.0024750232696533203,2,0.23372873560074003,0.7867273207744869,10,48193,14458,33735
0.0001,3000,0.0769033432006836,0.003873586654663086,2,0.22988370119832668,0.7906750006030759,10,48193,14458,33735
0.0001,5000,0.07672262191772461,0.0020873546600341797,2,0.2336663753313516,0.7867913457874792,10,48193,14458,33735
1e-05,1000,0.09132671356201172,0.0021054744720458984,2,0.23448978109813956,0.7859459587255969,10,48193,14458,33735
1e-05,2000,0.07498431205749512,0.0026178359985351562,2,0.23416433942536707,0.7862800882528073,10,48193,14458,33735
1e-05,3000,0.07355451583862305,0.0013267993927001953,2,0.2350166445689642,0.7854050303284701,10,48193,14458,33735
1e-05,5000,0.07434415817260742,0.0006046295166015625,2,0.23363526774667231,0.7868232838071957,10,48193,14458,33735
0.0001,1000,0.1119234561920166,0.0004534721374511719,3,0.23051866895216033,0.8000725206607034,10,48193,14458,33735
0.0001,2000,0.1082620620727539,0.0005929470062255859,3,0.23104195919419457,0.7995284267027495,10,48193,14458,33735
0.0001,3000,0.06729578971862793,0.0025544166564941406,3,0.23167513835386444,0.7988700751276475,10,48193,14458,33735
0.0001,5000,0.11116337776184082,0.0004489421844482422,3,0.22967564381919203,0.8009490607610276,10,48193,14458,33735
1e-05,1000,0.07334232330322266,0.0055387020111083984,3,0.2315377109360649,0.7990129660544709,10,48193,14458,33735
