alpha,max_iter,train_time,inference_time,R2_score,RMSE,D,N,n_test,n_train
0.1,1000,0.002790689468383789,0.00032448768615722656,0.24621311711585714,0.8121890562593209,3,2999,900,2099
0.1,10000,0.0027666091918945312,0.0003032684326171875,0.24672080662184548,0.8116420318017398,3,2999,900,2099
0.1,100000,0.0027472972869873047,0.00025653839111328125,0.2479331150453593,0.8103357957067026,3,2999,900,2099
0.01,1000,0.006166696548461914,0.00043964385986328125,0.24702017332699244,0.811319470654485,3,2999,900,2099
0.01,10000,0.0031740665435791016,0.0005199909210205078,0.2483929939527174,0.8098402861346446,3,2999,900,2099
0.01,100000,0.0034453868865966797,0.0004973411560058594,0.2462294953802775,0.8121714090337924,3,2999,900,2099
0.001,1000,0.0026595592498779297,0.00029969215393066406,0.24402862962422822,0.8145427942647474,3,2999,900,2099
0.001,10000,0.0026941299438476562,0.000274658203125,0.24649603602288095,0.8118842172586549,3,2999,900,2099
0.001,100000,0.0032312870025634766,0.0003001689910888672,0.24605071334853934,0.8123640428045976,3,2999,900,2099
0.0001,1000,0.0020885467529296875,0.0002257823944091797,0.24944579034253356,0.8087059208044782,3,2999,900,2099
0.0001,10000,0.0017251968383789062,0.00017952919006347656,0.2481832397339424,0.8100662917668221,3,2999,900,2099
0.0001,100000,0.0016939640045166016,0.0001246929168701172,0.24831363444278498,0.8099257942894571,3,2999,900,2099
