n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
5,2,1,3.504753112792969e-05,0.014549016952514648,1,0.6340977012498175,0.6179245365571818,10,20,6,14
5,2,4,3.0279159545898438e-05,0.007364034652709961,1,0.6340977012498175,0.6179245365571818,10,20,6,14
5,2,1,2.193450927734375e-05,0.010869264602661133,2,0.8576502575313899,0.18134572672310575,10,200,60,140
5,2,4,3.5762786865234375e-05,0.007128238677978516,2,0.8576502575313899,0.18134572672310575,10,200,60,140
5,2,1,2.8371810913085938e-05,0.013866186141967773,3,0.8036785474826722,0.1990239729357621,10,400,120,280
5,2,4,2.7894973754882812e-05,0.022163867950439453,3,0.8036785474826722,0.1990239729357621,10,400,120,280
5,2,1,2.1696090698242188e-05,0.03958845138549805,4,0.7391176646784197,0.278152966025263,10,800,240,560
5,2,4,2.2172927856445312e-05,0.03215956687927246,4,0.7391176646784197,0.278152966025263,10,800,240,560
5,2,1,2.6941299438476562e-05,0.08103680610656738,5,0.7609310598662828,0.2683703980453679,10,1600,480,1120
5,2,4,2.6464462280273438e-05,0.08116006851196289,5,0.7609310598662828,0.2683703980453679,10,1600,480,1120
5,2,1,2.3603439331054688e-05,0.22888898849487305,6,0.7924731444811168,0.20764610867536307,10,3200,960,2240
5,2,4,2.5987625122070312e-05,0.2412865161895752,6,0.7924731444811168,0.20764610867536307,10,3200,960,2240
5,2,1,2.1219253540039062e-05,0.8292849063873291,7,0.7863142689278595,0.22881441138646352,10,6400,1920,4480
5,2,4,2.9802322387695312e-05,0.9122371673583984,7,0.7863142689278595,0.22881441138646352,10,6400,1920,4480
5,2,1,2.5510787963867188e-05,3.2507405281066895,8,0.7705087211132429,0.23786466313004903,10,12800,3840,8960
5,2,4,1.9550323486328125e-05,3.670281171798706,8,0.7705087211132429,0.23786466313004903,10,12800,3840,8960
5,2,1,2.47955322265625e-05,14.328228235244751,9,0.7490046312379036,0.26663349379041096,10,25600,7680,17920
5,2,4,2.574920654296875e-05,15.522632598876953,9,0.7490046312379036,0.26663349379041096,10,25600,7680,17920
5,2,1,3.6716461181640625e-05,54.27262902259827,10,0.7559789932180618,0.2528847825921334,10,48193,14458,33735
5,2,4,5.1021575927734375e-05,96.07399845123291,10,0.7559789932180618,0.2528847825921334,10,48193,14458,33735
