weights,algorithm,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,brute,0.0012013912200927734,0.006502389907836914,1,0.6340977012498175,0.6179245365571816,10,20,6,14
uniform,kd_tree,0.0021216869354248047,0.002073049545288086,1,0.6340977012498175,0.6179245365571816,10,20,6,14
uniform,ball_tree,0.0016262531280517578,0.002004384994506836,1,0.6340977012498175,0.6179245365571816,10,20,6,14
uniform,brute,0.0034627914428710938,0.002140522003173828,2,0.8576502575313899,0.18134572672310575,10,200,60,140
uniform,kd_tree,0.001695871353149414,0.002223968505859375,2,0.8576502575313899,0.18134572672310575,10,200,60,140
uniform,ball_tree,0.0015380382537841797,0.001863718032836914,2,0.8576502575313899,0.18134572672310575,10,200,60,140
uniform,brute,0.001226186752319336,0.009432077407836914,3,0.8036785474826722,0.1990239729357621,10,400,120,280
uniform,kd_tree,0.0018451213836669922,0.002789735794067383,3,0.8036785474826722,0.1990239729357621,10,400,120,280
uniform,ball_tree,0.010564088821411133,0.0026988983154296875,3,0.8036785474826722,0.1990239729357621,10,400,120,280
uniform,brute,0.0013496875762939453,0.044448137283325195,4,0.7391176646784197,0.278152966025263,10,800,240,560
uniform,kd_tree,0.0019450187683105469,0.005566120147705078,4,0.7391176646784197,0.278152966025263,10,800,240,560
uniform,ball_tree,0.0023369789123535156,0.0053594112396240234,4,0.7391176646784197,0.278152966025263,10,800,240,560
uniform,brute,0.0013132095336914062,0.03459954261779785,5,0.7609310598662828,0.2683703980453679,10,1600,480,1120
uniform,kd_tree,0.004381895065307617,0.03799247741699219,5,0.7609271994001635,0.2683747316690854,10,1600,480,1120
uniform,ball_tree,0.0070400238037109375,0.012761831283569336,5,0.7609310598662828,0.2683703980453679,10,1600,480,1120
uniform,brute,0.0014603137969970703,0.08513069152832031,6,0.7924731444811168,0.20764610867536307,10,3200,960,2240
uniform,kd_tree,0.0065877437591552734,0.023210763931274414,6,0.7924731444811168,0.20764610867536307,10,3200,960,2240
uniform,ball_tree,0.007666110992431641,0.04505801200866699,6,0.7924731444811168,0.20764610867536307,10,3200,960,2240
uniform,brute,0.001142263412475586,0.25168299674987793,7,0.786371896914245,0.22875270341130757,10,6400,1920,4480
uniform,kd_tree,0.010109901428222656,0.09361529350280762,7,0.7863200533009109,0.22880821748709387,10,6400,1920,4480
uniform,ball_tree,0.021567821502685547,0.1717548370361328,7,0.7863200533009109,0.22880821748709387,10,6400,1920,4480
uniform,brute,0.0017099380493164062,0.7426490783691406,8,0.7704915221697242,0.2378824896066198,10,12800,3840,8960
uniform,kd_tree,0.33706164360046387,0.3065924644470215,8,0.7704589934338935,0.23791620520935614,10,12800,3840,8960
uniform,ball_tree,0.31723642349243164,0.40581703186035156,8,0.7705087211132429,0.237864663130049,10,12800,3840,8960
uniform,brute,0.0018358230590820312,3.635131597518921,9,0.749047828663384,0.2665876049736754,10,25600,7680,17920
uniform,kd_tree,1.4191951751708984,2.215334177017212,9,0.7490061546216122,0.26663187549313877,10,25600,7680,17920
uniform,ball_tree,1.616436243057251,1.6850273609161377,9,0.7490061546216122,0.26663187549313877,10,25600,7680,17920
uniform,brute,0.0018706321716308594,12.76567268371582,10,0.7559028896476003,0.2529636505352028,10,48193,14458,33735
uniform,kd_tree,5.13503098487854,7.199429273605347,10,0.7559311185708414,0.25293439622955616,10,48193,14458,33735
uniform,ball_tree,5.912465333938599,9.581391096115112,10,0.7559251738731992,0.25294055686134204,10,48193,14458,33735
