alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,N,D,n_test,n_train,MGE
0.001,1000,0.044777870178222656,4.267692565917969e-05,1,0.8755775343854826,16.106947491848896,616,4,616,616,0.0027354850635835574
0.001,10000,0.3291027545928955,2.8133392333984375e-05,1,0.8755619665821143,16.108962801465026,616,4,616,616,0.0027358369476455572
0.001,100000,3.129901170730591,2.7179718017578125e-05,1,0.8755619665821143,16.108962801465026,616,4,616,616,0.0027358369476455572
0.001,1000,0.030289649963378906,2.9325485229492188e-05,1,0.8755775343854826,16.106947491848896,616,4,616,616,0.0027354850635835574
0.001,10000,0.3100457191467285,2.6464462280273438e-05,1,0.8755619665821143,16.108962801465026,616,4,616,616,0.0027358369476455572
0.001,100000,3.0852010250091553,2.6226043701171875e-05,1,0.8755619665821143,16.108962801465026,616,4,616,616,0.0027358369476455572
0.001,1000,0.03312969207763672,2.6702880859375e-05,2,0.8702917389224523,15.320653474539352,616,4,616,616,0.00247985528468238
0.001,10000,0.30308008193969727,2.7179718017578125e-05,2,0.8702944797996108,15.320329732405932,616,4,616,616,0.0024797921940537784
0.001,100000,3.0769824981689453,2.8371810913085938e-05,2,0.8702944797996108,15.320329732405932,616,4,616,616,0.0024797921940537784
0.001,1000,0.03186368942260742,2.8848648071289062e-05,2,0.8702917389224523,15.320653474539352,616,4,616,616,0.00247985528468238
0.001,10000,0.31003427505493164,2.8848648071289062e-05,2,0.8702944797996108,15.320329732405932,616,4,616,616,0.0024797921940537784
0.001,100000,3.0951619148254395,2.86102294921875e-05,2,0.8702944797996108,15.320329732405932,616,4,616,616,0.0024797921940537784
