criterion,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
mse,0.001001596450805664,0.0,1,0.6260725760788197,51.333333333333336,8,420,210,210,0.008018614263635447
mse,0.0009989738464355469,0.0,2,0.7385264391744836,38.84761904761905,8,420,210,210,0.006188473349468671
mse,0.0,0.0009996891021728516,3,0.7254223951237981,37.838095238095235,8,420,210,210,0.006248217163547273
mse,0.001001119613647461,0.0,4,0.5968280093722751,51.457142857142856,8,420,210,210,0.008935155194854251
mse,0.00099945068359375,0.0,5,0.7417259469142878,36.53333333333333,8,420,210,210,0.005986565496696329
mse,0.0,0.0,6,0.6233583216681257,43.58095238095238,8,420,210,210,0.0069494648136114705
mse,0.0009984970092773438,0.0,7,0.649016149137671,46.76190476190476,8,420,210,210,0.007369507347835778
mse,0.001001119613647461,0.0,8,0.6578797514052253,42.70952380952381,8,420,210,210,0.006694429705840105
mse,0.0,0.0,9,0.6769665093514704,43.1,8,420,210,210,0.006825623688407927
mse,0.0010001659393310547,0.0,10,0.6675485897858588,44.266666666666666,8,420,210,210,0.007259645501383016
