n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
10,2,600,0.0,0.02400040626525879,1,0.78605496928259,27.69597402597402,8,1232,616,616,0.004572145430771713
10,2,600,0.0,0.026000261306762695,2,0.7802490981688499,25.956152597402596,8,1232,616,616,0.004128703696796117
10,2,600,0.0,0.02399921417236328,3,0.7727622207298679,29.066915584415586,8,1232,616,616,0.00467944133423637
10,2,600,0.0,0.022998809814453125,4,0.7817118967276709,30.044301948051945,8,1232,616,616,0.005128587596772228
10,2,600,0.0,0.02399754524230957,5,0.7624884667887335,31.596412337662336,8,1232,616,616,0.005050801220129558
10,2,600,0.0,0.02400350570678711,6,0.7997003253785685,26.397987012987013,8,1232,616,616,0.004450150975681315
10,2,600,0.0,0.022997617721557617,7,0.7846286803191409,29.24413961038961,8,1232,616,616,0.004880926641957026
10,2,600,0.0,0.026000499725341797,8,0.7587900438747882,31.85987012987013,8,1232,616,616,0.005290542729849561
10,2,600,0.0,0.023998022079467773,9,0.7790291042434665,30.201185064935064,8,1232,616,616,0.005213011180281721
10,2,600,0.0,0.024001359939575195,10,0.781077022802649,28.80524350649351,8,1232,616,616,0.004746749327667356
