n_neighbors,weights,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
5,uniform,0.0,0.0010025501251220703,1,0.7837658875383293,29.68495238095238,8,420,210,210,0.004965279581379047
5,uniform,0.0010006427764892578,0.0009999275207519531,2,0.7848301439861295,31.968190476190475,8,420,210,210,0.005033282649023934
5,uniform,0.0,0.0009982585906982422,3,0.8201430299436137,24.785142857142862,8,420,210,210,0.004267532896343084
5,uniform,0.0,0.0009989738464355469,4,0.8090413885294099,24.372190476190475,8,420,210,210,0.004099872815514531
5,uniform,0.0,0.0009999275207519531,5,0.7838240789352399,30.5784761904762,8,420,210,210,0.004796867550014193
5,uniform,0.0,0.0010004043579101562,6,0.7930528470651592,23.94571428571429,8,420,210,210,0.0038953811299453083
5,uniform,0.00099945068359375,0.0010006427764892578,7,0.8109862608765508,25.182476190476194,8,420,210,210,0.004380425762980243
5,uniform,0.0,0.0009996891021728516,8,0.7588183846788894,30.108571428571427,8,420,210,210,0.004674670561593086
5,uniform,0.0,0.0009987354278564453,9,0.7725995552980561,30.340380952380958,8,420,210,210,0.00536665505505851
5,uniform,0.0,0.0010006427764892578,10,0.7982617894774129,26.86190476190476,8,420,210,210,0.00427734944279297
