alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
0.001,1000,0.015003204345703125,0.0,1,0.8755775343854826,16.106947491848896,8,1232,616,616,0.0027354850635835574
0.001,10000,0.13899660110473633,0.0,1,0.8755619665821143,16.108962801465026,8,1232,616,616,0.0027358369476455572
0.001,100000,1.3950004577636719,0.0,1,0.8755619665821143,16.108962801465026,8,1232,616,616,0.0027358369476455572
0.001,1000,0.014001131057739258,0.0,1,0.8755775343854826,16.106947491848896,8,1232,616,616,0.0027354850635835574
0.001,10000,0.1379990577697754,0.0,1,0.8755619665821143,16.108962801465026,8,1232,616,616,0.0027358369476455572
0.001,100000,1.390000581741333,0.0,1,0.8755619665821143,16.108962801465026,8,1232,616,616,0.0027358369476455572
0.001,1000,0.014999866485595703,0.0,2,0.8702917389224523,15.320653474539352,8,1232,616,616,0.00247985528468238
0.001,10000,0.13900017738342285,0.0,2,0.8702944797996108,15.320329732405932,8,1232,616,616,0.0024797921940537784
0.001,100000,1.4200093746185303,0.0,2,0.8702944797996108,15.320329732405932,8,1232,616,616,0.0024797921940537784
0.001,1000,0.014000654220581055,0.0,2,0.8702917389224523,15.320653474539352,8,1232,616,616,0.00247985528468238
0.001,10000,0.1399989128112793,0.0,2,0.8702944797996108,15.320329732405932,8,1232,616,616,0.0024797921940537784
0.001,100000,1.3830091953277588,0.0,2,0.8702944797996108,15.320329732405932,8,1232,616,616,0.0024797921940537784
