alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
0.001,1000,0.011999845504760742,0.0,1,0.8812072691210302,16.30804926752982,8,420,210,210,0.0027052434159554216
0.001,1000,0.010999202728271484,0.0,2,0.893458301060315,15.82910073212687,8,420,210,210,0.00254623095825872
0.001,1000,0.012001752853393555,0.0,3,0.8869717738828313,15.57582522559569,8,420,210,210,0.0026680467596276116
0.001,1000,0.01200246810913086,0.0,4,0.8897486656048272,14.071460309854423,8,420,210,210,0.0023095583788141577
0.001,1000,0.011001110076904297,0.0,5,0.8924546084231145,15.21249073223131,8,420,210,210,0.0023785935429100715
0.001,1000,0.01199960708618164,0.0,6,0.8563367215775144,16.623180216144434,8,420,210,210,0.0027204220198395767
0.001,1000,0.010998010635375977,0.0,7,0.8870143921259481,15.053177580368832,8,420,210,210,0.002477221854801494
0.001,1000,0.012001276016235352,0.0,8,0.8776842978771262,15.269617666749491,8,420,210,210,0.002386666483546366
0.001,1000,0.013000011444091797,0.0,9,0.9002660628953503,13.306771011824715,8,420,210,210,0.0022032627307066207
0.001,1000,0.01299905776977539,0.0,10,0.8899058296251696,14.659290928519953,8,420,210,210,0.0023467985224854865
