alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
0.001,1000,0.013997554779052734,0.0,1,0.8755775343854826,16.106947491848896,8,1232,616,616,0.0027354850635835574
0.001,1000,0.015003204345703125,0.0,2,0.8702917389224523,15.320653474539352,8,1232,616,616,0.00247985528468238
0.001,1000,0.015000343322753906,0.0,3,0.8796626974748517,15.39283751755321,8,1232,616,616,0.0024182689164602695
0.001,1000,0.01399993896484375,0.0,4,0.8907020796861662,15.04332884374467,8,1232,616,616,0.0025000769766926963
0.001,1000,0.016001224517822266,0.0,5,0.869405326416857,17.37314857870519,8,1232,616,616,0.0028013043775892083
0.001,1000,0.014002323150634766,0.0,6,0.8825612121129841,15.477546847351077,8,1232,616,616,0.002536935063150777
0.001,1000,0.013997793197631836,0.0,7,0.8883769032821195,15.15671366549105,8,1232,616,616,0.002558854124503532
0.001,1000,0.015001058578491211,0.0,8,0.8661780096194344,17.67568512732678,8,1232,616,616,0.0029658823763366433
0.001,1000,0.014000177383422852,0.0,9,0.8818319856367519,16.15060688568006,8,1232,616,616,0.002636214565804503
0.001,1000,0.014997005462646484,0.0,10,0.8711909954706614,16.948311176820223,8,1232,616,616,0.0027543664564054497
