alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
0.001,1000,0.002000570297241211,0.0,1,0.876428669791282,15.996764871516172,8,1232,616,616,0.002716666130032324
0.001,10000,0.0029985904693603516,0.0,1,0.876193507762107,16.027207464317154,8,1232,616,616,0.0027234130869221323
0.001,1000,0.0019991397857666016,0.0009975433349609375,1,0.876477993090149,15.99037978839592,8,1232,616,616,0.0027128721089849104
0.001,10000,0.002000093460083008,0.0,1,0.8767169847245645,15.95944143905917,8,1232,616,616,0.0027069005873846443
0.001,1000,0.003001689910888672,0.0,2,0.8694345378412464,15.421902852289502,8,1232,616,616,0.0024968977344704724
0.001,10000,0.0029969215393066406,0.0,2,0.8695680357605108,15.40613457859875,8,1232,616,616,0.002494932702582172
0.001,1000,0.002002716064453125,0.0,2,0.8695056531276215,15.413502981300216,8,1232,616,616,0.0024908542415015018
0.001,10000,0.0020012855529785156,0.0,2,0.8686426070359192,15.515442749775106,8,1232,616,616,0.0025118391870568996
0.001,1000,0.0020008087158203125,0.0,3,0.8794163542113237,15.42434829392481,8,1232,616,616,0.002427637776308327
0.001,10000,0.0019965171813964844,0.0,3,0.8791564492220543,15.457593806212987,8,1232,616,616,0.0024323402911946884
0.001,1000,0.003000497817993164,0.0,3,0.8789754273105256,15.48074906075839,8,1232,616,616,0.002430628083139292
0.001,10000,0.00299835205078125,0.0,3,0.8795352165406005,15.409144126280005,8,1232,616,616,0.002423273790411863
