alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
0.001,1000,0.0029952526092529297,0.0,1,0.8795830948777362,16.531018412044883,8,420,210,210,0.0027348278984462254
0.001,1000,0.001996755599975586,0.0,2,0.8923702255329999,15.990758161071968,8,420,210,210,0.002554651699803667
0.001,1000,0.002002239227294922,0.0,3,0.8879708784576563,15.438143880199412,8,420,210,210,0.002643696179688126
0.001,1000,0.0019981861114501953,0.0,4,0.8889950310685699,14.167647249661155,8,420,210,210,0.00232339023637077
0.001,1000,0.0019979476928710938,0.0,5,0.8917094303099786,15.317897528131418,8,420,210,210,0.00238427074612441
0.001,1000,0.0020008087158203125,0.0,6,0.8559058795872657,16.67303264974632,8,420,210,210,0.002721857209860001
0.001,1000,0.0010025501251220703,0.000997781753540039,7,0.8819234647003408,15.731446574344279,8,420,210,210,0.0025799212321793797
0.001,1000,0.002998828887939453,0.0,8,0.8755889638087071,15.531194468039757,8,420,210,210,0.002422236922527709
0.001,1000,0.0009982585906982422,0.0,9,0.8998217087862744,13.366057936108389,8,420,210,210,0.0022101590263380374
0.001,1000,0.002000570297241211,0.0,10,0.8899790124859709,14.649546462997266,8,420,210,210,0.0023237067644177704
