alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train,MGE
0.001,1000,0.0019991397857666016,0.001001119613647461,1,0.8765055919418578,15.986807015158279,8,1232,616,616,0.002711085289002844
0.001,1000,0.002995729446411133,0.0,2,0.8696081788095393,15.401393032158543,8,1232,616,616,0.002493692854757909
0.001,1000,0.0029981136322021484,0.0,3,0.8788728735314,15.493867134919666,8,1232,616,616,0.0024334372977169623
0.001,1000,0.0019986629486083984,0.0,4,0.8885173640010255,15.344024377450063,8,1232,616,616,0.0025493011282112636
0.001,1000,0.0029993057250976562,0.0,5,0.8702137523793925,17.26560281151071,8,1232,616,616,0.002783698581472543
0.001,1000,0.0040013790130615234,0.0,6,0.8815152550652219,15.61539610055208,8,1232,616,616,0.002557643197351455
0.001,1000,0.0029985904693603516,0.0,7,0.8884316216268588,15.149283749032458,8,1232,616,616,0.002565621586007352
0.001,1000,0.001996755599975586,0.0,8,0.8638741597058097,17.97998582961078,8,1232,616,616,0.0030223875239928284
0.001,1000,0.001996755599975586,0.0,9,0.8818350185022087,16.150192368960003,8,1232,616,616,0.002645717307589659
0.001,1000,0.004002809524536133,0.0,10,0.8718845946116414,16.85704943532742,8,1232,616,616,0.002749103293035984
