criterion,max_features,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
mse,auto,0.8937218189239502,0.003406047821044922,1,0.8686715154631484,0.014977854319364985,81,21263,6379,14884
mse,sqrt,0.11256074905395508,0.0032639503479003906,1,0.8689473333517642,0.014946397623820733,81,21263,6379,14884
mse,log2,0.0992732048034668,0.0023679733276367188,1,0.8601823975543997,0.015946027916932615,81,21263,6379,14884
mse,auto,0.91867995262146,0.0022771358489990234,2,0.863776375282801,0.01532058853285942,81,21263,6379,14884
mse,sqrt,0.11784219741821289,0.002207040786743164,2,0.8588347988464275,0.015876350130324773,81,21263,6379,14884
mse,log2,0.08283805847167969,0.0025038719177246094,2,0.8628713076347547,0.015422378285253002,81,21263,6379,14884
mse,auto,0.8924562931060791,0.0022492408752441406,3,0.878060874155633,0.013517688191635817,81,21263,6379,14884
mse,sqrt,0.11719298362731934,0.002221822738647461,3,0.8686504822868579,0.01456088693660273,81,21263,6379,14884
mse,log2,0.07694387435913086,0.0022568702697753906,3,0.8661997087724755,0.014832569974892055,81,21263,6379,14884
mse,auto,0.893115758895874,0.0023469924926757812,4,0.8464515160647076,0.01722487308205435,81,21263,6379,14884
mse,sqrt,0.10866189002990723,0.0022249221801757812,4,0.8536905582927093,0.016412806558066335,81,21263,6379,14884
mse,log2,0.08304214477539062,0.002270936965942383,4,0.8347193496565922,0.018540972545742253,81,21263,6379,14884
mse,auto,0.9001178741455078,0.002309083938598633,5,0.8542360646031929,0.016235056314830073,81,21263,6379,14884
mse,sqrt,0.11682987213134766,0.00255584716796875,5,0.8545393343444248,0.016201278403208244,81,21263,6379,14884
mse,log2,0.0780038833618164,0.0022592544555664062,5,0.8577779213358803,0.015840567490432576,81,21263,6379,14884
mse,auto,0.8781800270080566,0.0023779869079589844,6,0.858668926699107,0.01569611416051663,81,21263,6379,14884
mse,sqrt,0.11893677711486816,0.003095865249633789,6,0.868706434204852,0.014581356733027245,81,21263,6379,14884
mse,log2,0.09269976615905762,0.002500295639038086,6,0.8586740547183689,0.015695544646864228,81,21263,6379,14884
mse,auto,0.8744790554046631,0.0022411346435546875,7,0.8578470481882197,0.01590434443146966,81,21263,6379,14884
mse,sqrt,0.11217880249023438,0.002209901809692383,7,0.8514591510671219,0.016619034592397518,81,21263,6379,14884
mse,log2,0.08000397682189941,0.0021338462829589844,7,0.8514674867042926,0.016618101985350475,81,21263,6379,14884
mse,auto,0.8775489330291748,0.002368927001953125,8,0.8554490886332359,0.01651342751803426,81,21263,6379,14884
mse,sqrt,0.11170220375061035,0.0024209022521972656,8,0.8642146201118541,0.015512057361591983,81,21263,6379,14884
mse,log2,0.07937407493591309,0.0022542476654052734,8,0.8653437015281286,0.015383071636401352,81,21263,6379,14884
mse,auto,0.8962030410766602,0.002452850341796875,9,0.8524423901486659,0.016609214962277123,81,21263,6379,14884
mse,sqrt,0.11257195472717285,0.0022919178009033203,9,0.8654562397231871,0.015144364553763905,81,21263,6379,14884
mse,log2,0.08112573623657227,0.0021240711212158203,9,0.8679380476785251,0.014865010057124728,81,21263,6379,14884
mse,auto,0.8812830448150635,0.0022640228271484375,10,0.8660650892626047,0.015114747743417157,81,21263,6379,14884
mse,sqrt,0.10748004913330078,0.0021560192108154297,10,0.8650290709615054,0.015231663902112948,81,21263,6379,14884
mse,log2,0.07989501953125,0.0021491050720214844,10,0.8675540088967497,0.01494672101643148,81,21263,6379,14884
