n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
5,1,1,7.867813110351562e-06,39.25366687774658,1,0.8974198171812737,0.011699145388992709,81,21263,6379,14884
5,1,4,6.9141387939453125e-06,59.30493211746216,1,0.8974198171812737,0.011699145388992709,81,21263,6379,14884
5,2,1,7.867813110351562e-06,40.78816890716553,1,0.8974198171812737,0.011699145388992709,81,21263,6379,14884
5,2,4,1.1205673217773438e-05,60.834728956222534,1,0.8974198171812737,0.011699145388992709,81,21263,6379,14884
10,1,1,1.0013580322265625e-05,40.56101608276367,1,0.879314643574613,0.01376401847165806,81,21263,6379,14884
10,1,4,1.2159347534179688e-05,56.00082087516785,1,0.879314643574613,0.01376401847165806,81,21263,6379,14884
10,2,1,1.7881393432617188e-05,35.836122035980225,1,0.879314643574613,0.01376401847165806,81,21263,6379,14884
10,2,4,1.0013580322265625e-05,46.44846272468567,1,0.879314643574613,0.01376401847165806,81,21263,6379,14884
5,1,1,1.0013580322265625e-05,51.92348313331604,2,0.8901045902455176,0.012359547457305619,81,21263,6379,14884
5,1,4,1.2159347534179688e-05,77.7710509300232,2,0.8901045902455176,0.012359547457305619,81,21263,6379,14884
5,2,1,7.867813110351562e-06,51.67867302894592,2,0.8901045902455176,0.012359547457305619,81,21263,6379,14884
5,2,4,1.3113021850585938e-05,77.96865725517273,2,0.8901045902455176,0.012359547457305619,81,21263,6379,14884
10,1,1,1.0013580322265625e-05,51.54045081138611,2,0.8757553204787876,0.013973358999168914,81,21263,6379,14884
10,1,4,1.6927719116210938e-05,67.98736190795898,2,0.8757553204787876,0.013973358999168914,81,21263,6379,14884
10,2,1,1.5020370483398438e-05,42.973742723464966,2,0.8757553204787876,0.013973358999168914,81,21263,6379,14884
10,2,4,1.4781951904296875e-05,52.99704694747925,2,0.8757553204787876,0.013973358999168914,81,21263,6379,14884
5,1,1,1.0013580322265625e-05,41.1974880695343,3,0.8920654252503232,0.011965199163598401,81,21263,6379,14884
5,1,4,7.152557373046875e-06,62.50619077682495,3,0.8920654252503232,0.011965199163598401,81,21263,6379,14884
5,2,1,7.152557373046875e-06,41.157665967941284,3,0.8920654252503232,0.011965199163598401,81,21263,6379,14884
5,2,4,1.0013580322265625e-05,62.34039497375488,3,0.8920654252503232,0.011965199163598401,81,21263,6379,14884
10,1,1,1.4066696166992188e-05,50.72365975379944,3,0.8759634471515708,0.013750200636261799,81,21263,6379,14884
10,1,4,9.059906005859375e-06,68.83279204368591,3,0.8759634471515708,0.013750200636261799,81,21263,6379,14884
10,2,1,4.506111145019531e-05,48.41343903541565,3,0.8759634471515708,0.013750200636261799,81,21263,6379,14884
10,2,4,1.5974044799804688e-05,58.98147678375244,3,0.8759634471515708,0.013750200636261799,81,21263,6379,14884
5,1,1,1.0967254638671875e-05,43.44783592224121,4,0.8896640146653163,0.01237735010509284,81,21263,6379,14884
5,1,4,7.152557373046875e-06,66.55847191810608,4,0.8896640146653163,0.01237735010509284,81,21263,6379,14884
5,2,1,7.867813110351562e-06,43.45104622840881,4,0.8896640146653163,0.01237735010509284,81,21263,6379,14884
5,2,4,6.9141387939453125e-06,66.69514203071594,4,0.8896640146653163,0.01237735010509284,81,21263,6379,14884
10,1,1,1.1205673217773438e-05,47.97415804862976,4,0.8754625721577931,0.013970449812135624,81,21263,6379,14884
10,1,4,1.2874603271484375e-05,65.01755785942078,4,0.8754625721577931,0.013970449812135624,81,21263,6379,14884
10,2,1,1.2874603271484375e-05,41.743626832962036,4,0.8754625721577931,0.013970449812135624,81,21263,6379,14884
10,2,4,1.5020370483398438e-05,51.77547788619995,4,0.8754625721577931,0.013970449812135624,81,21263,6379,14884
5,1,1,1.1920928955078125e-05,44.29828667640686,5,0.8966806030358921,0.011507621714248233,81,21263,6379,14884
