n_neighbors,p,weights,algorithm,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
5,1,uniform,brute,0.002110004425048828,10.258225917816162,1,0.8987495651355543,0.011547489248202493,81,21263,6379,14884
5,1,uniform,kd_tree,0.0780951976776123,3.5003528594970703,1,0.8991843712733436,0.011497900135741921,81,21263,6379,14884
5,1,uniform,ball_tree,0.08444690704345703,9.27738904953003,1,0.8989763800461883,0.011521621282841305,81,21263,6379,14884
5,2,uniform,brute,0.0017621517181396484,2.184645891189575,1,0.8974198978119057,0.011699136193166966,81,21263,6379,14884
5,2,uniform,kd_tree,0.07547116279602051,2.423293113708496,1,0.8966926656262315,0.011782076141585584,81,21263,6379,14884
5,2,uniform,ball_tree,0.08227419853210449,9.690860033035278,1,0.8967048561147328,0.011780685831162836,81,21263,6379,14884
10,1,uniform,brute,0.001995086669921875,10.347556114196777,1,0.8834564587548954,0.013291649475649439,81,21263,6379,14884
10,1,uniform,kd_tree,0.0739281177520752,5.114700078964233,1,0.8842294720427171,0.013203488248077553,81,21263,6379,14884
10,1,uniform,ball_tree,0.07939410209655762,9.828931093215942,1,0.883897565984429,0.013241341731320605,81,21263,6379,14884
10,2,uniform,brute,0.0023751258850097656,2.348931074142456,1,0.8793145408668335,0.013764030185355694,81,21263,6379,14884
10,2,uniform,kd_tree,0.0838630199432373,3.5665111541748047,1,0.8797173240773575,0.013718093248896024,81,21263,6379,14884
10,2,uniform,ball_tree,0.07844924926757812,8.869226932525635,1,0.879567354694413,0.013735197075061592,81,21263,6379,14884
5,1,uniform,brute,0.0021991729736328125,10.42353105545044,2,0.8918860110185296,0.012159197373215103,81,21263,6379,14884
5,1,uniform,kd_tree,0.09460711479187012,3.435286045074463,2,0.8925117370570204,0.012088824182148463,81,21263,6379,14884
5,1,uniform,ball_tree,0.0994420051574707,9.500653982162476,2,0.8924617615585032,0.012094444749440634,81,21263,6379,14884
5,2,uniform,brute,0.002165079116821289,2.206105947494507,2,0.8901045902455176,0.01235954745730562,81,21263,6379,14884
5,2,uniform,kd_tree,0.07368230819702148,2.4373698234558105,2,0.8902272254161678,0.012345755114067873,81,21263,6379,14884
5,2,uniform,ball_tree,0.08230400085449219,10.204633951187134,2,0.8904602915131603,0.012319542995719125,81,21263,6379,14884
10,1,uniform,brute,0.002116680145263672,10.469268083572388,2,0.8796954561877504,0.013530225892955038,81,21263,6379,14884
10,1,uniform,kd_tree,0.07300591468811035,5.090479135513306,2,0.8794582124002039,0.01355690786136192,81,21263,6379,14884
10,1,uniform,ball_tree,0.0775597095489502,10.104605913162231,2,0.8795793853612363,0.013543279967660382,81,21263,6379,14884
10,2,uniform,brute,0.0022389888763427734,2.5015511512756348,2,0.8757555008640237,0.013973338711880388,81,21263,6379,14884
10,2,uniform,kd_tree,0.07727193832397461,3.5583839416503906,2,0.8756195630225372,0.013988627159385592,81,21263,6379,14884
10,2,uniform,ball_tree,0.08315277099609375,9.44432783126831,2,0.8755361957924442,0.013998003176446002,81,21263,6379,14884
5,1,uniform,brute,0.0017268657684326172,10.182640314102173,3,0.8961253033068765,0.011515137173367341,81,21263,6379,14884
5,1,uniform,kd_tree,0.07526993751525879,3.358630895614624,3,0.8949569280847522,0.011644658619696761,81,21263,6379,14884
5,1,uniform,ball_tree,0.0811619758605957,9.243013143539429,3,0.8952010286609271,0.011617598597302133,81,21263,6379,14884
5,2,uniform,brute,0.0016238689422607422,2.010004997253418,3,0.8920621527122621,0.01196556194419731,81,21263,6379,14884
5,2,uniform,kd_tree,0.07350707054138184,2.363635301589966,3,0.8905882910549506,0.01212894840595178,81,21263,6379,14884
5,2,uniform,ball_tree,0.07760310173034668,10.027785062789917,3,0.8908092778367145,0.012104450687195211,81,21263,6379,14884
10,1,uniform,brute,0.0017180442810058594,10.225682258605957,3,0.8805171811589587,0.013245391732693951,81,21263,6379,14884
10,1,uniform,kd_tree,0.07692337036132812,4.902169227600098,3,0.880490965635444,0.013248297881726902,81,21263,6379,14884
10,1,uniform,ball_tree,0.08233404159545898,9.724957942962646,3,0.8803597659199793,0.013262842162179973,81,21263,6379,14884
10,2,uniform,brute,0.0025331974029541016,2.1787478923797607,3,0.8759626209249813,0.013750292228466805,81,21263,6379,14884
10,2,uniform,kd_tree,0.07280206680297852,3.332062005996704,3,0.8762382157423669,0.013719740879317368,81,21263,6379,14884
10,2,uniform,ball_tree,0.07651090621948242,9.219048023223877,3,0.8762478137015233,0.013718676887606312,81,21263,6379,14884
5,1,uniform,brute,0.001898050308227539,10.100657224655151,4,0.8916039158899418,0.012159734459991587,81,21263,6379,14884
5,1,uniform,kd_tree,0.07387685775756836,3.487147092819214,4,0.8917888203640644,0.012138992111923815,81,21263,6379,14884
5,1,uniform,ball_tree,0.08131289482116699,8.863343954086304,4,0.8914338066982753,0.012178817092144318,81,21263,6379,14884
5,2,uniform,brute,0.0016779899597167969,2.054083824157715,4,0.8896640992571306,0.01237734061569099,81,21263,6379,14884
5,2,uniform,kd_tree,0.07414507865905762,2.4567408561706543,4,0.8895912354443816,0.012385514385269896,81,21263,6379,14884
5,2,uniform,ball_tree,0.08095788955688477,9.435219764709473,4,0.8893647834250004,0.01241091748397233,81,21263,6379,14884
10,1,uniform,brute,0.0021729469299316406,10.18147873878479,4,0.8792302666378282,0.013547794650929916,81,21263,6379,14884
10,1,uniform,kd_tree,0.07753109931945801,5.101150989532471,4,0.8789432820563294,0.013579988215243498,81,21263,6379,14884
10,1,uniform,ball_tree,0.0820460319519043,9.369571685791016,4,0.8786976880857531,0.013607538633616094,81,21263,6379,14884
10,2,uniform,brute,0.001934051513671875,2.251706838607788,4,0.8754366751204594,0.01397335490875293,81,21263,6379,14884
10,2,uniform,kd_tree,0.07140493392944336,3.521327257156372,4,0.8750081672669512,0.014021424373212467,81,21263,6379,14884
10,2,uniform,ball_tree,0.07963991165161133,8.640897989273071,4,0.8748257186770292,0.014041891223323024,81,21263,6379,14884
