alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,1000,0.7953169345855713,0.002801179885864258,1,0.7352889265436477,0.03018997675130727,81,21263,6379,14884
0.0001,1000,0.8005039691925049,0.002959728240966797,2,0.7315822872953668,0.030187989343376763,81,21263,6379,14884
0.0001,1000,0.801969051361084,0.002950906753540039,3,0.7393490175073643,0.02889473484233395,81,21263,6379,14884
0.0001,1000,0.8254249095916748,0.0033152103424072266,4,0.7344768910150717,0.02978604370034195,81,21263,6379,14884
0.0001,1000,0.9398980140686035,0.003385782241821289,5,0.7426522042221921,0.028663166547859404,81,21263,6379,14884
0.0001,1000,0.7798299789428711,0.0031478404998779297,6,0.7366507560562553,0.029247353044764852,81,21263,6379,14884
0.0001,1000,0.7685272693634033,0.0029997825622558594,7,0.7335698527821972,0.02980871500923659,81,21263,6379,14884
0.0001,1000,0.8129737377166748,0.003013134002685547,8,0.7371431505279518,0.030028641745205465,81,21263,6379,14884
0.0001,1000,0.778825044631958,0.003059864044189453,9,0.7398555366210584,0.02928209068892019,81,21263,6379,14884
0.0001,1000,0.7687950134277344,0.002955198287963867,10,0.7373610662333814,0.0296391822686609,81,21263,6379,14884
