alpha,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,0.05292797088623047,0.0011889934539794922,1,0.7283702938498182,0.030979038415597595,81,21263,6379,14884
0.001,0.06772089004516602,0.0011820793151855469,1,0.7307623437066781,0.030706228031718897,81,21263,6379,14884
0.01,0.05514407157897949,0.001241922378540039,1,0.7329321256036174,0.03045876703898938,81,21263,6379,14884
0.0001,0.04790830612182617,0.00080108642578125,2,0.7350975137171223,0.029792644279557218,81,21263,6379,14884
0.001,0.04271197319030762,0.0010113716125488281,2,0.727569605831375,0.030639281413683047,81,21263,6379,14884
0.01,0.04392886161804199,0.0009131431579589844,2,0.7369318519178791,0.02958634275981537,81,21263,6379,14884
0.0001,0.05311393737792969,0.0014500617980957031,3,0.7420172123566422,0.02859894933659644,81,21263,6379,14884
0.001,0.05835604667663574,0.0010340213775634766,3,0.7420424770693563,0.028596148590680343,81,21263,6379,14884
0.01,0.05682682991027832,0.00109100341796875,3,0.7346091506301013,0.029420177698128068,81,21263,6379,14884
0.0001,0.05967569351196289,0.0011670589447021484,4,0.7288776979328351,0.03041415403872919,81,21263,6379,14884
0.001,0.0525059700012207,0.0009257793426513672,4,0.7332606646834527,0.02992247841896814,81,21263,6379,14884
0.01,0.06273722648620605,0.0010592937469482422,4,0.7356595880074617,0.029653370260224965,81,21263,6379,14884
0.0001,0.04655098915100098,0.00092315673828125,5,0.734231594125633,0.02960104654369449,81,21263,6379,14884
0.001,0.05499124526977539,0.0012218952178955078,5,0.7408277339124258,0.028866374413667614,81,21263,6379,14884
0.01,0.06097888946533203,0.0009710788726806641,5,0.7428218773312625,0.02864426850923709,81,21263,6379,14884
0.0001,0.05136990547180176,0.0008518695831298828,6,0.7337215746682577,0.029572665549573947,81,21263,6379,14884
0.001,0.05069613456726074,0.000972747802734375,6,0.7363839817295348,0.029276980784719714,81,21263,6379,14884
0.01,0.06825017929077148,0.0010159015655517578,6,0.7184661299683497,0.03126692284194881,81,21263,6379,14884
0.0001,0.04697394371032715,0.0008330345153808594,7,0.7355711403344651,0.02958480712598823,81,21263,6379,14884
0.001,0.053559064865112305,0.0010581016540527344,7,0.7312136212616149,0.030072334703277442,81,21263,6379,14884
0.01,0.05846714973449707,0.0010340213775634766,7,0.7353547134804153,0.029609021376815647,81,21263,6379,14884
0.0001,0.05085110664367676,0.0009081363677978516,8,0.7328353435651533,0.030520763568369642,81,21263,6379,14884
0.001,0.052809953689575195,0.0010838508605957031,8,0.7353311061001344,0.03023564884073528,81,21263,6379,14884
0.01,0.0702059268951416,0.0013740062713623047,8,0.7307687315781488,0.030756852341056174,81,21263,6379,14884
0.0001,0.04767584800720215,0.0008549690246582031,9,0.7317173469548532,0.030198132509507883,81,21263,6379,14884
0.001,0.05010414123535156,0.0009541511535644531,9,0.7414493072971837,0.029102694453192277,81,21263,6379,14884
0.01,0.06217598915100098,0.0009872913360595703,9,0.7410512329605492,0.029147502052304163,81,21263,6379,14884
0.0001,0.04116988182067871,0.0008420944213867188,10,0.7364952111323274,0.02973689526494191,81,21263,6379,14884
0.001,0.05562114715576172,0.0010221004486083984,10,0.7354127258442156,0.029859055290104054,81,21263,6379,14884
0.01,0.05841207504272461,0.0009748935699462891,10,0.7383688489447611,0.029525452536966472,81,21263,6379,14884
