n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
5,2,1,4.0531158447265625e-06,0.00041484832763671875,1,0.1763777780645861,0.0009985132651618796,81,20,6,14
5,2,4,5.0067901611328125e-06,0.00032711029052734375,1,0.1763777780645861,0.0009985132651618796,81,20,6,14
5,2,1,5.0067901611328125e-06,0.003100872039794922,2,0.6178506179937195,0.012100464421973163,81,200,60,140
5,2,4,5.0067901611328125e-06,0.0023059844970703125,2,0.6178506179937195,0.012100464421973163,81,200,60,140
5,2,1,4.76837158203125e-06,0.008536100387573242,3,0.4554319594431636,0.01664794073633061,81,400,120,280
5,2,4,4.76837158203125e-06,0.007689952850341797,3,0.4554319594431636,0.01664794073633061,81,400,120,280
5,2,1,5.9604644775390625e-06,0.025506019592285156,4,0.48265637203678613,0.012519970707282882,81,800,240,560
5,2,4,5.7220458984375e-06,0.026909351348876953,4,0.48265637203678613,0.012519970707282882,81,800,240,560
5,2,1,5.245208740234375e-06,0.08911490440368652,5,0.6557152540434916,0.010036213496996777,81,1600,480,1120
5,2,4,4.76837158203125e-06,0.10974621772766113,5,0.6557152540434916,0.010036213496996777,81,1600,480,1120
5,2,1,5.9604644775390625e-06,0.3625791072845459,6,0.6980031345852924,0.012035304960977704,81,3200,960,2240
5,2,4,5.7220458984375e-06,0.5960159301757812,6,0.6980031345852924,0.012035304960977704,81,3200,960,2240
5,2,1,5.9604644775390625e-06,1.9132859706878662,7,0.6962210132108194,0.01091886496586733,81,6400,1920,4480
5,2,4,6.9141387939453125e-06,3.2891829013824463,7,0.6962210132108194,0.01091886496586733,81,6400,1920,4480
5,2,1,7.152557373046875e-06,6.705266952514648,8,0.8594874682168362,0.01335709902182543,81,12800,3840,8960
5,2,4,7.152557373046875e-06,12.300488948822021,8,0.8594874682168362,0.01335709902182543,81,12800,3840,8960
5,2,1,1.2159347534179688e-05,14.181159973144531,9,0.8905212653509615,0.012093122619806914,81,16000,4800,11200
5,2,4,6.9141387939453125e-06,19.359565019607544,9,0.8905212653509615,0.012093122619806914,81,16000,4800,11200
5,2,1,1.5020370483398438e-05,26.746431827545166,10,0.8974198171812737,0.011699145388992709,81,21263,6379,14884
5,2,4,1.0967254638671875e-05,38.83962798118591,10,0.8974198171812737,0.011699145388992709,81,21263,6379,14884
