weights,algorithm,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,brute,0.0006120204925537109,0.0011508464813232422,1,0.17637777806463917,0.0009985132651618154,81,20,6,14
uniform,kd_tree,0.0007989406585693359,0.0012819766998291016,1,0.17637777806463917,0.0009985132651618154,81,20,6,14
uniform,ball_tree,0.0006921291351318359,0.00136566162109375,1,0.17637777806463917,0.0009985132651618154,81,20,6,14
uniform,brute,0.00039696693420410156,0.0011436939239501953,2,0.6178511369568755,0.012100447989406477,81,200,60,140
uniform,kd_tree,0.0007538795471191406,0.002053976058959961,2,0.6177981610759362,0.012102125429676463,81,200,60,140
uniform,ball_tree,0.0007588863372802734,0.002069711685180664,2,0.6178408728470979,0.01210077299449882,81,200,60,140
uniform,brute,0.000949859619140625,0.002773761749267578,3,0.4554252247997074,0.016648146620511818,81,400,120,280
uniform,kd_tree,0.001730203628540039,0.004778146743774414,3,0.4588881908992982,0.016542280594406135,81,400,120,280
uniform,ball_tree,0.0009419918060302734,0.004492044448852539,3,0.45923190474759834,0.016531772949170645,81,400,120,280
uniform,brute,0.00042819976806640625,0.005374908447265625,4,0.4826563720367897,0.012519970707282795,81,800,240,560
uniform,kd_tree,0.0015931129455566406,0.012489080429077148,4,0.4851273103473067,0.012460172782663577,81,800,240,560
uniform,ball_tree,0.0017240047454833984,0.013641834259033203,4,0.4834883708225616,0.0124998359267166,81,800,240,560
uniform,brute,0.0005090236663818359,0.0165860652923584,5,0.6557152540434925,0.010036213496996753,81,1600,480,1120
uniform,kd_tree,0.004209756851196289,0.027301311492919922,5,0.658565968062881,0.009953112590396962,81,1600,480,1120
uniform,ball_tree,0.00429987907409668,0.03538084030151367,5,0.6547817980674473,0.010063424587745513,81,1600,480,1120
uniform,brute,0.0006930828094482422,0.05929708480834961,6,0.6980031345852927,0.012035304960977692,81,3200,960,2240
uniform,kd_tree,0.009167909622192383,0.10636687278747559,6,0.7007190445066882,0.011927069386725442,81,3200,960,2240
uniform,ball_tree,0.010748147964477539,0.15253591537475586,6,0.7004784289548498,0.011936658497992384,81,3200,960,2240
uniform,brute,0.0009598731994628906,0.21780109405517578,7,0.6962210132108198,0.010918864965867315,81,6400,1920,4480
uniform,kd_tree,0.02783489227294922,0.3415400981903076,7,0.6932138934805159,0.011026951224954654,81,6400,1920,4480
uniform,ball_tree,0.02844691276550293,0.6394720077514648,7,0.6912528418021557,0.011097438188827378,81,6400,1920,4480
uniform,brute,0.001280069351196289,0.7559480667114258,8,0.8594868328728491,0.01335715941752424,81,12800,3840,8960
uniform,kd_tree,0.050849199295043945,0.8595941066741943,8,0.8588890494404315,0.013413984615953731,81,12800,3840,8960
uniform,ball_tree,0.05299997329711914,2.353956937789917,8,0.8590646820778634,0.013397289005250047,81,12800,3840,8960
uniform,brute,0.001355886459350586,1.179474115371704,9,0.8905212653509615,0.012093122619806919,81,16000,4800,11200
uniform,kd_tree,0.061918020248413086,1.259671926498413,9,0.8912638253891038,0.012011098748937294,81,16000,4800,11200
uniform,ball_tree,0.06507611274719238,3.619558095932007,9,0.8912227789685908,0.012015632774636065,81,16000,4800,11200
uniform,brute,0.0018160343170166016,1.9804699420928955,10,0.8974198978119057,0.011699136193166966,81,21263,6379,14884
uniform,kd_tree,0.09910416603088379,2.2030842304229736,10,0.8966926656262315,0.011782076141585584,81,21263,6379,14884
uniform,ball_tree,0.105010986328125,7.899010896682739,10,0.8967048561147328,0.011780685831162836,81,21263,6379,14884
