criterion,max_features,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
mse,auto,0.9654800891876221,0.0023720264434814453,1,0.8737437903822167,146.54502975771015,81,21263,6379,14884
mse,sqrt,0.12618327140808105,0.0022611618041992188,1,0.8692409829880526,151.77141858696947,81,21263,6379,14884
mse,log2,0.08276796340942383,0.0021991729736328125,1,0.8586771548614467,164.03280764541904,81,21263,6379,14884
mse,auto,1.0245208740234375,0.002470254898071289,2,0.8709900296100951,154.61683682699655,81,21263,6379,14884
mse,sqrt,0.11114382743835449,0.002810239791870117,2,0.8638173827280524,163.21316445366529,81,21263,6379,14884
mse,log2,0.07829976081848145,0.0021359920501708984,2,0.8661385651268965,160.43125636452234,81,21263,6379,14884
mse,auto,0.8913900852203369,0.0022029876708984375,3,0.8776424723201003,144.65050072364062,81,21263,6379,14884
mse,sqrt,0.11359000205993652,0.002251863479614258,3,0.8620495054808238,163.0844336727369,81,21263,6379,14884
mse,log2,0.08218908309936523,0.0020987987518310547,3,0.8757751992891666,146.8579822250561,81,21263,6379,14884
mse,auto,0.8851962089538574,0.0023431777954101562,4,0.8645339732553637,157.27293353208123,81,21263,6379,14884
mse,sqrt,0.12243819236755371,0.003170013427734375,4,0.8688211696053734,152.29559742208323,81,21263,6379,14884
mse,log2,0.08842921257019043,0.0022268295288085938,4,0.865510901680115,156.13874215654815,81,21263,6379,14884
mse,auto,0.9497110843658447,0.0023658275604248047,5,0.8736942902744724,146.80911102951958,81,21263,6379,14884
mse,sqrt,0.11444401741027832,0.002149820327758789,5,0.8743806773819094,146.0113016408234,81,21263,6379,14884
mse,log2,0.08244705200195312,0.0021750926971435547,5,0.8716515445064456,149.18345887899545,81,21263,6379,14884
mse,auto,0.9293630123138428,0.002261638641357422,6,0.8633626864492441,159.9097383894581,81,21263,6379,14884
mse,sqrt,0.1132197380065918,0.0022089481353759766,6,0.8716056673123678,150.26279145294802,81,21263,6379,14884
mse,log2,0.07842421531677246,0.0021419525146484375,6,0.8734498135686678,148.1045453799433,81,21263,6379,14884
mse,auto,0.8984551429748535,0.002288818359375,7,0.8728845517502614,149.31710467240384,81,21263,6379,14884
mse,sqrt,0.11627697944641113,0.0021669864654541016,7,0.8699885896758515,152.71886801545892,81,21263,6379,14884
mse,log2,0.10558295249938965,0.003056049346923828,7,0.8557548507218343,169.43863511332626,81,21263,6379,14884
mse,auto,0.8643300533294678,0.0023000240325927734,8,0.8643690686833269,161.7370846780977,81,21263,6379,14884
mse,sqrt,0.11122584342956543,0.002147197723388672,8,0.8490729971477627,179.9773341047832,81,21263,6379,14884
mse,log2,0.0781702995300293,0.0021581649780273438,8,0.8533317444688628,174.8988658718462,81,21263,6379,14884
mse,auto,0.8810310363769531,0.0028579235076904297,9,0.8796437033960434,139.26171102097075,81,21263,6379,14884
mse,sqrt,0.11922597885131836,0.0023381710052490234,9,0.869115100313623,151.44413372165664,81,21263,6379,14884
mse,log2,0.08006501197814941,0.0021131038665771484,9,0.872409457873422,147.63230265475272,81,21263,6379,14884
mse,auto,0.8862338066101074,0.0029990673065185547,10,0.8668095169657167,154.98623092005184,81,21263,6379,14884
mse,sqrt,0.11744999885559082,0.002343893051147461,10,0.8596787772303143,163.28386938553749,81,21263,6379,14884
mse,log2,0.08453202247619629,0.0021958351135253906,10,0.8587297348497535,164.3882163193094,81,21263,6379,14884
