n_estimators,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
10,6.9829277992248535,0.02391815185546875,1,0.9150560207629118,98.59410481846176,81,21263,6379,14884
100,61.55956411361694,0.15738701820373535,1,0.920203642377477,92.61928294655888,81,21263,6379,14884
10,6.645089149475098,0.019056081771850586,2,0.9114391721800233,106.13904509024324,81,21263,6379,14884
100,59.58758997917175,0.16379094123840332,2,0.9171945203501358,99.2413322529224,81,21263,6379,14884
10,7.180375814437866,0.020489931106567383,3,0.9173966925959282,97.6532462202623,81,21263,6379,14884
100,60.98889398574829,0.15795183181762695,3,0.9244992240660573,89.25666651617291,81,21263,6379,14884
10,6.673788070678711,0.0190279483795166,4,0.9077846301359205,107.05991814913776,81,21263,6379,14884
100,61.52278399467468,0.1555769443511963,4,0.9143864950650001,99.39530518949002,81,21263,6379,14884
10,7.24879789352417,0.0190889835357666,5,0.9202596900530612,92.68467785001828,81,21263,6379,14884
100,61.347864866256714,0.16075706481933594,5,0.9244870533123656,87.77108017144951,81,21263,6379,14884
10,6.7550389766693115,0.018923044204711914,6,0.9122309985969156,102.71804742309763,81,21263,6379,14884
100,62.7322518825531,0.18547582626342773,6,0.9198722734861258,93.77529059670815,81,21263,6379,14884
10,7.02236008644104,0.021597862243652344,7,0.9120782928904274,103.27788576620516,81,21263,6379,14884
100,59.94248414039612,0.1475849151611328,7,0.9202058239825615,93.73082105045079,81,21263,6379,14884
10,6.618948936462402,0.020849943161010742,8,0.9046146425560415,113.74506894702455,81,21263,6379,14884
100,58.76179814338684,0.15627408027648926,8,0.9140852210238779,102.4515997012322,81,21263,6379,14884
10,6.9859299659729,0.019960880279541016,9,0.9164138396133189,96.71576844397377,81,21263,6379,14884
100,60.79227304458618,0.16830086708068848,9,0.9255201593627654,86.17903953825653,81,21263,6379,14884
10,6.950679063796997,0.01958012580871582,10,0.9119719908789381,102.43321473319968,81,21263,6379,14884
100,62.175293922424316,0.15973401069641113,10,0.9207842118357005,92.178931686777,81,21263,6379,14884
