alpha,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,0.38915395736694336,0.0012137889862060547,1,0.7225832246004409,321.99643668449096,81,21263,6379,14884
0.001,0.25199103355407715,0.0012328624725341797,1,0.721807095838735,322.8972859403361,81,21263,6379,14884
0.01,0.165632963180542,0.0011010169982910156,1,0.7080455196543662,338.8702871697922,81,21263,6379,14884
0.0001,0.36499881744384766,0.0009698867797851562,2,0.7236530443421296,331.1983718890433,81,21263,6379,14884
0.001,0.3264920711517334,0.001374959945678711,2,0.7147541770742895,341.86355306952373,81,21263,6379,14884
0.01,0.22026801109313965,0.0012569427490234375,2,0.707870247069086,350.11385712839746,81,21263,6379,14884
0.0001,0.28546714782714844,0.0009069442749023438,3,0.7298434099694489,319.37786552817136,81,21263,6379,14884
0.001,0.2615387439727783,0.0011601448059082031,3,0.7282096994748055,321.3092304843665,81,21263,6379,14884
0.01,0.2754652500152588,0.0013790130615234375,3,0.714534286092999,337.4762406454099,81,21263,6379,14884
0.0001,0.41432881355285645,0.0010559558868408203,4,0.7194932821880535,325.66183157422,81,21263,6379,14884
0.001,0.3183631896972656,0.0013790130615234375,4,0.7145836081742275,331.3618498990819,81,21263,6379,14884
0.01,0.2695658206939697,0.0010218620300292969,4,0.706224885155976,341.0661345913662,81,21263,6379,14884
0.0001,0.40044713020324707,0.0009889602661132812,5,0.7308920209206848,312.792693738373,81,21263,6379,14884
0.001,0.4163320064544678,0.0010528564453125,5,0.7317087899784398,311.84333729561206,81,21263,6379,14884
0.01,0.20608735084533691,0.0010929107666015625,5,0.7173500663866156,328.5329347066487,81,21263,6379,14884
0.0001,0.52022385597229,0.0009098052978515625,6,0.730937075456648,314.890426018566,81,21263,6379,14884
0.001,0.2852060794830322,0.0010120868682861328,6,0.7268723210782287,319.64750000062276,81,21263,6379,14884
0.01,0.15059208869934082,0.0009620189666748047,6,0.7108705919989409,338.3746854549634,81,21263,6379,14884
0.0001,0.3596317768096924,0.0010640621185302734,7,0.7294033526246799,317.8583600693496,81,21263,6379,14884
0.001,0.2655141353607178,0.0009670257568359375,7,0.7230629169312572,325.3061999120997,81,21263,6379,14884
0.01,0.1814110279083252,0.0010828971862792969,7,0.7160437837127241,333.55127683966674,81,21263,6379,14884
0.0001,0.5140058994293213,0.001094818115234375,8,0.7250291819367394,327.8970221126565,81,21263,6379,14884
0.001,0.39708423614501953,0.0008866786956787109,8,0.7219251177913009,331.5985545040022,81,21263,6379,14884
0.01,0.23675298690795898,0.0011661052703857422,8,0.7099788544576351,345.84422682687904,81,21263,6379,14884
0.0001,0.4436209201812744,0.00113677978515625,9,0.7274125962337767,315.40508741443375,81,21263,6379,14884
0.001,0.2479410171508789,0.0011179447174072266,9,0.7247559836273351,318.4789973595889,81,21263,6379,14884
0.01,0.18987774848937988,0.0011262893676757812,9,0.715001996038217,329.76512894776585,81,21263,6379,14884
0.0001,0.2661418914794922,0.0010857582092285156,10,0.7307321005606927,313.3318228984554,81,21263,6379,14884
0.001,0.3782777786254883,0.001322031021118164,10,0.730826780653828,313.2216490298433,81,21263,6379,14884
0.01,0.19065213203430176,0.0010497570037841797,10,0.7195620734458237,326.32975159703005,81,21263,6379,14884
