n_neighbors,p,weights,algorithm,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
5,1,uniform,brute,0.003790140151977539,12.844122886657715,1,0.9011840997685524,114.69518278578782,81,21263,6379,14884
5,1,uniform,kd_tree,0.11023879051208496,4.755974054336548,1,0.9021620966870303,113.56002604414982,81,21263,6379,14884
5,1,uniform,ball_tree,0.14565777778625488,11.418731927871704,1,0.9019469152503128,113.80978619569032,81,21263,6379,14884
5,2,uniform,brute,0.002927064895629883,3.108839988708496,1,0.896099386979761,120.59698665902802,81,21263,6379,14884
5,2,uniform,kd_tree,0.0929269790649414,2.829681873321533,1,0.8958473239548856,120.88955510847697,81,21263,6379,14884
5,2,uniform,ball_tree,0.09522795677185059,11.432025909423828,1,0.8958606322655567,120.87410821054443,81,21263,6379,14884
10,1,uniform,brute,0.002645730972290039,12.997040271759033,1,0.881766782347299,137.2327781082416,81,21263,6379,14884
10,1,uniform,kd_tree,0.09808802604675293,6.316947937011719,1,0.8830585133738298,135.73347156090443,81,21263,6379,14884
10,1,uniform,ball_tree,0.0983123779296875,11.416410207748413,1,0.8827428912251329,136.09981280711315,81,21263,6379,14884
10,2,uniform,brute,0.0031991004943847656,3.2216949462890625,1,0.8762945570591125,143.58436604301218,81,21263,6379,14884
10,2,uniform,kd_tree,0.13141918182373047,4.117953777313232,1,0.8760652259626542,143.850549642667,81,21263,6379,14884
10,2,uniform,ball_tree,0.09864616394042969,9.595599889755249,1,0.8760624861768207,143.8537297000893,81,21263,6379,14884
5,1,uniform,brute,0.0025420188903808594,13.30405879020691,2,0.8944272767218262,126.52758914019854,81,21263,6379,14884
5,1,uniform,kd_tree,0.13477706909179688,4.279550790786743,2,0.8951152178047798,125.70310035186574,81,21263,6379,14884
5,1,uniform,ball_tree,0.1461181640625,11.893870115280151,2,0.895311575778262,125.46776777521424,81,21263,6379,14884
5,2,uniform,brute,0.002366781234741211,2.720451831817627,2,0.8910732146454426,130.54739061139077,81,21263,6379,14884
5,2,uniform,kd_tree,0.09441304206848145,3.0031309127807617,2,0.890903599184881,130.75067262060085,81,21263,6379,14884
5,2,uniform,ball_tree,0.12300372123718262,13.503152132034302,2,0.8909107127868447,130.7421470575706,81,21263,6379,14884
10,1,uniform,brute,0.0018448829650878906,15.552373886108398,2,0.8844083882803699,138.53510169646634,81,21263,6379,14884
10,1,uniform,kd_tree,0.10190391540527344,8.053277254104614,2,0.8842205996208328,138.7601640574751,81,21263,6379,14884
10,1,uniform,ball_tree,0.1158757209777832,16.68578290939331,2,0.884350358256178,138.6046499550578,81,21263,6379,14884
10,2,uniform,brute,0.0029871463775634766,4.940921783447266,2,0.877804594909508,146.4496655009214,81,21263,6379,14884
10,2,uniform,kd_tree,0.18934106826782227,6.810905694961548,2,0.8778154819615518,146.43661750514022,81,21263,6379,14884
10,2,uniform,ball_tree,0.16587305068969727,14.405089139938354,2,0.8778919726669392,146.34494435090323,81,21263,6379,14884
5,1,uniform,brute,0.0028710365295410156,15.394614934921265,3,0.8999309197924887,118.3012016787305,81,21263,6379,14884
5,1,uniform,kd_tree,0.1921100616455078,5.03873085975647,3,0.8975064935734434,121.16734709047726,81,21263,6379,14884
5,1,uniform,ball_tree,0.2200021743774414,13.350573778152466,3,0.8978688507869343,120.73897007627829,81,21263,6379,14884
5,2,uniform,brute,0.002340078353881836,2.9585330486297607,3,0.8967625471405436,122.04683710691538,81,21263,6379,14884
5,2,uniform,kd_tree,0.11234092712402344,3.560284376144409,3,0.8933582939174135,126.07132945040308,81,21263,6379,14884
5,2,uniform,ball_tree,0.14615988731384277,14.710339069366455,3,0.8934607987922184,125.95014866366849,81,21263,6379,14884
10,1,uniform,brute,0.002087116241455078,16.56130886077881,3,0.8851615080293511,135.76153164323046,81,21263,6379,14884
10,1,uniform,kd_tree,0.12293696403503418,7.979053020477295,3,0.8851253129193064,135.80432133415493,81,21263,6379,14884
10,1,uniform,ball_tree,0.12821006774902344,14.771051168441772,3,0.8849798334159501,135.9763065270935,81,21263,6379,14884
10,2,uniform,brute,0.003704071044921875,3.8517868518829346,3,0.8798196261201544,142.0766796167441,81,21263,6379,14884
10,2,uniform,kd_tree,0.1281578540802002,5.595690965652466,3,0.880160049261467,141.67423296076396,81,21263,6379,14884
10,2,uniform,ball_tree,0.1482539176940918,11.862869024276733,3,0.8801443733065629,141.69276500181758,81,21263,6379,14884
5,1,uniform,brute,0.0035309791564941406,14.755383253097534,4,0.8939734742188798,123.09435171702081,81,21263,6379,14884
5,1,uniform,kd_tree,0.13262391090393066,4.5622639656066895,4,0.8944532714095873,122.53731824157057,81,21263,6379,14884
5,1,uniform,ball_tree,0.1321849822998047,12.44114375114441,4,0.8940262554798923,123.03307388999345,81,21263,6379,14884
5,2,uniform,brute,0.0030951499938964844,2.596446990966797,4,0.8895695579663867,128.20719694252406,81,21263,6379,14884
5,2,uniform,kd_tree,0.1034250259399414,3.469054937362671,4,0.889974015559387,127.73763100286305,81,21263,6379,14884
5,2,uniform,ball_tree,0.11037683486938477,14.02791714668274,4,0.8895504820039021,128.22934369512328,81,21263,6379,14884
10,1,uniform,brute,0.002332925796508789,16.16775918006897,4,0.8805811525034031,138.64252843419038,81,21263,6379,14884
10,1,uniform,kd_tree,0.13217711448669434,7.802481174468994,4,0.8801271043473947,139.16966787406545,81,21263,6379,14884
10,1,uniform,ball_tree,0.1713721752166748,13.388640880584717,4,0.8797508866972602,139.606447891204,81,21263,6379,14884
10,2,uniform,brute,0.0028810501098632812,3.6373908519744873,4,0.8775816971778525,142.12482690698027,81,21263,6379,14884
10,2,uniform,kd_tree,0.12333106994628906,5.540927171707153,4,0.8768112206692408,143.01933236815654,81,21263,6379,14884
10,2,uniform,ball_tree,0.10568499565124512,10.806998014450073,4,0.8768403809297411,142.98547797808064,81,21263,6379,14884
5,1,uniform,brute,0.0036640167236328125,14.117870807647705,5,0.9058153234731767,109.47382080789008,81,21263,6379,14884
5,1,uniform,kd_tree,0.14085674285888672,4.8976500034332275,5,0.907075539602389,108.00903184437641,81,21263,6379,14884
5,1,uniform,ball_tree,0.15013599395751953,12.528665781021118,5,0.9068394364149047,108.28346202762872,81,21263,6379,14884
5,2,uniform,brute,0.0030219554901123047,2.8676390647888184,5,0.8996359140702396,116.65634330116501,81,21263,6379,14884
5,2,uniform,kd_tree,0.113037109375,3.3448469638824463,5,0.8993388365488884,117.00164587625213,81,21263,6379,14884
5,2,uniform,ball_tree,0.12043976783752441,13.525918006896973,5,0.8994471156260508,116.87578968894377,81,21263,6379,14884
10,1,uniform,brute,0.002516031265258789,14.079061031341553,5,0.8888754120138194,129.16361430710182,81,21263,6379,14884
10,1,uniform,kd_tree,0.11282205581665039,7.127600908279419,5,0.8895320596313028,128.4003720657821,81,21263,6379,14884
10,1,uniform,ball_tree,0.1218411922454834,12.445183992385864,5,0.8894525214779057,128.4928217706968,81,21263,6379,14884
10,2,uniform,brute,0.0030100345611572266,2.8608109951019287,5,0.8831842882006126,135.77858705529707,81,21263,6379,14884
10,2,uniform,kd_tree,0.1038520336151123,4.451259136199951,5,0.8832614071895171,135.68894922159046,81,21263,6379,14884
10,2,uniform,ball_tree,0.10455918312072754,11.135471820831299,5,0.8832224157824696,135.73427016407882,81,21263,6379,14884
5,1,uniform,brute,0.0034499168395996094,14.226183891296387,6,0.8997391344176083,117.33755860199415,81,21263,6379,14884
5,1,uniform,kd_tree,0.09191298484802246,4.6390910148620605,6,0.8999988024101041,117.03366327743709,81,21263,6379,14884
5,1,uniform,ball_tree,0.10676312446594238,11.889214992523193,6,0.9004294509513867,116.52966554954907,81,21263,6379,14884
5,2,uniform,brute,0.001880645751953125,2.8170108795166016,6,0.8931674392711314,125.02856206466124,81,21263,6379,14884
5,2,uniform,kd_tree,0.10131120681762695,3.2450077533721924,6,0.895029559292191,122.84928088824388,81,21263,6379,14884
5,2,uniform,ball_tree,0.1038200855255127,13.054479837417603,6,0.8953359302254762,122.49072805579533,81,21263,6379,14884
10,1,uniform,brute,0.0026328563690185547,15.158264875411987,6,0.8839859624846814,135.77385200630454,81,21263,6379,14884
10,1,uniform,kd_tree,0.10544776916503906,7.56206488609314,6,0.8845051500311244,135.16623507818107,81,21263,6379,14884
10,1,uniform,ball_tree,0.1380009651184082,13.20862603187561,6,0.8845160510561089,135.153477362092,81,21263,6379,14884
10,2,uniform,brute,0.0026869773864746094,3.4791157245635986,6,0.8789849565782849,141.6266423268559,81,21263,6379,14884
10,2,uniform,kd_tree,0.11884212493896484,5.174175977706909,6,0.8800127270332689,140.4238193181918,81,21263,6379,14884
10,2,uniform,ball_tree,0.11209702491760254,11.262475967407227,6,0.8800354164809413,140.39726534441107,81,21263,6379,14884
5,1,uniform,brute,0.0026099681854248047,14.884111166000366,7,0.899068759971303,118.55963015975482,81,21263,6379,14884
5,1,uniform,kd_tree,0.14381694793701172,4.744312047958374,7,0.8992834178902208,118.3074806422167,81,21263,6379,14884
5,1,uniform,ball_tree,0.1547071933746338,11.748640060424805,7,0.8993954050822079,118.17593405603735,81,21263,6379,14884
5,2,uniform,brute,0.0023832321166992188,2.9011969566345215,7,0.8969680751404927,121.02721518647454,81,21263,6379,14884
5,2,uniform,kd_tree,0.10328984260559082,3.2267508506774902,7,0.8968771430732585,121.13402921410251,81,21263,6379,14884
5,2,uniform,ball_tree,0.10564994812011719,12.888492107391357,7,0.8969529641962817,121.04496536923781,81,21263,6379,14884
10,1,uniform,brute,0.0028176307678222656,15.507610082626343,7,0.8867368111436607,133.0454453715623,81,21263,6379,14884
10,1,uniform,kd_tree,0.11157894134521484,7.425567865371704,7,0.8873332709948542,132.34480938073798,81,21263,6379,14884
10,1,uniform,ball_tree,0.12172484397888184,12.15748405456543,7,0.8873574906852779,132.31635954163545,81,21263,6379,14884
10,2,uniform,brute,0.0023508071899414062,3.1728079319000244,7,0.8827507239489419,137.72773227753933,81,21263,6379,14884
10,2,uniform,kd_tree,0.11366820335388184,4.763128042221069,7,0.8825725715826196,137.93700027679557,81,21263,6379,14884
10,2,uniform,ball_tree,0.13509106636047363,10.071002006530762,7,0.8826511758241697,137.84466722109823,81,21263,6379,14884
5,1,uniform,brute,0.0019648075103759766,13.725337982177734,8,0.8975898575782453,122.1219799640735,81,21263,6379,14884
5,1,uniform,kd_tree,0.09474301338195801,4.58550500869751,8,0.8977101799478477,121.97849802310218,81,21263,6379,14884
5,1,uniform,ball_tree,0.10911011695861816,12.624745845794678,8,0.897717385400635,121.96990566945335,81,21263,6379,14884
5,2,uniform,brute,0.0021970272064208984,2.4402518272399902,8,0.8933229172346252,127.21021820717131,81,21263,6379,14884
5,2,uniform,kd_tree,0.0991508960723877,3.284191846847534,8,0.8924178851176059,128.28945031688076,81,21263,6379,14884
5,2,uniform,ball_tree,0.12288904190063477,13.190191984176636,8,0.8923913295630574,128.32111726728053,81,21263,6379,14884
10,1,uniform,brute,0.0042150020599365234,13.888306856155396,8,0.880891961231674,142.03387652877325,81,21263,6379,14884
10,1,uniform,kd_tree,0.10284423828125,6.7702317237854,8,0.8810239445039953,141.87648920211925,81,21263,6379,14884
10,1,uniform,ball_tree,0.11510992050170898,12.644085884094238,8,0.8809484605832322,141.9665022188094,81,21263,6379,14884
10,2,uniform,brute,0.002554178237915039,2.7007229328155518,8,0.8752864681065013,148.71831132139266,81,21263,6379,14884
10,2,uniform,kd_tree,0.09714603424072266,4.412061929702759,8,0.8755671660380893,148.38358483467266,81,21263,6379,14884
10,2,uniform,ball_tree,0.12923717498779297,11.142545223236084,8,0.8751742342990761,148.8521478190047,81,21263,6379,14884
5,1,uniform,brute,0.0024051666259765625,14.16237497329712,9,0.8999371278855577,115.78062115174549,81,21263,6379,14884
5,1,uniform,kd_tree,0.09255099296569824,4.837785959243774,9,0.8998366284892015,115.89690686581322,81,21263,6379,14884
5,1,uniform,ball_tree,0.10343599319458008,12.38321328163147,9,0.8995836078279443,116.18967169162266,81,21263,6379,14884
5,2,uniform,brute,0.0022771358489990234,2.954617977142334,9,0.8953958429529357,121.03524536165911,81,21263,6379,14884
5,2,uniform,kd_tree,0.10385298728942871,3.220088005065918,9,0.895838642650656,120.52289124904452,81,21263,6379,14884
5,2,uniform,ball_tree,0.10960888862609863,12.95831298828125,9,0.8961846291375982,120.12255764356428,81,21263,6379,14884
10,1,uniform,brute,0.0018579959869384766,14.312427759170532,9,0.8888967859141274,128.5551660370647,81,21263,6379,14884
10,1,uniform,kd_tree,0.09854793548583984,6.767815828323364,9,0.889228736743146,128.17107279285256,81,21263,6379,14884
10,1,uniform,ball_tree,0.10375404357910156,12.222509860992432,9,0.8890522200610509,128.37531649148684,81,21263,6379,14884
10,2,uniform,brute,0.0030908584594726562,3.40126895904541,9,0.8835499842571456,134.7418365167258,81,21263,6379,14884
10,2,uniform,kd_tree,0.11165380477905273,4.5140299797058105,9,0.8838930117269846,134.3449267270023,81,21263,6379,14884
10,2,uniform,ball_tree,0.10628771781921387,10.553192853927612,9,0.8838327972031288,134.41459967189243,81,21263,6379,14884
5,1,uniform,brute,0.0027570724487304688,15.7741858959198,10,0.8963718352114473,120.58623342934894,81,21263,6379,14884
5,1,uniform,kd_tree,0.13603878021240234,5.800422191619873,10,0.8959600507958961,121.06540366031396,81,21263,6379,14884
5,1,uniform,ball_tree,0.17161798477172852,13.98868989944458,10,0.8965346082475852,120.39682365477859,81,21263,6379,14884
5,2,uniform,brute,0.003432035446166992,3.408109188079834,10,0.8919591989898904,125.72096859075202,81,21263,6379,14884
5,2,uniform,kd_tree,0.14992094039916992,3.6887967586517334,10,0.8916458936728047,126.08554426550066,81,21263,6379,14884
